gene	module
FUN_002326	ME20
FUN_002303	ME20
FUN_002305	ME20
FUN_002309	ME20
FUN_002311	ME20
FUN_002314	ME20
FUN_002318	ME20
FUN_002320	ME20
FUN_002322	ME20
FUN_002325	ME40
FUN_002351	ME1
FUN_002352	ME9
FUN_002349	ME21
FUN_002350	ME6
FUN_002353	ME24
FUN_002354	ME9
FUN_002355	ME1
FUN_002356	ME6
FUN_002357	ME2
FUN_002330	ME31
FUN_002344	ME31
FUN_002327	ME17
FUN_002328	ME0
FUN_002329	ME24
FUN_002331	ME31
FUN_002332	ME31
FUN_002333	ME31
FUN_002334	ME29
FUN_002335	ME31
FUN_002336	ME31
FUN_002337	ME31
FUN_002338	ME29
FUN_002339	ME31
FUN_002340	ME31
FUN_002341	ME31
FUN_002342	ME6
FUN_002345	ME31
FUN_002346	ME22
FUN_002372	ME0
FUN_002370	ME35
FUN_002363	ME30
FUN_002364	ME29
FUN_002365	ME29
FUN_002358	ME2
FUN_002359	ME19
FUN_002362	ME14
FUN_002407	ME10
FUN_002408	ME10
FUN_002426	ME36
FUN_002425	ME8
FUN_002428	ME7
FUN_002411	ME30
FUN_002413	ME30
FUN_002414	ME37
FUN_002415	ME30
FUN_002416	ME30
FUN_002417	ME8
FUN_002418	ME30
FUN_002419	ME30
FUN_002409	ME30
FUN_002410	ME4
FUN_002424	ME8
FUN_002375	ME4
FUN_002386	ME41
FUN_002388	ME25
FUN_002389	ME41
FUN_002392	ME41
FUN_002393	ME41
FUN_002394	ME41
FUN_002400	ME31
FUN_002402	ME8
FUN_002405	ME4
FUN_002376	ME42
FUN_002377	ME35
FUN_002378	ME9
FUN_002379	ME9
FUN_002380	ME23
FUN_002381	ME15
FUN_002382	ME6
FUN_002395	ME12
FUN_002397	ME0
FUN_002401	ME10
FUN_002404	ME10
FUN_002406	ME1
FUN_002450	ME3
FUN_002451	ME1
FUN_002452	ME50
FUN_002436	ME10
FUN_002437	ME30
FUN_002439	ME37
FUN_002441	ME37
FUN_002442	ME37
FUN_002443	ME37
FUN_002444	ME37
FUN_002429	ME9
FUN_002431	ME1
FUN_002432	ME7
FUN_002433	ME2
FUN_002434	ME4
FUN_002435	ME2
FUN_002438	ME28
FUN_002440	ME10
FUN_002445	ME37
FUN_002446	ME18
FUN_002447	ME32
FUN_002448	ME9
FUN_002449	ME4
FUN_002458	ME9
FUN_002459	ME10
FUN_002460	ME29
FUN_002454	ME13
FUN_002455	ME10
FUN_002457	ME1
FUN_002463	ME31
FUN_002468	ME2
FUN_002453	ME2
FUN_002472	ME15
FUN_002469	ME9
FUN_002470	ME14
FUN_002471	ME9
FUN_002473	ME7
FUN_002574	ME24
FUN_002575	ME25
FUN_002576	ME14
FUN_002578	ME4
FUN_002577	ME1
FUN_002645	ME0
FUN_002649	ME0
FUN_002650	ME9
FUN_002646	ME21
FUN_002648	ME19
FUN_002653	ME0
FUN_002654	ME4
FUN_002655	ME4
FUN_002656	ME2
FUN_002477	ME39
FUN_002479	ME10
FUN_002490	ME29
FUN_002491	ME10
FUN_002494	ME28
FUN_002499	ME28
FUN_002502	ME1
FUN_002503	ME28
FUN_002507	ME28
FUN_002508	ME28
FUN_002519	ME28
FUN_002526	ME37
FUN_002532	ME30
FUN_002533	ME30
FUN_002548	ME3
FUN_002556	ME31
FUN_002566	ME19
FUN_002569	ME1
FUN_002475	ME9
FUN_002476	ME9
FUN_002480	ME10
FUN_002481	ME3
FUN_002484	ME1
FUN_002489	ME5
FUN_002492	ME17
FUN_002493	ME10
FUN_002497	ME34
FUN_002500	ME1
FUN_002501	ME17
FUN_002504	ME28
FUN_002505	ME15
FUN_002506	ME17
FUN_002513	ME34
FUN_002515	ME52
FUN_002516	ME0
FUN_002517	ME43
FUN_002523	ME31
FUN_002524	ME0
FUN_002525	ME10
FUN_002527	ME24
FUN_002529	ME29
FUN_002531	ME24
FUN_002534	ME3
FUN_002535	ME12
FUN_002536	ME12
FUN_002539	ME1
FUN_002540	ME10
FUN_002542	ME4
FUN_002543	ME30
FUN_002544	ME0
FUN_002545	ME0
FUN_002546	ME30
FUN_002549	ME12
FUN_002553	ME4
FUN_002554	ME1
FUN_002555	ME24
FUN_002558	ME30
FUN_002559	ME8
FUN_002560	ME17
FUN_002561	ME1
FUN_002565	ME4
FUN_002567	ME10
FUN_002570	ME34
FUN_002572	ME31
FUN_002573	ME1
FUN_002586	ME22
FUN_002594	ME10
FUN_002595	ME1
FUN_002596	ME1
FUN_002597	ME26
FUN_002605	ME10
FUN_002607	ME22
FUN_002626	ME1
FUN_002627	ME10
FUN_002634	ME10
FUN_002636	ME7
FUN_002637	ME7
FUN_002579	ME0
FUN_002580	ME8
FUN_002581	ME9
FUN_002582	ME7
FUN_002583	ME14
FUN_002584	ME24
FUN_002585	ME24
FUN_002590	ME22
FUN_002591	ME10
FUN_002592	ME22
FUN_002593	ME1
FUN_002600	ME11
