,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Species,Sample_ID
apul_ACR.139,9.084134265156436,-0.8575417245440037,-0.5021067091319645,1.6052620911860653,0.5463287917897408,-1.427730910367996,0.5915341928733676,3.3702515413182685,0.4346331928587447,1.684120914158946,1.38534827590356,0.28866205002516454,-0.20346880675679105,0.32973328436781707,0.8334421180442351,-0.04463048935001119,-4.499438316395895,4.4786059988600755,-2.1840142546097265,-2.0676819629095955,apul,ACR.139
apul_ACR.145,3.305156385277626,-0.5428850817426982,0.21296448908536955,1.0484502661672839,0.3010080159506007,-0.1587158401990813,1.2760782441973924,0.40265925159597676,3.273449561039939,2.403392572724347,2.204897498387542,-0.4619241973221827,-1.141640457400957,-1.716719699997199,1.857466078875844,1.3587060584511133,-2.331038717502814,4.676650561690991,-2.5337462019027215,-3.0238188443576437,apul,ACR.145
apul_ACR.150,3.9792372989083673,0.5532711184719178,0.022946336226293124,-0.5173463090600214,-0.1894954437345649,2.487139017335119,0.254111150829582,-1.9165311302812087,3.3205130077287204,3.569706062097157,2.5865415766675572,1.0945639065052883,-0.28691954385316737,-0.4472669542268583,2.3628624982271145,1.4735361057584686,-1.737853855003162,2.163705025243158,-3.8277622193627074,1.6515438995202858,apul,ACR.150
apul_ACR.173,2.358065810935471,-0.1554822835380828,-0.2903702701245715,2.132892012772838,-0.41498692572030754,1.0082573646082496,5.03494506620418,0.9125816585670664,2.9447714800308398,1.721706469873909,3.387217675749929,-2.09763315355545,-2.3161385885084385,0.7102773377847308,1.0567825090259595,-0.6245621731971677,-2.1312498672425564,5.5483668101250885,-2.030050367199159,-1.8226834353040053,apul,ACR.173
apul_ACR.186,6.383917768270178,0.19418850071012214,0.829860891287155,0.6747206815921859,1.2293513063912311,1.8949557689958394,-4.416354479594718,0.07711768702671827,2.349376418078654,3.819276805149878,2.2513956724967312,3.0932565181117493,0.7442782809764606,-1.6092232378369458,2.1491722844220087,2.5473356563947545,-5.041315101678687,5.10970087282738,-3.6573725384555145,-2.942634813925038,apul,ACR.186
apul_ACR.225,-2.2645881542778596,0.9051326825079394,-0.4320626095411188,0.6041062744832759,-3.3420876557211914,-1.8954762505913159,4.2805179557706445,0.2407842901142138,5.749501176499,3.090219319669268,2.794171439047924,-1.2293820963675002,-0.5574688377516158,-0.22202678935775286,1.271441551885551,-0.3112326501376145,-0.8767404582542812,4.088260796644134,-2.002362311168402,1.7856015207159983,apul,ACR.225
apul_ACR.229,-0.07994453809629269,0.22812303554065178,0.8115767428753771,0.294596900339803,-3.5409732752097196,-3.0013224964173197,3.8120345461180976,1.5319541979164037,4.595663661514241,3.3699847058201273,2.3041285653096377,-3.2022860124580452,-0.5923709337623017,1.5590027305968734,0.820454708753951,-2.4626914608314494,0.7261903623337662,2.9498219780013386,-2.510710051472605,2.4151820167568374,apul,ACR.229
apul_ACR.237,-0.9330925095947782,0.5739243331258049,-0.025124011970658215,-0.008743712389254392,-2.59242289697964,0.7828919540873623,2.958906108376943,-1.2914390329634162,4.85347150017805,3.674849437616814,1.5638575682809719,-1.373765953612765,-0.9296287715528293,0.5611039512329233,1.668051465719073,-0.48424805957478523,0.548944232663356,0.8706615325778653,-2.485500321694719,3.082052055324263,apul,ACR.237
apul_ACR.244,-3.418312636235152,0.180197795937905,0.23475824160836994,0.6004471881640304,-3.4430655059097344,-1.0785672081549924,4.0335403441999205,0.11817815034260679,5.426371169405159,3.175332360296707,2.680395389116602,-2.099924765467488,-1.3218609187003787,1.1907214889210327,1.3691342090022225,-1.7228963795554146,0.47985541673450005,2.252819117394168,-1.7709455091240534,2.9602686838054835,apul,ACR.244
apul_ACR.265,-0.6899161029366625,0.4498540271594544,0.2393973125527348,1.4979900833030577,-2.191987419520349,1.7811013226922283,1.8447276468744083,-1.2326606592167684,4.375368861294552,3.392607733084369,1.509647444811061,-1.1904718874372997,-0.9699135162383342,0.16349327666849614,1.1269276224794165,-0.28760607631766827,-0.16974882238521796,1.9295319121268786,-2.133697747522303,1.1059251359139735,apul,ACR.265
peve_POR.216,1.3444411078289096,4.434790805194268,1.2003732282868231,-1.6140600211860354,-1.0320445472875266,0.5186680780839985,-1.449258413241471,-2.690075943016485,0.3603994918693641,3.110700143586116,0.8080027341404853,-0.5990453214202051,3.9466016860859843,-0.5503475504678951,-3.8457807752315527,0.43476540638091477,1.545601532852351,2.3605245905528323,-2.6281277606469833,1.6924074118845975,peve,POR.216
peve_POR.245,1.0169839642798333,-0.6611037901441924,0.6054156897217131,4.179160040596059,-2.8278963385829194,-0.9618488548457096,-1.1709916197351822,4.51024211241644,0.4078216764849887,2.5060778319561554,-1.5165951459187328,-4.834147700035984,0.3915853402714884,1.569311953757633,-2.8900960665682702,-4.0549791384174005,-1.005841150349443,-0.45357391919577156,1.0288327552343235,0.847859394688984,peve,POR.245
peve_POR.260,3.2718788578163003,-0.8173474721065254,-0.2505661509168565,0.3941519312150744,-5.287567528747851,-2.1852763120065664,-2.4031889817818075,4.224578139885121,0.2550180952066119,1.432638931171809,-0.7910709120705367,0.006352850286919264,0.8867287413899331,-0.4379681846465827,-0.6858560515058099,1.9814709480972064,-1.5273539144438133,0.734726012864567,0.8363447972453876,1.3579324349267,peve,POR.260
peve_POR.262,1.7943506583690996,1.5102167292114923,-1.2826984465181615,-2.524546202233053,-0.6886955428447141,1.7636991231339663,4.201024425333016,-1.0523487886523115,-0.3594580630652789,1.0566377145700157,0.2975723586425238,-2.686991450271985,-0.4092121718708107,1.4340647294089315,-2.779942690290443,0.3187427164675939,3.2557477370690444,1.1241830877020083,-0.7638461769875119,1.7242889890271935,peve,POR.262
