,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Species,Sample_ID
apul_ACR.139,-0.0989821682324079,-0.06364338578269786,0.057675101911976355,0.12499974996677089,-0.18916831264896733,0.017036943325251807,0.0645358550601974,-0.055106104658410426,0.17985788668769156,0.13667304388642978,0.19290314723212226,0.14353105438247035,apul,ACR.139
apul_ACR.145,-0.2022432870200784,-0.18261920475267251,-0.03362886258702175,0.04562549588029979,0.07489091740881432,-0.012733945098156346,0.1890578043999957,-0.08469312642552926,0.26449385509311885,0.28709969079988956,0.14444914458862113,0.14592817778029962,apul,ACR.145
apul_ACR.150,-0.23946415563180243,-0.16093114559760102,-0.09967345255788518,0.1068811385205686,0.07684534400297105,0.1127918025909118,0.06384046943496188,0.07510452195268374,0.340890329104847,0.32740677403466284,0.060398669945335576,0.11530715192191292,apul,ACR.150
apul_ACR.173,-0.21340923509164625,-0.23887524529185544,-0.017683142683986883,0.15927630059863382,0.13251835994208291,0.03507019962288695,0.13692348572298133,0.009701395211876171,0.24441841907462633,0.2655931211907121,0.14101661714487357,0.19917909369852427,apul,ACR.173
apul_ACR.186,-0.19942301981011276,-0.1678684254572953,-0.23366713481317405,0.023023102392047634,-0.047451185617331734,0.1083998282342043,0.2376224150670156,-0.1261975394972136,0.322491534393801,0.32323457647948745,0.09864972282249379,0.17482942859623923,apul,ACR.186
apul_ACR.225,-0.3169123801051609,-0.21574100857589065,0.15318073229020235,0.08397460448298279,0.37946721821118506,-0.0187955115129288,-0.015694409587004604,0.16181697351124746,0.3721064365774446,0.37004562148183057,0.016155727580477078,0.11226705073829853,apul,ACR.225
apul_ACR.229,-0.32061837334768367,-0.12333584328355732,0.25552556728464887,0.10475354287110404,0.35714220377240946,-0.11062839735463025,-0.11302472682884429,0.1820954982769145,0.3457686223860661,0.2775550463426359,-0.04260470357532204,0.07713192254084814,apul,ACR.229
apul_ACR.237,-0.303514054654952,-0.15417120702976878,0.09198301361264441,0.10477780027936769,0.3671490909443104,0.01413112574421414,-0.09817996641104855,0.18380641760687716,0.3339380476761206,0.31114817422043545,-0.05959035663604427,0.08585239210600014,apul,ACR.237
apul_ACR.244,-0.3377780470265128,-0.18874835925278985,0.14654059823181373,0.11724204790791577,0.4509638574021363,-0.004076499219435494,-0.08178429736868277,0.20394950115018126,0.33220140979595264,0.32783708868991385,-0.03427887496475281,0.06969635879713605,apul,ACR.244
apul_ACR.265,-0.2986633877202822,-0.19802661990415887,-0.010120845922975356,0.09487217124516717,0.3254881465104987,0.017502060792967754,0.014775195086463612,0.109626978325723,0.331113845983457,0.30885869677187033,-0.030375366372369216,0.14535577509758835,apul,ACR.265
