"Predictor","MeanImportance","Type","Selection_Prob","Stable","Mean_Abs_Coef","Stability_Label","Feature"
"lncRNA_25406",0.0505023403121905,"lncRNA",1,TRUE,0.0498119181300703,"***","OG_00171"
"lncRNA_10227",0.0356575861225671,"lncRNA",0.995,TRUE,0.035097143420894,"***","OG_00171"
"lncRNA_10228",0.0316949880211203,"lncRNA",0.995,TRUE,0.0310488621699597,"***","OG_00171"
"lncRNA_10230",0.03165901754262,"lncRNA",0.995,TRUE,0.0310284596903216,"***","OG_00171"
"lncRNA_10234",0.0314242140950313,"lncRNA",0.995,TRUE,0.0308025886691008,"***","OG_00171"
"lncRNA_10226",0.0227925382671605,"lncRNA",0.96,TRUE,0.0249165886645605,"***","OG_00171"
"lncRNA_370",0.019367073047705,"lncRNA",0.975,TRUE,0.018907215053929,"***","OG_00171"
"lncRNA_26602",0.0165617051690336,"lncRNA",0.8,TRUE,0.0162211576178611,"**","OG_00171"
"lncRNA_26601",0.0165184023158579,"lncRNA",0.8,TRUE,0.0161980695885927,"**","OG_00171"
"lncRNA_26600",0.0164826751232306,"lncRNA",0.8,TRUE,0.0161890822513127,"**","OG_00171"
"lncRNA_3280",0.0122269149360068,"lncRNA",0.91,TRUE,0.0137835057588203,"***","OG_00171"
"lncRNA_42831",0.0121235678653755,"lncRNA",0.74,TRUE,0.0107691380726452,"*","OG_00171"
"lncRNA_13394",0.0119521498639744,"lncRNA",0.955,TRUE,0.010720349274331,"***","OG_00171"
"lncRNA_46547",0.0113499252784443,"lncRNA",0.965,TRUE,0.0123513349970356,"***","OG_00171"
"FUN_032525",0.0113076875703643,"Other",0.775,TRUE,0.00957556296803011,"**","OG_00171"
"lncRNA_13437",0.0111758728011407,"lncRNA",0.84,TRUE,0.00973845909831016,"**","OG_00171"
"lncRNA_854",0.0111232214391696,"lncRNA",0.88,TRUE,0.00955492444143158,"**","OG_00171"
"lncRNA_13395",0.0110431339304061,"lncRNA",0.945,TRUE,0.00970122054789275,"***","OG_00171"
"lncRNA_14744",0.0109091556606188,"lncRNA",0.945,TRUE,0.00959538636134758,"***","OG_00171"
"lncRNA_14743",0.0108639756912624,"lncRNA",0.945,TRUE,0.00954394570717172,"***","OG_00171"
"lncRNA_6568",0.0766950082959405,"lncRNA",0.975,TRUE,0.067289500051994,"***","OG_00297"
"lncRNA_18042",0.0333303844668512,"lncRNA",0.82,TRUE,0.0289825520853916,"**","OG_00297"
"lncRNA_48715",0.0317144585477056,"lncRNA",0.965,TRUE,0.0321370027419283,"***","OG_00297"
"lncRNA_6605",0.0268491764126032,"lncRNA",0.845,TRUE,0.0287653306502016,"**","OG_00297"
"lncRNA_25848",0.0239196945102815,"lncRNA",0.705,TRUE,0.0205128129512666,"*","OG_00297"
"lncRNA_1072",0.0221747987688287,"lncRNA",0.615,TRUE,0.0100021001814865,"*","OG_00297"
"lncRNA_53562",0.0216665418593751,"lncRNA",0.76,TRUE,0.017556266769041,"**","OG_00297"
