,Component_1,Component_2,Component_3,Component_4,Component_5,Species,Sample_ID
apul_ACR.139,-0.025171461856823025,0.25582701422995896,0.26057035342760554,-0.22491418607700525,0.03948071176233765,apul,ACR.139
apul_ACR.145,0.22137473538300143,-0.06311986686953647,0.15827407035269866,-0.19111274216352286,0.23559542945017223,apul,ACR.145
apul_ACR.150,0.23796598355930054,-0.014676178739293297,0.21144876909189897,-0.25621118724923353,0.27452587314405635,apul,ACR.150
apul_ACR.173,0.23133608477027673,-0.007580884647635529,0.21771771491157438,-0.2561864178940845,0.2614818985275776,apul,ACR.173
apul_ACR.186,0.20243238372850605,0.006397681173138873,0.20060290619943605,-0.23823517162351376,0.2342389523616724,apul,ACR.186
apul_ACR.225,0.3927749653545021,-0.21594654200410024,0.13097719850719958,-0.2172986679523199,0.3839300207318437,apul,ACR.225
apul_ACR.229,0.30230240307846373,-0.12377734453287272,0.1208138548470737,-0.20535494280751004,0.311479638467548,apul,ACR.229
apul_ACR.237,0.3688340169811152,-0.2314520819837949,0.08758652316760261,-0.1787596465970894,0.36735377751133313,apul,ACR.237
apul_ACR.244,0.40645645581498274,-0.27780868117165547,0.07298043068547055,-0.17049837423305145,0.38754492735214935,apul,ACR.244
apul_ACR.265,0.35574336408714513,-0.2020156402056433,0.0956243533757584,-0.19746468747063306,0.35692271060736797,apul,ACR.265
peve_POR.216,-0.03845705735114123,0.21192183457177274,0.13593549641441935,-0.14802004345500686,0.03618160586178584,peve,POR.216
peve_POR.245,0.022880545217200517,0.062365556983810674,0.037691320760265,-0.06372672041573808,0.04541250692859654,peve,POR.245
peve_POR.260,-0.001637864703398264,0.22445824576413193,0.12838729291002898,-0.18077040102517314,0.039521138072587995,peve,POR.260
peve_POR.262,-0.0531421053446089,0.12548185404238682,-0.0009674569653235573,-0.016287161346578337,-0.023017466590473833,peve,POR.262
peve_POR.69,-0.039234957401095276,0.17022431390601936,0.16041760047587436,-0.13514720595101926,0.005273958056003089,peve,POR.69
peve_POR.72,0.040514983339830744,0.0010906689467877274,0.125932809944234,-0.07986239215289587,0.040772112924767456,peve,POR.72
peve_POR.73,-0.04811624051518675,0.29375612655156064,0.20276623289552678,-0.22407265104546,0.024591033704974542,peve,POR.73
peve_POR.74,-0.033855257566714994,0.22587810259367427,0.19819606555777244,-0.1888428870645411,0.029514818064143963,peve,POR.74
peve_POR.83,0.029445655100194177,0.10323468421963468,0.19589634216923005,-0.16219936646160657,0.051509547686063174,peve,POR.83
ptua_POC.219,0.033073713328094376,0.17114485814744762,0.11153572446624518,-0.16300248904809647,0.0682572670713625,ptua,POC.219
ptua_POC.222,0.015323112161538602,0.2218544140571588,0.21766966076561328,-0.22231557024481494,0.05792103529513561,ptua,POC.222
ptua_POC.255,-0.06837569196885074,0.3143699203502576,0.20100766943209186,-0.21092034025359596,-0.004059409480171556,ptua,POC.255
ptua_POC.259,0.03060572350712385,0.053056953158297275,0.00863564036477403,-0.0359127496805326,0.025621956922900754,ptua,POC.259
ptua_POC.40,-0.03777064110404012,0.26138174331900876,0.3190680810300276,-0.255209416866169,0.030859573716819966,ptua,POC.40
ptua_POC.42,0.10659925455773717,-0.11192596887027159,0.10128678262288243,-0.056141215483411694,0.09227523708362143,ptua,POC.42
ptua_POC.52,0.1245822909539179,0.09094599505556279,0.17055623231103562,-0.20517666835505738,0.12998125723277593,ptua,POC.52
ptua_POC.53,0.01342437775003089,0.26386780153426254,0.25300952877406735,-0.2656254844675004,0.07669631038210441,ptua,POC.53
ptua_POC.57,-0.05655608642792516,0.2568426961806815,0.21248332207727813,-0.19237070893357286,0.010822291358259748,ptua,POC.57
