,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Species,Sample_ID
apul_ACR.139,0.05615255050048033,-0.0025839214748553337,0.02207423212447583,0.01381933212526649,-0.10944774271715926,-0.053538408706923626,-0.1467272562970202,-0.12298862568164613,-0.012739060234116861,0.15614260683340309,-0.031797424083588446,0.0277574522667649,-0.058563929336569016,-0.21371184956698042,-0.06572723371262089,-0.06624344362637209,-0.051069902049071025,0.17179156470848203,-0.03580901594301106,-0.16287593156073077,0.1370699593653538,0.14712383255081118,0.3249728263998964,-0.11150731524240438,-0.11331916578049317,0.07307291375207267,0.0595966786452303,-0.11581078394363374,0.049749701090610186,0.06458012869595882,0.3269890670468858,0.007724181699240544,0.016649748691865616,-0.02717644253216426,-0.17731886806384806,0.26739801470246477,0.06961079190184964,-0.18707173252719692,0.5667631553760626,-0.3420300876839392,0.10236094024621652,0.023517271951553374,-0.0611543510577484,-0.1002669814927092,-0.13371445966130094,apul,ACR.139
apul_ACR.145,-0.006393424054081058,0.06083253983901835,-0.07244558486185401,0.3984213269732225,-0.1336975523964943,-0.20663583110372866,-0.27475253253382204,0.18978145811134875,0.040527824307549344,0.1247743294400115,-0.05537255012634134,-0.0006208854876249665,0.11086458659297677,0.054393516880579834,-0.0401368795593266,-0.04738129208849141,-0.0990584755717515,-0.08254590860407725,-0.05596136612717305,0.12026722509558531,0.007209883415805774,-0.005555224893464729,0.028766932413302162,0.19743992385028014,-0.17306686707054117,-0.0808471126813719,-0.02652920477520645,0.03807339785674124,-0.008102828807627535,-0.06927293826704642,0.2426505155664356,0.2732708019752699,-0.06889849562921786,-0.03266155842614462,-0.028869520856539058,0.2737545104023422,0.09436436462290611,-0.2047147414489927,0.14563767478225226,-0.029461654100074727,0.023095726678228526,-0.10690616988744905,-0.16359973924433988,-0.07250407837184514,0.07610767328083765,apul,ACR.145
apul_ACR.150,0.017385108436629066,0.05492350680112722,0.10436380549730191,0.39510079131656156,-0.03970626339549208,-0.10879853161599416,-0.07819843770633315,0.1343293421792558,0.17464404943742373,-0.09214469431133525,0.17863366774366463,0.08274523391282464,-0.16151654042515823,0.021203502408246387,-0.047275746077840256,-0.16061390215747515,-0.0031612312034129337,-0.09056441603435596,-0.1269552488695013,0.07073696455284482,0.026230056089631013,0.03567438426726895,-0.09240629793766747,-0.19907303324568898,-0.1328531203267746,-0.06038928061233756,-0.2230339016728094,0.2544359608125144,-0.14960858918656683,0.12313084634657676,0.29883477555012866,0.34477529448959937,-0.052213266135812196,0.012271276345473186,-0.09932366186796318,0.1970021789478353,0.10351445646885993,-0.07447634960020809,0.3941511289331692,-0.11381291090145897,-0.004481291015906137,-0.102704064729609,-0.1710722912076832,-0.1017414552778899,0.2735619483264214,apul,ACR.150
apul_ACR.173,0.04798341228855138,-0.06609528795970519,0.06692871166620823,-0.0017244957115735051,-0.16186656517579787,0.08781746860589706,0.10784012137374485,0.13675872480244206,0.13552612514951934,0.19789702874639525,-0.06443844553109729,0.003662854083991109,-0.07263151802493144,-0.1254266732818827,-0.15624711777220154,-0.09936190469026702,0.07246257857749266,-0.08336268102136635,0.0014601723159481813,0.1587598121184508,0.16888290402812153,0.23894879795198543,-0.3684303195192803,0.051871444713787435,-0.06257700651734484,-0.0803349402578858,0.06720940369310165,0.08077502829629159,-0.21950526160545492,0.0020189296136542234,0.16728879900398058,0.0881302908324661,-0.015523207041358442,0.03142692999503566,-0.08922548462195441,0.23809526950414653,0.023786248727919485,-0.0630506949772084,0.17692418712955438,0.10617815058569184,0.06301234133643051,0.025855071202908156,0.009402714893307703,-0.2244732381042403,0.18998873235801955,apul,ACR.173
apul_ACR.186,0.1377019902795779,-0.03903629800356207,0.019980432239652252,0.036286484076522664,-0.18409465011465445,0.1417805114976816,-0.24872644452546078,0.0067907416422140305,0.10933293269478797,0.16364808650374374,-0.1624933141667857,0.03062560520304023,0.04024169831811426,-0.4150063777395047,-0.17757782392736743,-0.2844683151547152,-0.1060032280106939,0.051708520621241406,-0.016395816456437104,-0.12344164164926599,-0.020080178614647393,0.005364512029872859,0.08539924627709623,-0.17970380858983617,-0.16932424432333262,0.04366310075980195,-0.05151128045126792,0.8078726982167515,-0.15674056836646796,0.00198876780618082,0.20063235230281495,0.45947362186799906,-0.3047415179307007,0.03239876807292198,-0.15630871855510026,0.2750775283767786,0.03771689755163981,-0.24028116803481978,0.5707312605703865,-0.28236216646761336,0.22046911916425793,0.0671854758861419,-0.07642193352876876,-0.17415972440434488,-0.11626215711793617,apul,ACR.186
apul_ACR.225,0.29260074081279813,-0.17973192623329626,0.06431180898055233,-0.22831514197767094,-0.051983796025636145,-0.2367926879311456,0.19363741251039804,0.580791118687138,0.21800747437028806,0.07139994437123026,0.11602669815324886,-0.10596743819754666,0.5343202734710333,-0.2305300585100556,-0.07493291698774601,0.05248576805617174,0.3400900944274034,-0.006973744611873684,-0.03901599763854019,0.2240982063008882,0.1950430383419873,0.017894480061713895,0.44095414135825134,0.02460248320454288,0.11854024616722945,-0.655102841586612,0.428770326133536,-0.13532902105123515,0.18079959599379722,0.16515506804600544,0.23032169449865586,0.15706364163339662,0.11938690613360234,0.02523388935991849,-0.04407436996949852,0.2881596787010754,0.08198447362477596,0.12073619022568033,0.024701508738144185,-0.1540780884729286,-0.2283588457967162,-0.006423057748603328,0.17734106012876855,0.09880964553382587,-0.04363585737699066,apul,ACR.225
apul_ACR.229,0.23433661273342138,0.02397447218874915,0.1168335296340413,-0.08929992261236064,-0.039639489794273244,-0.15081942676449558,0.6409448367859559,0.25908189530776143,0.09001456732035217,-0.08476735574580009,0.1799933365079953,-0.1408767428924069,0.309401931504627,-0.34738196917153075,-0.07933805602606224,0.06629146128583845,0.18825249717532402,-0.10229716075954147,-0.04598856923904977,0.04000658464708064,-0.03160052220542302,0.025944216996586254,0.24700425830397427,0.19609708310703763,-0.24146914444151982,-0.09654552650634453,0.11799829964099734,-0.18569905437456505,-0.2346886213103721,0.14590139686806858,0.31497765205122874,0.2867790544610779,0.052647863036322906,0.011219117007660533,-0.1097867998443776,0.2673590275201569,0.05360662763146478,0.2174930841394941,0.13994396818570606,-0.08401990299454092,0.11586435051289348,-0.13101173287311194,0.13060180749937,0.27187478240904567,0.03670116102292799,apul,ACR.229
apul_ACR.237,0.0660098358985966,-0.04906312193076316,0.060207371843950065,0.35127084149657906,-0.044283309863223805,-0.21488873701877267,0.23253980872240163,0.38728928371807114,0.1780632438315312,-0.007313718921263726,0.12378335504937554,-0.07652415935841556,0.3838154579850093,0.03274818421084437,-0.006465209479376444,-0.018559377210657743,0.03911630165212502,-0.08526979947469218,-0.09460263784613154,0.04044276572702773,0.08247350841572497,0.0981996543655033,-0.05875660462984068,-0.13230722966002637,0.010629353502788855,-0.14699300232487303,0.12838687793951709,-0.023277627165077096,-0.07752608804745861,0.10538105698139508,0.2562284623067578,0.20173889275356802,0.03268720137891442,0.03743007180532902,0.03978062071010335,0.12558583473239948,0.08731747012080765,-0.07724170432898744,0.12525920063439155,-0.09979393482780247,-0.02052334731267124,-0.13560091788043024,0.02970030517587419,-0.03427895141332983,0.23491858267778107,apul,ACR.237
apul_ACR.244,0.14610280143885107,-0.15771673235507475,0.043026000020422984,0.012619327371985173,-0.0652732330071268,-0.05511254817480698,0.3623419962294656,0.4613005234216109,0.18373133153811627,-0.0048604371820018585,0.18869870667770275,-0.07186719766408267,0.4497764926568927,-0.43855478239148665,-0.14196127526522206,-0.0160207845850146,0.11900099663947082,0.12032869727362447,0.0715215049423835,-0.21365138884327065,0.11306370339932495,0.20550568661057184,-0.08356433659610167,0.0023046621920906787,0.10950029132817517,-0.0978510901612696,0.12284329420725698,0.025057977671648347,-0.042177990979328304,0.16963214032960816,0.21231267779252305,0.08732624651793129,0.06608991938090293,0.025141248145812166,-0.04953229554152058,0.19672580622743208,0.14160360257309298,0.030494094721836555,0.005072842321889658,-0.12015626620334606,0.014100624993428809,-0.05899413341555263,0.2529458843036765,-0.09029213794788038,0.08339625208315207,apul,ACR.244
apul_ACR.265,0.09829727221241356,-0.005496099476403545,0.06726183276882491,0.3901434857879052,-0.0560422265493762,-0.1978032867027669,0.2193326498116699,0.3455158567324038,0.1579432915553646,0.03925411062091618,0.05072707483407795,-0.07778790922344335,0.277070026955892,-0.14207275593921762,-0.06146799607984226,-0.09582629212581818,0.15068748148390618,-0.08971153357761408,-0.1070845396108462,0.13758555268531805,-0.005763283520176892,0.028028857581125867,0.06487185255621634,-0.03584134083429962,-0.09877794121989258,-0.07139142535335052,0.15458605190399352,0.1381712723503326,-0.10331009756466143,0.08322905224687754,0.09234983358501335,0.2945241294313189,-0.05330166607335144,0.05887739993686057,-0.1004726773030907,0.17814391373262198,0.11001131272304393,0.03656434924748638,0.17118955476466036,-0.07951683772873243,0.04439232196365175,-0.03003782527885368,0.04254368036359254,-0.0962081985202865,0.0963039087267437,apul,ACR.265
