,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Species,Sample_ID
apul_ACR.139,0.03844800330427751,0.0057381694115692,-0.13757008923057315,-0.3784809608259804,0.5022740821371067,0.26088998142029274,0.03360823372544512,0.12540198585956197,0.3516925841878102,0.046415106122811384,-0.09478864984149014,0.05231589307858809,apul,ACR.139
apul_ACR.145,0.2516896492101028,0.004234563450776985,-0.18422047140453154,-0.2669855991170575,0.3465340643726721,0.21705955848792247,0.13041858160739164,0.26089973316368414,0.19024604307629003,0.007615647697028411,-0.14765884326348866,-0.002621646795066887,apul,ACR.145
apul_ACR.150,0.29748649828224333,-0.05486260251559514,0.0015391177203930388,-0.25833116428702013,0.34641272145083685,0.06253567150370568,0.14440550215885287,0.25488764229220984,0.26280334320323934,-0.1160809704460971,-0.15535190071913332,-0.022671251905298694,apul,ACR.150
apul_ACR.173,0.2338953711919869,-0.02893875149379549,-0.14400233018776476,-0.17082748458883606,0.16653750979935716,0.23476792669455543,0.16223253205845117,0.17931640409129013,0.2492093219520628,-0.08470787334857004,-0.17163541887057301,0.06402626505311643,apul,ACR.173
apul_ACR.186,0.2585315855457187,0.08792769755668182,-0.2397778536795604,-0.3478246159900898,0.47917975647694494,0.28765882092800205,0.18004295406852322,0.2313825039316658,0.3420024727447073,-0.12354850902205226,-0.2358068218890592,-0.02317629462192369,apul,ACR.186
apul_ACR.225,0.40348573269013027,-0.18248158467454978,0.05351375367589744,-0.014695278333150864,0.013129615297004021,0.024193710181598112,0.1045504727055611,0.3918104850391418,-0.08204928998699358,0.07369082995613137,-0.11475485086386772,-0.013151710139506584,apul,ACR.225
apul_ACR.229,0.3281425056269487,-0.2067722609394604,0.1047115257725922,-0.005078841700192245,-0.05824200577880031,-0.05500373651826289,0.12407385661678913,0.30807828737625775,-0.12182920558114227,0.17224810913038063,-0.04630147187339297,0.012853411893889805,apul,ACR.229
apul_ACR.237,0.3773094931964915,-0.2173217773150014,0.12234981659676544,0.008187215206807858,-0.03468697645265887,-0.06344114125931327,0.12314432823995129,0.3313155187444639,-0.08282152423805686,0.03206856647020919,-0.05581476754334009,-0.0312776844286712,apul,ACR.237
apul_ACR.244,0.39636227722916517,-0.23814639183516895,0.13064218035371536,0.032771638942448195,-0.13073988248686041,-0.05473860466144839,0.08274148337268475,0.3552465759311316,-0.11448617918741412,0.049759459595560794,-0.04048543683945642,0.004048739072852398,apul,ACR.244
apul_ACR.265,0.36659541166740794,-0.13107577257016118,0.013093131504544636,-0.019383652616529693,-0.023199361785564025,0.02207220424369656,0.19958832336980262,0.2656304412436903,-0.0021258719329448586,-0.03484882390412053,-0.12121445596705853,-0.008034954159692482,apul,ACR.265
peve_POR.216,0.058493717908856484,0.022100619128008377,-0.04054072938729419,0.12216395221627009,0.05390179315465462,-0.0004242172525238665,0.5649773782506836,-0.20139017755817049,0.010205989610167648,0.07097110782883387,-0.17582946597685914,-0.0746372668958606,peve,POR.216
peve_POR.245,0.058181588498769095,-0.2880452622810281,0.09346003070511427,-0.0022163478155726437,-0.009651169196154842,0.04430767353816899,0.1622881839831722,-0.019365274750644566,-0.09010155799618842,0.15116428914152766,0.16915947946230162,-0.020906964704826825,peve,POR.245
peve_POR.260,0.03588953891363397,-0.32144961221302887,0.09796309303586648,-0.10144417214414565,0.07691038939616188,0.19369131961320543,0.06144591646291207,-0.012558399845603644,0.04780766216573743,0.02659663514762552,0.16249862093757372,0.007252488031955524,peve,POR.260
peve_POR.262,-0.01767113010983877,-0.26422281384794427,0.08587372812657666,-0.016725661306381825,-0.0839540776138838,0.0818773412940288,0.3080769528701348,-0.22742270806919582,0.02657796326574576,0.03025219381646167,0.20000092525679347,0.022893070058819152,peve,POR.262
peve_POR.69,0.027648202520698432,0.2928242943003192,-0.14582340314928646,0.19374809579684094,0.04319100361608404,-0.027515536171988233,0.31500625367543755,-0.06399246932181551,-0.003075830517964613,0.0528205513158673,-0.39714851873643603,0.00043787023035182906,peve,POR.69
peve_POR.72,0.0013518685563401426,0.20890540054439466,-0.05504122845640351,0.31478560066896283,-0.10290308988071666,-0.0006238511304304202,-0.002925890089482615,0.03642515431984599,-0.02644909104614003,-0.1133044491139349,-0.35962135030332426,0.047112547196970785,peve,POR.72
peve_POR.73,0.001780249623821347,-0.015663539187216746,0.0062767396590700675,-0.033376417229173755,0.17051181253925293,0.12657183585731638,0.1492269715958849,-0.04509609892881728,0.16796357891676034,-0.0781376371044153,-0.14365063379377563,0.011217655080870317,peve,POR.73
peve_POR.74,-0.044019768319288916,-0.08926663785254972,0.058412673452473515,0.2345799756386352,-0.034018429329366356,0.13138450919087802,0.12092642503579144,-0.053570277411801315,0.0042262125085699735,-0.03615855230210269,-0.1835939280737421,0.054369152510207484,peve,POR.74
peve_POR.83,0.028370051999691955,0.33349605720399683,-0.11293696089247046,0.3226040966844141,-0.0744268666790542,-0.018346238246484722,0.11357071562485795,0.028961549943572504,-0.016264915870001326,-0.059020916254945835,-0.4952601017293572,0.045407792860961846,peve,POR.83
