Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1A3_R1_001	88.96989668185414	73.0	150.0	150	45.45454545454545	38533665.0
1A3_R2_001	90.10781564263246	72.0	150.0	150	45.45454545454545	38533665.0
1A4_R1_001	85.36846767007272	66.0	150.0	150	45.45454545454545	13294987.0
1A4_R2_001	86.06629563493212	69.0	150.0	150	45.45454545454545	13294987.0
1A5_R1_001	82.38506302436689	75.0	150.0	150	54.54545454545454	19358871.0
1A5_R2_001	83.38472708596353	70.0	150.0	150	45.45454545454545	19358871.0
1A6_R1_001	81.67378044209379	69.0	150.0	150	45.45454545454545	17047223.0
1A6_R2_001	82.76120310333079	69.0	150.0	150	45.45454545454545	17047223.0
1B11_R1_001	77.70015657856662	69.0	150.0	150	54.54545454545454	8998647.0
1B11_R2_001	79.55907671816298	69.0	150.0	150	45.45454545454545	8998647.0
1B12_R1_001	84.01843790116965	68.0	150.0	150	63.63636363636363	10477798.0
1B12_R2_001	84.95394023100712	68.0	150.0	150	45.45454545454545	10477798.0
1B8_R1_001	86.15514872443453	68.0	150.0	150	54.54545454545454	9848817.0
1B8_R2_001	86.29446046661181	70.0	150.0	150	36.36363636363637	9848817.0
1C1_R1_001	81.9260459851578	71.0	150.0	150	45.45454545454545	18542786.0
1C1_R2_001	82.09707530501402	70.0	150.0	150	45.45454545454545	18542786.0
1C2_R1_001	84.21568711725857	69.0	150.0	150	45.45454545454545	17964160.0
1C2_R2_001	84.37277072061627	69.0	150.0	150	36.36363636363637	17964160.0
1C3_R1_001	89.47556145478619	68.0	150.0	150	45.45454545454545	19105567.0
1C3_R2_001	89.69035125940641	68.0	150.0	150	45.45454545454545	19105567.0
1C7_R1_001	86.02441798761296	69.0	150.0	150	63.63636363636363	11471279.0
1C7_R2_001	86.04578800198806	69.0	150.0	150	45.45454545454545	11471279.0
1C8_R1_001	90.15627455515674	67.0	150.0	150	54.54545454545454	10703093.0
1C8_R2_001	89.792299547752	68.0	150.0	150	45.45454545454545	10703093.0
1C9_R1_001	87.03540988680228	68.0	150.0	150	63.63636363636363	11672498.0
1C9_R2_001	88.22041872892143	69.0	150.0	150	45.45454545454545	11672498.0
1D11_R1_001	78.6870017283052	71.0	150.0	150	54.54545454545454	12285541.0
1D11_R2_001	79.6223852467567	70.0	150.0	150	45.45454545454545	12285541.0
1E10_R1_001	88.35266184968526	68.0	150.0	150	54.54545454545454	12332113.0
1E10_R2_001	88.96645454293537	70.0	150.0	150	45.45454545454545	12332113.0
1E11_R1_001	79.22874488762636	67.0	150.0	150	54.54545454545454	9776022.0
1E11_R2_001	80.32420782558948	70.0	150.0	150	45.45454545454545	9776022.0
1E12_R1_001	86.46429990153231	67.0	150.0	150	54.54545454545454	11655061.0
1E12_R2_001	87.23820513145182	70.0	150.0	150	45.45454545454545	11655061.0
1E4_R1_001	91.46044170071059	69.0	150.0	150	45.45454545454545	18793445.0
1E4_R2_001	91.73488788503583	68.0	150.0	150	45.45454545454545	18793445.0
1E6_R1_001	91.77903747064394	66.0	150.0	150	45.45454545454545	21624116.0
1E6_R2_001	91.90829969240247	67.0	150.0	150	45.45454545454545	21624116.0
1E8_R1_001	87.03540934578369	72.0	150.0	150	63.63636363636363	11714767.0
1E8_R2_001	87.73963648073972	70.0	150.0	150	45.45454545454545	11714767.0
1F2_R1_001	85.57656760867866	68.0	150.0	150	45.45454545454545	17902750.0
1F2_R2_001	86.12160558978249	67.0	150.0	150	45.45454545454545	17902750.0
1F5_R1_001	87.87981174054204	70.0	150.0	150	45.45454545454545	17824415.0
1F5_R2_001	88.16485924998096	68.0	150.0	150	45.45454545454545	17824415.0
1F9_R1_001	86.87125109329544	73.0	150.0	150	54.54545454545454	13133636.0
1F9_R2_001	87.86841580157584	70.0	150.0	150	45.45454545454545	13133636.0
1G11_R1_001	83.0930629568822	67.0	150.0	150	54.54545454545454	10305459.0
1G11_R2_001	83.92710875084094	70.0	150.0	150	45.45454545454545	10305459.0
1G12_R1_001	77.6008077044853	68.0	150.0	150	54.54545454545454	10878910.0
1G12_R2_001	78.70593431576599	70.0	150.0	150	45.45454545454545	10878910.0
1G2_R1_001	74.70638160103245	71.0	150.0	150	45.45454545454545	19974557.0
1G2_R2_001	75.76516182669248	70.0	150.0	150	45.45454545454545	19974557.0
1G4_R1_001	82.6676871150208	68.0	150.0	150	45.45454545454545	14191758.0
1G4_R2_001	83.38894783785585	69.0	150.0	150	45.45454545454545	14191758.0
1G6_R1_001	88.87510513496437	71.0	150.0	150	45.45454545454545	21447519.0
1G6_R2_001	89.67685188081131	71.0	150.0	150	45.45454545454545	21447519.0
1G7_R1_001	86.78059629805837	67.0	150.0	150	63.63636363636363	11782742.0
1G7_R2_001	86.87722408315435	69.0	150.0	150	45.45454545454545	11782742.0
