,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Species,Sample_ID
apul_ACR.139,0.0506403497663585,0.13058416485501592,0.14019719917951967,-0.14605821800361057,0.08219662810947831,-0.050512508376880566,-0.1941238337734499,0.10716849598150077,0.24567567207610752,-0.06250786169203831,-0.005431858835840178,-0.07807239492499952,0.1527314117209478,-0.12058049631506108,0.44318239575027357,-0.2956067802189962,0.06814582796981383,0.3228158027601748,-0.2296307260320069,-0.0742648178717295,apul,ACR.139
apul_ACR.145,0.03938522348053052,0.23380002706522973,0.0341526868128804,-0.20993655509872625,0.07925047825855272,0.07648735115189857,-0.1331916375350114,0.11584227094715602,0.3140341786175907,-0.07997338206541946,0.03098128065758362,-0.060922852151408184,0.19794829932689645,-0.10937245801922335,0.21025447378197534,-0.18508516883004447,0.2950544527922818,0.1581391881207323,-0.38537629613316393,0.0031469261886771824,apul,ACR.145
apul_ACR.150,-0.029827522064386464,0.3046637776504567,0.06626114636929804,-0.08329927677461015,0.14977571070613632,-0.015975030563282772,-0.08349057582846355,0.10844743203032492,0.3306333572600413,-0.18820414748970538,0.07313929186458948,-0.015626171910681483,-0.15765675717657765,-0.040769703678591805,0.1783937649126312,-0.21879239407863904,0.3201397067509189,0.07750788061467973,-0.009342799786274862,0.011664275045608562,apul,ACR.150
apul_ACR.173,-0.033818288568439776,0.15756107926936855,0.1802533903784435,-0.08134560869946526,0.03134922047959497,-0.03898940928565502,0.0878073776654408,0.05960506757623384,0.33857279732630435,-0.10282882263005833,0.03226793271535705,-0.08546611117796502,0.14980456374212867,-0.10022577949718811,0.1536410489252284,-0.1683489833252427,0.26388064358592694,0.1788784940853115,-0.285668194955086,-0.041334253450261135,apul,ACR.173
apul_ACR.186,0.020274638033843925,0.32068395927825044,0.11001942674897025,-0.23254461049176242,0.2005499865138737,-0.003424830979854125,-0.3612147253731936,0.05138756053406441,0.3156830002044613,-0.16404730404881993,0.22815723146054304,-0.03699834750517086,0.14691870870029305,-0.0976818657763169,0.40883988812037736,-0.25137703046009263,0.2609835125676349,0.10345764620787591,-0.3532480367160655,0.019334184997926565,apul,ACR.186
apul_ACR.225,0.0484848928529418,0.37761407576022926,-0.20308006629250275,0.042449390017298416,-0.024335119056462205,0.04640309252980748,0.008569596666071159,0.23847656618940105,0.33891864633867697,-0.13560010661480026,-0.0004764121192096273,-0.08923237999047896,-0.16060227339534025,0.07355648313072781,-0.13184415764651755,0.015568156329751868,0.41656575508921256,0.044836645667351016,-0.04199183785510683,0.005627571702769778,apul,ACR.225
apul_ACR.229,0.1123551144548401,0.3346707832187056,-0.09453669788110823,0.19839890659831022,-0.22038304500375866,0.13716574601140097,-0.09542109599428215,0.2128963757994432,0.315605836068626,-0.1416084168550797,-0.01874906879535797,-0.07184409990674294,-0.2377963975714274,0.03543717796466795,-0.01717431065763032,-0.05082423371573109,0.276404592046511,0.04509570920589888,0.07686503075759443,-0.07676779900675491,apul,ACR.229
apul_ACR.237,-0.006326624722794074,0.3150304782316752,0.03888518437449462,0.0831779345021761,-0.06301721073583279,0.024595396270612795,0.023615033675553652,0.2122686347013821,0.23660300932139544,-0.18767579025574532,0.004963734522259031,-0.02131910050574561,-0.20357772032367627,-0.024825858473754722,-0.1475594413940449,-0.019445186185588118,0.3699702592982163,-0.04442101595356577,0.0781246933244502,-0.019610081815227387,apul,ACR.237
apul_ACR.244,0.021109262579656993,0.34285919959478217,-0.10092975755444543,0.1324048585551687,-0.10465224785918868,0.04568847773796032,0.06401597936984436,0.18595977029272753,0.2843749988585419,-0.13972987646064156,0.04157793899740581,-0.07146822372503535,-0.20665885133331371,0.04827025396267617,-0.20197585359306894,-0.0005779152498795342,0.3763913536397809,-0.01684616752114579,0.07419136955301092,-0.04076192027163165,apul,ACR.244
apul_ACR.265,-0.002749593534926521,0.295154887017323,0.0028585595806243412,0.027197774013496347,-0.06230252659204418,0.06847165876136234,-0.0508149728839247,0.18326044792253837,0.2186685886585943,-0.16319808715255815,0.08615211316025896,-0.054867201095067555,-0.05098765339948796,0.023248569187266407,-0.06880744941091664,-0.012134023257708227,0.3529017317586985,-0.10689333224192153,-0.09587881393128164,0.0337391967521201,apul,ACR.265
