Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
POR-216-TP1	42.8342	0.941541	4841511289.0	38566020.0	0.451056	98.2340949413721	10.468018509345887						
POR-216-TP1_R1_001								78.14117341161553	45.0	133.32178306187674	135	18.181818181818183	19283010.0
POR-216-TP1_R2_001								78.00102807393515	45.0	133.3379571446574	135	18.181818181818183	19283010.0
POR-216-TP2	43.013	0.937553	4625300642.0	37007672.0	0.4667	97.95962750659145	10.71338100454719						
POR-216-TP2_R1_001								80.06774047017845	46.0	133.37618886159606	135	18.181818181818183	18503836.0
POR-216-TP2_R2_001								79.85694650107774	46.0	133.23216272560998	135	18.181818181818183	18503836.0
POR-216-TP3	48.3551	0.942042	3980665489.0	31681826.0	0.474982	98.20325066261675	10.510886603976433						
POR-216-TP3_R1_001								84.17127674227112	47.0	133.45527533671827	135	18.181818181818183	15840913.0
POR-216-TP3_R2_001								83.56940680315779	47.0	133.28920498458643	135	18.181818181818183	15840913.0
POR-216-TP4	55.317899999999995	0.946104	5330723278.0	42409088.0	0.481645	98.52316157193472	13.1753668678602						
POR-216-TP4_R1_001								88.85045200078136	48.0	132.95534924023832	135	18.181818181818183	21204544.0
POR-216-TP4_R2_001								88.70157916233484	47.0	132.7526311341569	135	18.181818181818183	21204544.0
POR-236-TP1	47.3001	0.942402	5264306484.0	41909802.0	0.466565	98.3297887361252	10.771646369403511						
POR-236-TP1_R1_001								82.15983018520905	46.0	133.39784029521303	135	18.181818181818183	20954901.0
POR-236-TP1_R2_001								81.64778616770413	46.0	133.1734154697271	135	18.181818181818183	20954901.0
POR-236-TP2	51.9195	0.939632	4821088894.0	38477286.0	0.486888	98.04500073335088	10.670632299300111						
POR-236-TP2_R1_001								88.82082037326143	49.0	133.43072195892404	135	27.27272727272727	19238643.0
POR-236-TP2_R2_001								88.2714472266533	48.0	133.25542497981797	135	27.27272727272727	19238643.0
POR-245-TP1	42.4993	0.939131	4745688609.0	37912806.0	0.462483	98.24450503774838	10.829586100698581						
POR-245-TP1_R1_001								79.32114277037013	46.0	133.27174037184164	135	18.181818181818183	18956403.0
POR-245-TP1_R2_001								79.17154918288672	46.0	133.29465236627433	135	18.181818181818183	18956403.0
POR-245-TP2	51.2301	0.937941	4141136924.0	33148742.0	0.485701	97.94041368646165	11.102107539050753						
POR-245-TP2_R1_001								88.80179349313877	48.0	133.27709733298477	135	27.27272727272727	16574371.0
POR-245-TP2_R2_001								88.28668997896467	48.0	133.09859282141085	135	27.27272727272727	16574371.0
POR-245-TP3	52.8041	0.939752	4646707615.0	37103338.0	0.489585	97.95323610488069	10.425135823307626						
POR-245-TP3_R1_001								89.53902277147338	49.0	133.36885775614044	135	27.27272727272727	18551669.0
