Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-73-TP4_R1_001	POR-73-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18417766.0	2.4 Gbp	0.0	15-135	48.0	12.716617997753602	133.54346922422621	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-73-TP4_R2_001	POR-73-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18417766.0	2.4 Gbp	0.0	15-135	47.0	13.310278883749563	133.27857553407944	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-74-TP1_R1_001	POR-74-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18010881.0	2.4 Gbp	0.0	15-135	46.0	19.915424472856337	133.4382949951199	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-74-TP1_R2_001	POR-74-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18010881.0	2.4 Gbp	0.0	15-135	45.0	20.255127092288028	133.452106368367	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-74-TP2_R1_001	POR-74-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17719989.0	2.3 Gbp	0.0	15-135	48.0	12.489560912133866	133.1354868222548	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-74-TP2_R2_001	POR-74-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17719989.0	2.3 Gbp	0.0	15-135	47.0	13.000940200850525	132.90881918719023	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-74-TP3_R1_001	POR-74-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21702245.0	2.8 Gbp	0.0	15-135	48.0	14.575620622598567	132.96365394455734	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-74-TP3_R2_001	POR-74-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21702245.0	2.8 Gbp	0.0	15-135	47.0	15.850571759161786	132.80387729472227	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-74-TP4_R1_001	POR-74-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19340555.0	2.5 Gbp	0.0	15-135	49.0	10.390932083497166	132.85047848937117	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-74-TP4_R2_001	POR-74-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19340555.0	2.5 Gbp	0.0	15-135	48.0	10.970474766631053	132.86592277212313	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-83-TP1_R1_001	POR-83-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17837770.0	2.3 Gbp	0.0	15-135	47.0	20.470011359316683	132.79211846548083	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-83-TP1_R2_001	POR-83-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17837770.0	2.3 Gbp	0.0	15-135	46.0	21.06590714195324	132.80146503738976	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-83-TP2_R1_001	POR-83-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18950291.0	2.5 Gbp	0.0	15-135	47.0	16.129783078813873	133.38441045575502	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-83-TP2_R2_001	POR-83-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18950291.0	2.5 Gbp	0.0	15-135	47.0	16.479856298508523	133.17950832522837	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-83-TP3_R1_001	POR-83-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18612942.0	2.4 Gbp	0.0	15-135	48.0	10.76686968276928	133.23076566831833	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	fail	pass
POR-83-TP3_R2_001	POR-83-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18612942.0	2.4 Gbp	0.0	15-135	48.0	11.428224034707196	133.04855610682074	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-83-TP4_R1_001	POR-83-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23207558.0	3 Gbp	0.0	15-135	48.0	11.20103114189173	133.2002890610033	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
POR-83-TP4_R2_001	POR-83-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23207558.0	3 Gbp	0.0	15-135	47.0	11.412945672560822	132.9890103043155	135	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
