"Predictor_Type","N_stable","N_unique_predictors","N_genes_affected","Mean_Selection_Prob"
"Gene Body Meth",644,595,170,0.745652173913044
"lncRNA",6424,4023,218,0.800982254047323
"miRNA",23,15,20,0.767173913043478
