"Predictor","MeanImportance","Type","Selection_Prob","Stable","Mean_Abs_Coef","Stability_Label","Feature"
"lncRNA_25406",0.0484989847015814,"lncRNA",1,TRUE,0.0517038733406282,"***","OG_00171"
"lncRNA_10227",0.0345977412477923,"lncRNA",1,TRUE,0.0357646218235029,"***","OG_00171"
"lncRNA_10228",0.0301017624475755,"lncRNA",1,TRUE,0.0321428485330473,"***","OG_00171"
"lncRNA_10230",0.0300384995315039,"lncRNA",1,TRUE,0.0321600117502972,"***","OG_00171"
"lncRNA_10234",0.0297819999069708,"lncRNA",1,TRUE,0.0319664755065787,"***","OG_00171"
"lncRNA_10226",0.0254746940279769,"lncRNA",1,TRUE,0.0236859696543724,"***","OG_00171"
"lncRNA_370",0.016116048195659,"lncRNA",1,TRUE,0.0199936894412099,"***","OG_00171"
"lncRNA_26602",0.0154228158760937,"lncRNA",0.8,TRUE,0.0169344787097462,"**","OG_00171"
"lncRNA_26601",0.015369000729354,"lncRNA",0.8,TRUE,0.0168740252720952,"**","OG_00171"
"lncRNA_26600",0.0153194564672711,"lncRNA",0.8,TRUE,0.0168277152946597,"**","OG_00171"
"lncRNA_29775",0.0149858693139101,"lncRNA",0.9,TRUE,0.00902670164662137,"***","OG_00171"
"lncRNA_3280",0.0138841548969515,"lncRNA",0.8,TRUE,0.0118479077111214,"**","OG_00171"
"lncRNA_854",0.0135388448186976,"lncRNA",0.9,TRUE,0.0102759331493221,"***","OG_00171"
"lncRNA_13394",0.0133193190735059,"lncRNA",0.9,TRUE,0.0110393017203901,"***","OG_00171"
"lncRNA_853",0.0126252320095731,"lncRNA",1,TRUE,0.00987174873080116,"***","OG_00171"
"lncRNA_13395",0.0125681550663655,"lncRNA",0.9,TRUE,0.00916497669335647,"***","OG_00171"
"lncRNA_14744",0.0124619575199782,"lncRNA",0.9,TRUE,0.00913376445968415,"***","OG_00171"
"lncRNA_14743",0.0124277302896041,"lncRNA",0.9,TRUE,0.0090820132682306,"***","OG_00171"
"lncRNA_46547",0.0118689956362101,"lncRNA",0.9,TRUE,0.0108003783917936,"***","OG_00171"
"lncRNA_46345",0.0115992022129549,"lncRNA",0.8,TRUE,0.0093666059880143,"**","OG_00171"
"lncRNA_6568",0.0608819732522566,"lncRNA",1,TRUE,0.0629468790219974,"***","OG_00297"
"lncRNA_18042",0.0400322136999451,"lncRNA",0.9,TRUE,0.0419609665564237,"***","OG_00297"
"lncRNA_48715",0.0311785817547592,"lncRNA",1,TRUE,0.0408492503478716,"***","OG_00297"
"lncRNA_37959",0.0249550353269123,"lncRNA",1,TRUE,0.020813262311701,"***","OG_00297"
"lncRNA_6605",0.022722177471208,"lncRNA",0.9,TRUE,0.0327974004561286,"***","OG_00297"
"lncRNA_53562",0.022267001967692,"lncRNA",0.7,TRUE,0.0139898834443931,"*","OG_00297"
"lncRNA_1072",0.0217399404148539,"lncRNA",0.6,TRUE,0.00822514464257586,"*","OG_00297"
"lncRNA_34942",0.0205201873558537,"lncRNA",0.7,TRUE,0.0138961764223348,"*","OG_00297"
"lncRNA_20302",0.0201128081694797,"lncRNA",0.5,FALSE,0.0153753816153347,"","OG_00297"
"lncRNA_2881",0.0194769708410168,"lncRNA",0.6,TRUE,0.00932029760119914,"*","OG_00297"
"FUN_015337",0.0185113535930243,"Gene Body Meth",0.4,FALSE,0.0122238981957282,"","OG_00297"
"lncRNA_18396",0.0178086380236554,"lncRNA",0.7,TRUE,0.0215983887921783,"*","OG_00297"
"lncRNA_19181",0.017050198913115,"lncRNA",1,TRUE,0.0160752407960015,"***","OG_00297"
"lncRNA_36657",0.016207090713508,"lncRNA",0.7,TRUE,0.00674643798274815,"*","OG_00297"
"lncRNA_13270",0.0156258309668499,"lncRNA",0.8,TRUE,0.0219831456718085,"**","OG_00297"
"lncRNA_41028",0.0155358652484452,"lncRNA",0.5,FALSE,0.00635811323658583,"","OG_00297"
