,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Species,Sample_ID
apul_ACR.139,0.12387445059009922,-0.11295499365121528,0.48872943043260336,-0.0918783083686894,0.03399121693937259,0.027719092136399053,0.04182786424918679,0.1983007789045398,-0.04621882235336203,-0.39748891986525786,apul,ACR.139
apul_ACR.145,0.27169801416655287,-0.054507245358405745,0.3730849381606371,-0.23311173898954185,0.22540218336734874,-0.0638878622912596,0.145647492003708,0.10447061674230185,-0.008757225389050554,-0.33886719169386853,apul,ACR.145
apul_ACR.150,0.3139602709387217,-0.08575429185187267,0.379960631980486,-0.03288230722965724,0.2594247621050849,-0.09052878067724063,0.08126188549500783,-0.10487703075215993,0.03442762162604042,-0.31844364723193125,apul,ACR.150
apul_ACR.173,0.27528920601398643,0.03889624118859048,0.2994872210406223,-0.14022051151856407,0.23834863907857137,-0.18504898004504192,0.21183929335627713,0.1238352825919094,0.04108423671342681,-0.20141581170686007,apul,ACR.173
apul_ACR.186,0.3029473602774329,-0.2310673406348126,0.4826072794407426,-0.2998618667789036,0.3137197643724143,-0.020516680053847863,0.1701812253876689,0.0068668247719402544,-0.004417195903892317,-0.4505546536759234,apul,ACR.186
apul_ACR.225,0.37838809580613514,0.19113159340663902,0.09864431294173835,3.285303157064775e-05,0.2804464842652662,-0.2627990967250698,0.15386810510895566,0.06447525512921824,0.08014946109732177,-0.09097999460068361,apul,ACR.225
apul_ACR.229,0.31914197300510694,0.29765734057621407,0.04991625921328873,0.1188611396519184,0.13535998954360798,-0.2373990950119168,0.07402334195531292,0.1640001229175881,0.04361539116364542,-0.09966547387046058,apul,ACR.229
apul_ACR.237,0.3491637384573686,0.18257304189306933,0.016999277793110515,0.10332791597054478,0.23405429043029755,-0.21165836021350554,0.06821516513849388,-0.05930348725275468,0.05039848606761632,-0.015608601167027348,apul,ACR.237
apul_ACR.244,0.36914265175272865,0.2839940030773755,-0.05504639708756553,0.1134342306468554,0.23916457735644625,-0.2856001109944841,0.0942700728815632,0.01878551577499081,0.09475590390949816,0.029552656792838243,apul,ACR.244
apul_ACR.265,0.3331986867577379,0.12363805743722439,0.07264082384646124,-0.034990777403544844,0.2915391084161353,-0.22159575877091328,0.17693645177188103,-0.035917914018123304,0.052015325210699535,-0.0797747640631133,apul,ACR.265
peve_POR.216,0.0026908719761852113,-0.020035434829491886,0.09297248605173929,-0.042339983073060666,0.03256298548765985,-0.050165662792701515,0.17458264812015697,0.03952064352520576,-0.022842856177068178,-0.0028006883666331214,peve,POR.216
peve_POR.245,0.009518682990261899,0.14404735992791415,-0.03008925738162736,0.15900536218211128,-0.06547235691225856,0.007385952176166452,-0.005794545791554157,0.05901589996314842,-0.15170655369020633,0.06101071042972646,peve,POR.245
peve_POR.260,0.02301648474996268,0.031220744993602417,0.09319897664373908,0.25797807682337304,-0.024390653927488785,0.08597306027659952,-0.030865078963006404,-0.016487425056708083,-0.26979028335249045,-0.10521060023482284,peve,POR.260
peve_POR.262,-0.06376351535539551,0.1303597601143614,-0.03443326384789823,0.18095989618473035,-0.12684839558262473,0.08482818612036835,-0.03501288044971661,-0.018346460321811427,-0.16441384258966335,0.0147007199382738,peve,POR.262
peve_POR.69,0.0022298097487643284,-0.05609383766243981,0.10760260909992844,-0.303442074782502,0.14366803750443594,-0.23171642099321385,0.31255994234712864,0.1335540181361647,0.2564531705915303,0.055435396362488044,peve,POR.69
peve_POR.72,0.006020488779916242,-0.008077334111442035,0.013775975363327461,-0.1513307435512524,0.1737092656552291,-0.25739869605788274,0.23982006109364082,-0.05174964930146189,0.23990276376248668,0.22795268057265822,peve,POR.72
peve_POR.73,0.018436340854680596,-0.07151679148249963,0.16193944757915546,0.04916079956797296,0.06016330205768724,-0.0471127520454728,0.12756422724079433,-0.010238183578917898,-0.0250658487725035,-0.09615637734491618,peve,POR.73
peve_POR.74,-0.027032342142636077,0.02672759685208748,0.06471427763342107,0.19309232146718172,0.011746038572717502,-0.07651280366502422,0.08962277938550481,-0.08384509259718227,-0.07224301634398218,0.13431237994566725,peve,POR.74
peve_POR.83,0.03861154465133553,0.002364378092227954,0.04447753707870227,-0.27036532608054425,0.22469139818649078,-0.3730351546431465,0.37090706643577803,0.10403960759887683,0.3603683132968693,0.18413761252710048,peve,POR.83
ptua_POC.219,0.07438994869928296,0.028297343682095997,0.08516636542448144,-0.1796918986918766,0.1063996272891622,-0.07857139803441955,0.24469679391745094,0.24378127694321403,-0.04126072879911911,-0.138080950469758,ptua,POC.219
ptua_POC.222,0.02322822837452654,0.053458909287924995,0.042060783257103794,-0.016856439093330105,0.14924537731714307,-0.27314219005450197,0.3016401946280459,0.08494627827772143,0.1394799579300095,0.14880000285478176,ptua,POC.222
ptua_POC.255,-0.044258852981977265,-0.0720868188268843,0.12246744372296062,-0.3119227227143975,0.15575169518036802,-0.19867327309947136,0.4384053412777025,0.21313055178101648,0.11213732334887402,0.014410967911346948,ptua,POC.255
ptua_POC.259,0.04610203258538842,-0.12442243927548413,0.005914562234856257,-0.25459885569413443,0.11933432831207248,0.007544770082840178,0.19095035100159174,0.24396676904059642,-0.04371300891370838,-0.08098185015362228,ptua,POC.259
ptua_POC.40,-0.016733267513791866,0.16587333937184426,0.18446044079978294,0.18976736623225915,0.006280082798320077,-0.273729908524914,0.13413554581334827,-0.031652002166347705,0.1520698972751626,0.17369213655332535,ptua,POC.40
ptua_POC.42,0.06092988273850079,0.569552440218014,-0.03846860543273957,0.1991593138467519,-0.13031042405425242,-0.3253624807754478,-0.015992439218304122,0.20809431217443605,0.18050222997689136,0.2078545821086023,ptua,POC.42
ptua_POC.52,0.06220482519836624,-0.4068986078722074,0.028043056558831443,0.016595575381727443,0.4607723320305685,-0.09115735647613019,0.25157997297514095,-0.6298287312682486,0.027873216572646048,0.2450014909237887,ptua,POC.52
ptua_POC.53,0.05923677018815977,0.23424187513507666,0.09526913838372442,0.2714752981809918,-0.013999215631628956,-0.19644248568836975,0.09235078229083082,0.10877561148621225,-0.01421818261093021,0.05092403610008836,ptua,POC.53
ptua_POC.57,-0.0405737142557822,0.15088632254272946,0.03401766190819635,0.2986123145508747,-0.0533388866695727,-0.13808406485433977,0.05679169812440736,-0.04052020748633197,-0.028662744952549554,0.20321730318318373,ptua,POC.57
