,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
TP1,-4.961673727210317,13.03356661279774,7.53616249563156,16.198736352787385,21.803069377194237,16.23738643461749,0.9001807358435062,21.65872354884495,14.388444985140355,14.234087819353345
TP2,7.356346654291807,6.304440670762628,7.5685407489713,5.241775295021377,-0.17654641976104593,14.27843737105033,12.747267526479838,7.253801018976449,8.638935417933371,22.637388737288084
TP3,4.6653868784465145,6.865720114864923,-0.36576324122893433,16.425113799266306,-0.6958883821175087,15.159160571361658,21.685342979068523,1.8935851242364652,17.821644109971174,-0.04395424803862958
TP4,-2.456172027446094,21.89216868011077,8.146205906946326,11.286843276328549,14.452293123288849,19.84242425239736,11.673742762178865,6.966322632543686,16.4577527540168,10.803595618839815
