Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
2E1_R1_001	92.38905302582329	71.0	150.0	150	54.54545454545454	16734587.0
2E1_R2_001	92.83992510271051	69.0	150.0	150	45.45454545454545	16734587.0
2E3_R1_001	9.662921348314597	56.0	150.0	150	36.36363636363637	445.0
2E3_R2_001	10.561797752808985	57.0	150.0	150	36.36363636363637	445.0
2F2_R1_001	54.878927712309405	70.0	150.0	150	54.54545454545454	106837.0
2F2_R2_001	57.29756545017175	70.0	150.0	150	36.36363636363637	106837.0
2H1_R1_001	57.793058284217416	71.0	150.0	150	54.54545454545454	15270.0
2H1_R2_001	59.102815979043875	70.0	150.0	150	54.54545454545454	15270.0
2H2_R1_001	83.2479068730058	69.0	150.0	150	45.45454545454545	20324284.0
2H2_R2_001	85.2266965710453	68.0	150.0	150	45.45454545454545	20324284.0
