gene_id,ACR-139-TP1,ACR-139-TP2,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP2,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP2,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP2,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP2,ACR-186-TP3,ACR-186-TP4,ACR-225-TP1,ACR-225-TP2,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP2,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP2,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP2,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP2,ACR-265-TP3,ACR-265-TP4
FUN_003718,1701,2011,3818,856,1265,4376,5421,1652,808,4742,5301,1696,1334,3570,6204,1087,960,6195,5993,2040,980,6711,5429,1529,1060,5443,4059,795,741,4236,6673,2763,759,7035,4757,1593,1152,5747,2439,1298
FUN_004204,1640,2972,1796,1313,748,1611,810,965,448,1841,2573,1748,741,982,1204,602,584,2560,818,859,669,1602,2521,579,1441,1659,1731,465,940,1167,3246,990,534,1221,2344,497,614,1875,1588,978
FUN_004291,2158,3172,2304,1728,1999,3155,4209,1866,941,5258,4546,3205,787,1500,2239,885,639,5937,2996,2127,1431,3686,2942,803,2233,7355,3707,1093,1570,3855,5090,2537,1296,5191,3491,1400,1926,6225,2991,1806
FUN_004359,1357,2133,1285,1181,953,1678,1514,956,462,2664,2291,1699,627,1464,2030,662,286,2377,958,1253,700,1489,2089,506,903,1483,1511,245,832,1212,2531,1008,389,2102,2217,567,670,2600,1621,625
FUN_004740,1843,2980,1279,488,964,1164,1566,288,195,1383,3424,1638,509,1205,1813,389,418,2932,1614,684,2018,1867,2855,858,1900,2354,2721,1369,1094,2153,2486,3021,1683,2462,2603,1964,1002,4301,2529,1504
FUN_004866,1433,3084,1249,893,781,1952,1034,1051,213,3040,2080,1920,365,1029,874,216,274,3284,667,969,429,1385,1837,412,938,1688,1227,327,926,1732,2411,708,354,1497,1505,513,525,2986,1793,524
FUN_004891,15062,36384,10560,12880,4187,34388,6353,5297,5917,46681,9443,17849,3638,19474,7853,3430,5924,33964,3123,9834,3336,20527,18578,5153,17810,19934,14076,3352,3852,14313,23713,6405,2328,14259,16989,3235,2328,20263,14022,6787
FUN_000189,1890,3030,1409,1037,868,1930,1370,980,379,4357,3236,1484,549,1658,1505,443,508,3286,1112,1317,467,2140,2327,411,1026,3540,2606,497,583,1620,3745,673,469,3116,3142,403,339,3004,1914,586
FUN_000398,1605,2073,1356,917,896,3778,1792,996,482,3485,3830,2294,511,2062,1697,520,455,4371,2145,1463,503,4801,2126,575,1018,6996,2384,318,858,5596,3923,1251,504,8236,2640,911,600,4390,1134,950
FUN_001108,1644,1941,1980,1108,1079,1181,1732,584,866,2251,2550,1260,488,1158,1516,529,639,1637,1077,1043,409,924,1628,313,1314,1177,1570,598,745,992,2886,1090,779,1164,1874,635,581,1898,1031,749
