gene_id,POC-201-TP1,POC-201-TP2,POC-201-TP3,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP2,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-255-TP4,POC-259-TP1,POC-259-TP2,POC-259-TP3,POC-259-TP4,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP1,POC-42-TP2,POC-42-TP3,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
gene-Pocillopora_meandrina_HIv1___RNAseq.g21145.t1,153,236,42,194,109,51,117,422,155,303,51,229,136,83,153,174,387,167,213,132,192,148,315,256,446,208,61,52,221,262,266,154,204,206,297,245,86,258,448
gene-Pocillopora_meandrina_HIv1___RNAseq.g21409.t1,48,150,26,112,75,8,8,276,44,287,40,38,59,23,63,141,249,24,110,6,22,60,18,40,66,16,5,0,33,71,169,102,44,127,31,36,10,175,80
gene-Pocillopora_meandrina_HIv1___RNAseq.g21591.t1,26,100,19,113,36,17,540,88,71,196,75,18,56,97,131,123,121,49,90,9,24,74,24,25,87,49,53,21,26,68,113,63,43,93,241,67,56,115,323
gene-Pocillopora_meandrina_HIv1___RNAseq.g21636.t1,27,27,24,26,18,7,81,7,15,165,21,3,21,22,17,0,0,37,3,7,12,139,53,27,23,55,56,44,26,53,29,22,10,68,26,34,29,85,271
gene-Pocillopora_meandrina_HIv1___RNAseq.g21959.t1,295,292,179,154,109,66,128,281,161,541,194,117,269,258,471,264,361,403,492,64,97,204,67,116,107,63,74,57,174,323,472,280,168,334,157,288,157,458,227
gene-Pocillopora_meandrina_HIv1___RNAseq.g22028.t1,2149,1809,737,2945,1591,350,1837,1961,1733,5434,2492,1146,1896,1343,3803,1428,2238,2559,3058,1063,1260,2373,1389,1208,1317,1458,1037,111,1377,2254,3609,1459,1102,2890,1922,2399,726,2998,2350
gene-Pocillopora_meandrina_HIv1___TS.g27041.t2,305,397,41,336,136,42,119,735,238,528,152,335,145,116,308,257,418,205,501,140,182,286,232,254,323,229,66,0,309,258,409,203,186,293,256,413,62,349,191
gene-Pocillopora_meandrina_HIv1___RNAseq.g22216.t1,894,1159,228,860,497,169,326,966,490,1379,424,463,546,512,629,450,1114,464,786,402,509,971,448,423,738,482,179,57,683,709,1283,694,639,1468,542,960,233,1079,534
gene-Pocillopora_meandrina_HIv1___RNAseq.g22443.t1,20,81,86,126,60,47,113,165,36,143,28,73,69,116,85,69,61,82,73,29,23,33,11,49,52,31,36,57,31,57,43,40,21,77,105,21,29,85,114
gene-Pocillopora_meandrina_HIv1___RNAseq.g22596.t1,2122,1818,1187,2496,1309,475,2064,1409,1325,3318,1759,993,1497,2370,2485,1238,1874,2620,2318,1003,1083,2077,1155,1294,1495,1240,1791,256,1724,1992,2089,1324,956,2122,2227,1819,902,2381,2721
gene-Pocillopora_meandrina_HIv1___RNAseq.g22614.t1,1031,295,170,585,255,103,553,1296,496,705,443,710,259,204,444,419,347,708,533,610,729,456,868,681,755,726,368,105,505,314,469,321,525,357,895,666,352,497,1430
gene-Pocillopora_meandrina_HIv1___RNAseq.g22784.t1,3585,2906,1071,3113,1794,1139,1869,3092,2686,5263,2054,1478,2117,2644,2471,1487,4188,3342,3106,1917,2468,3934,2809,2890,2834,2227,2338,539,3994,2920,3709,1837,2285,3613,4011,3430,1010,3558,3209
gene-Pocillopora_meandrina_HIv1___RNAseq.g18815.t1,338,483,56,437,292,73,112,1234,416,1388,266,695,255,53,359,409,571,155,551,276,381,511,598,342,399,302,42,0,485,949,1155,449,304,582,144,409,70,685,303
gene-Pocillopora_meandrina_HIv1___RNAseq.g19429.t1,629,681,701,900,698,324,582,726,626,977,586,721,610,754,739,612,471,1000,701,451,513,490,511,586,862,559,615,338,575,816,540,534,424,727,879,565,606,566,894
gene-Pocillopora_meandrina_HIv1___RNAseq.g19898.t1,22,68,5,31,38,0,10,11,0,25,14,5,8,0,16,20,18,9,26,3,0,9,0,0,0,0,4,0,8,0,37,10,0,16,0,6,0,28,18
gene-Pocillopora_meandrina_HIv1___RNAseq.g6855.t1,627,488,191,781,346,197,413,1053,489,781,367,640,414,318,591,585,584,476,822,334,474,479,606,482,700,604,346,37,484,511,692,397,331,651,560,624,234,727,664
gene-Pocillopora_meandrina_HIv1___RNAseq.g7739.t1,157,142,59,164,91,45,78,150,52,203,155,42,137,67,156,198,191,105,233,50,52,156,57,71,85,51,16,0,49,138,184,134,73,227,39,173,74,235,104
gene-Pocillopora_meandrina_HIv1___RNAseq.g7887.t1,2903,2251,935,2138,1616,823,1131,3404,1857,4019,1409,3134,2021,1005,2288,1592,2008,2086,2549,1450,1796,2077,2110,1807,2602,2233,685,479,1847,2219,2388,1433,1435,2095,1739,2519,1135,2478,2236
gene-Pocillopora_meandrina_HIv1___RNAseq.g15071.t1,1100,950,383,776,910,379,582,646,737,2230,891,510,787,552,1212,605,907,636,931,599,620,1082,494,657,614,637,141,237,887,1206,1474,1151,891,1253,770,1082,554,1787,946
gene-Pocillopora_meandrina_HIv1___RNAseq.g15073.t1,5079,2313,2286,12295,3881,1530,3702,398,1771,18095,5108,625,5683,10497,11370,3953,5718,5643,7091,1558,2495,9240,1402,2445,1287,2392,1285,338,2361,7772,15059,9370,4492,17720,2836,4290,1891,21295,4511
gene-Pocillopora_meandrina_HIv1___RNAseq.g15152.t1,2576,2286,806,3409,1473,624,1615,1341,1538,6490,2411,209,1597,2200,3240,2058,3788,3079,4037,598,822,2189,493,991,1008,896,351,453,1404,3118,4359,1516,1124,2059,1172,2124,590,3655,1134
gene-Pocillopora_meandrina_HIv1___RNAseq.g15251.t1,489,402,49,274,331,94,102,236,242,660,204,206,269,166,468,249,521,188,475,157,168,454,188,163,258,205,35,32,255,371,537,276,232,422,135,359,143,585,206
gene-Pocillopora_meandrina_HIv1___RNAseq.g15357.t1,90,137,64,125,76,0,38,204,139,290,78,256,106,67,97,186,148,87,120,30,48,51,58,64,32,34,10,0,52,44,76,64,76,51,68,120,71,178,130
gene-Pocillopora_meandrina_HIv1___RNAseq.g15386.t1,5150,3483,776,2069,2177,578,3398,743,91,12956,2192,0,95,4056,556,210,2734,0,100,21,180,6954,82,1404,232,1025,304,592,405,593,6394,1809,109,28330,885,7748,1887,24853,1887
gene-Pocillopora_meandrina_HIv1___RNAseq.g15636.t1,1825,1574,790,1332,1443,718,683,2000,2114,3899,644,2670,1772,342,1302,1449,2084,1048,2323,1360,2654,1491,1691,918,2253,1525,72,247,2793,3637,3187,2113,2550,2244,1140,1636,380,1939,1139
gene-Pocillopora_meandrina_HIv1___RNAseq.g15914.t1,593,411,140,482,377,162,672,750,717,697,732,537,584,406,554,259,635,947,719,713,986,614,849,1041,1287,555,588,97,1257,453,519,522,890,613,684,755,760,687,1558
gene-Pocillopora_meandrina_HIv1___RNAseq.g24472.t1,18671,47217,19257,24616,25783,12481,17516,32862,46748,41687,21650,28063,36489,25309,26796,22467,38578,34009,34405,26397,33882,23071,35637,27538,44076,31807,45076,8627,49374,51285,26905,26897,24362,32644,30184,29912,18086,28046,27983
gene-Pocillopora_meandrina_HIv1___RNAseq.g24666.t1,179,245,70,93,50,16,20,175,71,147,42,157,58,56,138,103,77,37,129,47,46,73,61,83,105,39,20,0,112,104,210,191,129,218,77,203,130,186,219
gene-Pocillopora_meandrina_HIv1___RNAseq.g25070.t1,1437,1925,372,2871,1663,329,1031,299,805,2320,697,362,939,1048,1430,801,1198,1702,1613,568,695,776,473,465,684,487,286,175,1153,2214,1616,598,736,821,666,932,468,1324,389
gene-Pocillopora_meandrina_HIv1___RNAseq.g22881.t1,1894,3561,1818,2596,2053,1108,1740,2013,2704,3770,1468,2438,2581,2439,2849,2218,2493,3030,3193,1515,1835,1499,1998,1402,2618,2275,2532,452,2549,3246,3028,1739,1565,2070,2089,1388,1452,1950,2331
gene-Pocillopora_meandrina_HIv1___RNAseq.g22968.t1,2488,1816,566,1501,1200,713,981,1932,1668,4053,1323,2004,1411,785,1864,1295,2358,1672,2480,1463,2174,2529,2331,1307,1904,1671,393,369,1951,2204,3036,1980,1716,2757,1847,2001,621,2670,2790
gene-Pocillopora_meandrina_HIv1___RNAseq.9341_t,542,947,270,813,565,152,205,1288,884,1154,483,556,548,296,527,715,1135,488,982,286,466,629,499,353,717,532,250,136,536,556,911,389,502,505,282,394,206,646,321
gene-Pocillopora_meandrina_HIv1___RNAseq.g27065.t1,30,69,27,62,14,11,11,71,14,51,16,17,17,9,24,30,37,13,36,25,29,10,17,7,27,18,11,0,33,16,51,30,22,48,21,50,23,36,41
gene-Pocillopora_meandrina_HIv1___RNAseq.g27785.t1,159,441,89,335,139,56,234,212,137,533,141,92,170,251,294,251,467,352,497,52,58,271,117,75,117,67,45,28,154,325,310,204,128,273,218,118,70,249,544
gene-Pocillopora_meandrina_HIv1___RNAseq.g27944.t1,607,668,161,1161,517,142,712,647,464,2230,494,454,502,331,1237,691,983,451,1511,192,306,643,291,237,220,325,226,41,417,879,1470,795,578,980,838,388,205,804,773
gene-Pocillopora_meandrina_HIv1___RNAseq.g5324.t1,106,299,26,158,73,70,56,298,104,402,29,150,56,25,137,128,189,68,71,45,39,113,100,92,104,58,24,0,34,133,254,111,116,329,75,88,27,235,109
gene-Pocillopora_meandrina_HIv1___TS.g24505.t2,552,571,198,691,983,185,990,678,353,765,176,470,394,320,419,395,469,197,413,268,284,443,262,332,458,300,193,26,405,449,664,508,443,573,230,291,309,400,398
gene-Pocillopora_meandrina_HIv1___RNAseq.g5810.t1,550,259,24,108,70,32,139,610,180,1118,138,228,172,47,434,214,535,177,502,251,129,573,235,166,212,189,19,51,315,372,994,286,221,668,106,302,31,637,387
gene-Pocillopora_meandrina_HIv1___RNAseq.g1753.t1,36054,19852,10730,71101,29790,5433,10639,1423,5352,139524,26945,2444,28068,41245,55740,43552,40079,25689,39370,6212,8393,61083,4910,4249,3326,5325,1434,1942,5458,36222,91905,65107,14021,97745,5249,22914,4417,125368,11397
gene-Pocillopora_meandrina_HIv1___RNAseq.g1911.t1,2081,1227,911,1396,848,364,1868,2713,2652,1931,1938,2613,1095,701,1683,1157,1027,1358,1631,2159,3207,1411,2511,1557,3431,2453,3250,103,2806,1324,1336,1278,1705,1549,2431,1556,1509,1284,4108
gene-Pocillopora_meandrina_HIv1___RNAseq.g1962.t1,39,148,15,62,64,10,22,248,73,242,29,85,42,49,45,88,100,22,91,33,35,128,52,77,77,17,23,0,41,61,120,72,55,180,58,41,23,66,90
gene-Pocillopora_meandrina_HIv1___RNAseq.g2119.t1,1062,1184,927,2356,924,578,1087,2513,1130,2444,1195,2965,1522,1070,2981,880,1310,2046,2797,732,1173,1027,1358,575,1126,1136,1021,212,1020,1924,1958,1050,1334,1304,1969,1269,597,1609,951
gene-Pocillopora_meandrina_HIv1___RNAseq.g2165.t1,3470,12497,4918,8813,9288,2790,2353,4391,4330,6868,2169,2649,6360,4302,5726,8468,5681,5818,8815,3212,3427,2392,1905,1610,3878,1608,1614,915,4703,5579,4350,5750,4845,3934,3021,2468,3426,4996,1305
