gene_id,POR-216-TP1,POR-216-TP2,POR-216-TP3,POR-216-TP4,POR-236-TP1,POR-236-TP2,POR-245-TP1,POR-245-TP2,POR-245-TP3,POR-245-TP4,POR-260-TP1,POR-260-TP2,POR-260-TP3,POR-260-TP4,POR-262-TP1,POR-262-TP2,POR-262-TP3,POR-262-TP4,POR-69-TP1,POR-69-TP2,POR-69-TP3,POR-69-TP4,POR-72-TP1,POR-72-TP2,POR-72-TP3,POR-72-TP4,POR-73-TP1,POR-73-TP2,POR-73-TP3,POR-73-TP4,POR-74-TP1,POR-74-TP2,POR-74-TP3,POR-74-TP4,POR-83-TP1,POR-83-TP2,POR-83-TP3,POR-83-TP4
gene-Peve_00000123,57,210,67,42,241,63,102,33,46,83,240,81,40,61,67,131,107,72,24,58,58,13,56,19,58,31,55,36,13,33,57,19,51,17,50,44,27,23
gene-Peve_00033583,124,126,34,16,103,46,80,34,25,69,153,52,45,75,50,67,105,92,70,68,65,37,70,64,71,139,48,26,17,36,69,21,32,11,30,23,31,31
gene-Peve_00041722,251,231,63,39,220,63,62,77,62,118,174,57,61,61,107,184,164,132,202,60,58,96,235,210,96,365,70,53,18,33,114,66,62,44,164,67,71,138
gene-Peve_00000138,54,79,52,16,141,33,89,37,33,56,147,34,64,79,29,13,0,26,24,57,16,13,25,31,51,55,0,11,0,7,18,5,31,13,24,31,28,11
gene-Peve_00010009,44,66,51,0,16,12,25,16,8,28,82,8,20,17,53,79,40,53,33,39,17,21,30,29,30,41,0,16,14,18,17,17,19,4,36,6,4,0
gene-Peve_00013532,13,22,17,0,54,9,25,15,8,34,33,8,25,31,9,23,16,18,24,16,10,6,29,13,17,34,0,14,24,0,21,0,9,3,14,0,9,13
gene-Peve_00014539,15622,12888,7742,5071,13397,6994,10285,6024,8163,8413,13969,6542,9683,9910,11348,7426,9649,8160,9593,7323,8153,6976,12271,9404,12996,12252,8356,6407,4114,6287,10937,4797,9700,6085,8043,7274,7119,8936
gene-Peve_00016475,173,271,99,48,194,86,120,81,104,113,262,120,107,181,103,92,128,58,149,182,115,61,224,229,194,220,96,92,60,111,129,49,88,73,52,79,70,72
gene-Peve_00020046,31,77,12,12,36,20,84,43,11,19,79,27,42,21,72,40,75,61,30,31,35,15,36,15,28,59,25,7,32,13,66,21,22,6,19,4,24,6
gene-Peve_00022572,123,221,66,46,189,37,110,45,48,84,234,44,108,103,134,136,137,102,26,125,46,19,53,57,90,77,43,33,18,39,66,16,89,13,46,68,30,40
gene-Peve_00022577,1392,1593,575,351,1603,718,1605,811,693,1444,2881,797,598,1019,926,947,1336,705,1163,1174,781,510,631,1581,1562,1686,714,752,385,836,1459,604,1311,683,482,970,693,356
gene-Peve_00024585,26,191,21,10,89,22,38,25,23,0,290,22,21,35,56,77,65,85,32,45,0,5,27,6,8,40,0,4,14,29,29,14,31,22,16,20,5,5
gene-Peve_00029386,131,161,108,57,90,53,45,40,30,80,78,18,23,38,118,138,163,139,31,96,45,27,75,78,58,72,28,28,69,100,51,47,61,32,72,37,45,29
gene-Peve_00032728,71,108,32,7,76,15,20,25,8,90,94,8,8,31,54,114,57,53,32,12,17,15,47,19,13,81,7,19,16,5,0,8,21,18,29,8,8,4
gene-Peve_00033619,130,240,47,27,160,86,155,127,54,75,213,66,67,86,124,150,170,82,145,95,54,66,92,127,117,275,57,42,13,62,219,38,104,52,80,65,70,18
gene-Peve_00038134,372,451,241,81,307,116,223,170,36,244,275,130,147,171,295,290,323,239,141,124,90,67,206,228,127,270,155,110,99,116,197,89,193,75,226,115,176,175
gene-Peve_00038375,276,350,76,69,187,95,173,96,52,225,294,101,70,182,200,244,249,197,129,97,106,64,127,93,144,201,129,56,32,69,152,96,95,94,73,81,61,88
gene-Peve_00040670,39,96,9,18,58,13,16,30,0,71,89,19,25,37,18,78,47,34,12,34,28,5,46,25,27,13,18,25,11,9,45,12,27,10,3,2,6,2
gene-Peve_00043723,6825,7186,1655,1255,8252,1298,6225,324,3806,4546,13504,3079,3476,4106,4763,5305,3697,656,2107,6248,2324,850,2953,5614,6847,4252,3768,2193,922,1910,6420,1128,5662,1109,1026,3906,1205,1038
gene-Peve_00043716,148,204,57,38,204,75,112,73,53,48,208,35,60,82,165,146,182,70,35,95,34,9,59,39,24,36,37,23,50,28,133,21,76,16,42,12,0,16
gene-Peve_00044575,682,1286,228,131,498,323,649,339,196,391,780,247,220,399,500,572,516,459,382,377,220,191,200,474,225,605,131,122,93,318,436,226,262,235,186,306,113,169
gene-Peve_00000984,71,169,27,31,69,49,83,50,25,27,77,45,25,43,57,24,50,44,82,74,53,57,75,132,123,168,103,27,38,40,77,20,42,50,39,67,40,53
gene-Peve_00002414,1504,2759,548,481,1342,679,1285,658,522,1101,2444,845,774,1230,1347,1729,1332,1420,970,963,267,426,1033,1721,668,1896,232,403,368,520,1317,729,769,643,502,919,287,514
gene-Peve_00007775,618,174,79,51,172,62,113,83,41,223,253,60,41,95,75,206,315,88,147,58,104,197,146,302,130,450,102,52,37,36,258,76,104,86,119,115,36,124
gene-Peve_00007763,57,151,34,35,96,54,0,0,49,57,113,29,60,118,0,0,0,0,55,158,71,25,0,0,0,0,46,19,23,25,0,0,0,0,6,58,22,25
gene-Peve_00008100,0,83,7,0,55,28,30,15,5,35,47,5,9,16,8,39,32,12,10,16,7,0,18,0,15,18,24,6,8,5,14,2,10,0,14,9,9,0
gene-Peve_00009052,1550,3222,967,647,2292,1067,1730,881,883,1329,2351,1162,973,1281,1375,1477,1725,961,590,1172,676,552,925,1356,1303,1565,866,548,495,788,1499,497,1343,540,679,1018,570,570
gene-Peve_00010478,1335,8010,1380,664,5384,2332,2741,305,1798,4974,10580,3384,2643,3451,2067,7279,4459,648,510,3598,1700,308,849,1124,4385,930,2375,1297,914,955,2271,313,4154,351,321,978,621,242
gene-Peve_00010479,1250,1327,724,373,1517,542,2008,683,1138,319,2513,746,845,735,1045,740,1368,584,866,1453,756,340,460,957,930,1127,657,432,403,1044,1064,399,1391,602,489,851,622,433
gene-Peve_00010770,73,145,39,17,162,61,74,40,29,122,394,63,28,72,98,169,134,97,58,96,24,32,98,65,67,124,91,57,23,26,61,33,49,11,68,33,37,19
gene-Peve_00011814,43,696,532,79,96,65,225,92,134,68,63,12,531,88,65,234,1350,314,218,294,326,44,44,340,130,576,122,237,31,561,256,90,96,127,110,458,246,37
gene-Peve_00018430,43,60,13,0,76,16,627,157,20,0,186,59,40,35,0,14,31,4,1363,3487,1657,284,0,15,0,12,8,0,0,62,28,0,21,21,0,26,8,8
gene-Peve_00019361,1477,2053,534,378,1358,687,1318,765,560,1383,1470,744,648,1053,930,962,1393,845,969,816,822,762,957,1518,1412,2398,736,578,362,732,998,474,747,836,730,984,741,699
gene-Peve_00021857,12,19,22,0,0,0,8,0,5,0,3,6,7,0,10,0,7,0,5,28,6,0,8,12,12,5,4,0,0,4,6,0,0,4,0,0,0,0
gene-Peve_00023595,774,4427,1109,756,3046,1288,2781,1682,1829,260,3349,1153,1445,1554,1721,1547,2540,1997,1136,2010,586,453,1042,1361,706,2132,442,483,903,1037,1545,756,2643,1232,752,1558,892,446
gene-Peve_00026295,1484,1356,348,341,980,491,962,411,274,589,1444,606,419,766,863,782,825,482,941,582,433,343,820,1085,715,1273,426,387,208,378,926,298,596,326,505,544,323,360
gene-Peve_00027129,168,255,145,34,253,67,134,88,24,183,235,90,120,107,76,183,181,95,104,92,84,79,106,138,204,146,114,84,64,22,86,32,65,28,78,30,85,24
gene-Peve_00031034,255,1298,173,175,211,120,522,306,69,411,931,321,181,480,386,824,557,456,186,242,106,94,239,687,166,674,75,40,176,128,677,379,208,381,69,148,87,179
gene-Peve_00031413,10,23,15,0,46,12,14,13,24,54,46,0,24,15,12,66,32,18,6,23,10,0,37,40,21,30,0,0,3,0,16,6,10,0,33,6,14,9
gene-Peve_00031789,2572,10663,2528,577,7005,1591,1833,447,1621,6081,8086,3713,1801,3175,1187,4123,5103,636,1058,5023,4362,922,816,2086,5337,1956,4415,1993,1372,729,1446,317,4797,523,623,1473,1576,405
gene-Peve_00032197,2357,3424,1380,352,3028,2057,8722,1128,5318,824,7971,1128,6363,1315,4716,2454,2980,1215,10574,8848,1927,2950,657,8189,4956,8008,986,6833,1059,14192,2775,738,2978,2220,372,15569,2174,1885
gene-Peve_00032419,262,411,104,38,134,63,129,37,31,116,332,117,79,129,135,180,188,89,104,120,49,41,147,132,144,218,87,78,37,51,180,32,111,68,80,98,40,62
gene-Peve_00033291,20984,3490,12492,2844,16954,12321,10063,4275,12326,188,28629,20664,15730,12098,242,782,1446,44,12089,13857,22204,3323,1430,4147,2048,8862,2978,208,486,8740,5388,243,5034,160,1147,7164,12331,20072
gene-Peve_00033814,312,410,118,41,290,138,192,69,60,191,345,85,87,156,193,192,215,123,207,107,134,81,229,205,233,211,126,110,44,75,230,69,131,92,75,149,53,64
gene-Peve_00034272,2705,2193,1439,912,2303,907,2860,1059,1008,1313,3096,976,982,1361,1799,2221,1550,1215,1392,1603,1082,721,2107,1208,1565,1986,1248,633,560,1060,2244,658,1915,860,1305,1261,829,1109
gene-Peve_00035999,1811,1992,665,533,1393,878,1114,664,535,1046,2047,1022,729,1188,1267,1075,1304,998,837,894,705,672,788,1194,1048,1678,548,656,406,578,1019,497,736,577,660,912,740,616
gene-Peve_00037800,21,122,68,34,74,33,17,35,9,63,65,32,25,32,45,98,130,76,24,29,10,4,34,11,19,13,17,20,10,4,31,13,39,6,10,4,0,2
gene-Peve_00038462,42,62,25,17,45,15,33,8,8,90,67,23,8,37,52,92,66,56,44,26,19,14,44,37,60,73,25,22,5,9,44,18,28,3,56,35,30,13
gene-Peve_00039152,65,30,5,0,47,13,15,4,2,29,109,9,5,0,7,18,32,20,24,17,18,5,64,44,11,48,13,11,3,7,22,10,0,11,28,4,15,12
gene-Peve_00039168,72,189,29,22,108,28,61,36,16,34,111,25,15,38,52,33,37,22,16,47,21,0,27,11,39,24,43,15,23,19,54,10,43,11,59,22,26,13
gene-Peve_00039191,271,589,300,132,317,216,282,178,107,373,288,146,145,196,216,204,390,233,188,77,130,49,218,285,318,376,123,40,97,107,220,116,125,132,180,129,189,100
gene-Peve_00039940,81,174,64,51,133,64,45,33,21,76,110,41,32,59,79,110,92,71,46,102,65,33,64,66,94,113,46,69,35,49,106,59,69,51,24,32,22,6
gene-Peve_00040305,347,479,162,170,455,243,372,230,124,205,316,185,247,410,629,413,445,355,185,248,135,94,311,191,267,297,211,116,112,131,375,151,365,191,122,98,164,119
gene-Peve_00040415,155,265,132,53,258,96,182,109,29,190,268,74,88,99,119,253,302,132,93,100,66,70,174,227,87,212,79,61,58,42,122,88,109,31,185,145,44,70
gene-Peve_00040540,567,316,138,80,236,102,257,99,90,203,407,136,174,191,258,152,219,85,318,222,177,145,390,358,510,413,303,284,55,114,324,121,164,110,133,153,224,169
