goslim_term,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35
cell motility,8,4,2,9,2,5,2,2,5,4,2,10,7,2,4,10,4,3,8,8,3,1,2,0,5,9,6,5,7,5,2,6,1,4,3
chromatin organization,3,0,7,0,0,0,1,0,0,0,1,0,1,0,2,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
chromosome,0,1,1,0,0,0,2,1,0,1,0,0,0,0,2,1,1,1,0,1,2,0,0,0,0,1,0,2,0,0,1,1,0,0,0
chromosome segregation,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cilium,2,0,3,0,1,1,2,1,0,1,0,2,3,0,2,1,0,0,2,3,1,0,1,0,1,0,1,1,3,0,1,0,1,1,2
cilium organization,3,1,3,0,0,1,3,0,0,0,0,1,3,1,1,3,0,1,2,4,0,0,0,1,1,0,2,0,2,0,0,2,1,0,1
circulatory system process,1,0,0,4,0,0,0,0,1,1,0,1,0,0,0,3,1,0,1,1,1,0,0,1,0,2,0,0,0,2,0,1,0,0,0
cyclase activity,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cytokinesis,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cytoplasmic translation,0,0,6,0,7,3,7,0,0,1,7,0,4,7,1,0,0,7,0,0,0,7,5,0,5,0,2,1,0,0,0,0,0,2,5
cytoplasmic vesicle,13,0,3,8,5,2,3,4,4,7,4,13,4,2,3,4,4,3,8,4,5,2,4,6,5,5,3,2,4,10,3,1,5,6,2
cytoskeletal motor activity,1,0,2,2,0,0,0,0,1,0,1,1,4,0,0,0,0,0,3,2,1,0,0,0,0,1,3,0,0,0,1,0,0,1,0
cytoskeletal protein binding,7,1,3,6,0,2,3,2,3,5,3,2,5,2,3,7,4,1,15,5,3,0,2,4,2,6,5,7,0,3,3,1,1,4,3
cytoskeleton,7,2,4,5,0,2,5,2,2,2,3,3,5,0,2,4,1,2,7,4,3,0,2,1,2,6,2,5,4,4,2,2,1,2,3
cytoskeleton organization,6,4,1,2,0,2,3,4,3,0,0,1,8,3,2,7,3,0,8,6,2,0,1,4,4,3,4,5,5,8,4,3,3,2,5
cytosol,22,13,17,11,11,14,12,17,14,12,14,8,15,9,16,14,8,11,20,17,11,7,9,7,14,19,17,8,12,13,12,13,13,7,12
defense response to other organism,1,1,0,2,1,1,1,1,3,0,0,1,1,0,2,2,1,0,2,1,1,1,3,0,1,4,1,2,1,1,1,1,0,1,0
detoxification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
digestive system process,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
endocrine process,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
