,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Species,Sample_ID
apul_ACR.139,0.028617258501696358,-0.05104272847619448,0.12398747973682522,0.13508561634172964,0.10374539018986,0.19980518553089013,0.014307801129724799,0.02113979767448789,0.0265482100596971,-0.1144353111475179,apul,ACR.139
apul_ACR.145,0.06147444747452421,-0.20482281278371176,0.27247437056456925,0.15107469062012976,0.13427315175421736,0.14789512696503188,0.07864303046736972,-0.028522898932415473,0.09755600650872764,-0.06938185062118415,apul,ACR.145
apul_ACR.150,-0.04793056508630483,-0.19423167310537756,0.32852615585659184,0.12697305460054303,0.13642003967361285,0.18967039427243168,0.2105735429859044,-0.16758553952800911,0.1078018278473206,-0.16022175921226695,apul,ACR.150
apul_ACR.173,0.17925129956065003,-0.16249873611444632,0.23718487377395012,0.11471762527494042,-0.10114075397304816,0.09687825817904525,0.04194453280071101,-0.04681772448066815,0.2334161449448138,-0.02346293819585864,apul,ACR.173
apul_ACR.186,0.034482338544464364,-0.2853855325213394,0.31447923870246886,0.07102897629793671,0.24330212175073979,0.28637591878130014,0.12583124169965462,-0.11591964297238061,0.008691344367194483,-0.264289196323517,apul,ACR.186
apul_ACR.225,0.04743263155085996,-0.11759254569889194,0.3944270646410808,0.26680426831703435,-0.06654108650037596,-0.08719146500605124,0.1532226631114429,-0.11293989084212556,0.36774975706015367,0.1502335830816249,apul,ACR.225
apul_ACR.229,0.04399519848895854,-0.03742259186707628,0.32703643589130216,0.37348658154502806,-0.021112230512235486,-0.15469465695316553,0.09547870028200363,0.02635233341199225,0.32023110081272943,0.27135219664009813,apul,ACR.229
apul_ACR.237,-0.004136901407670092,-0.09589153397506259,0.35524565599169716,0.2408018629279586,-0.024611076333482664,-0.08856129806658593,0.1625898005616394,-0.13849519585380832,0.3157539213265125,0.1383267472116767,apul,ACR.237
apul_ACR.244,0.03094333575910797,-0.0716025171078597,0.3485569051835823,0.2341701594537498,-0.16425798598132155,-0.17577268103604007,0.16624717624326585,-0.12892445722632087,0.4096032998200432,0.21555595397235375,apul,ACR.244
apul_ACR.265,0.09463519370785299,-0.14729520549352618,0.3482128435387711,0.20680031226681603,-0.004676654926518187,-0.03574285933532208,0.10082070386790708,-0.12726992724253264,0.27000901312471437,0.08936897354131153,apul,ACR.265
peve_POR.216,0.16866540726813134,-0.12102822735650837,0.02566936348830934,0.2026328717825623,0.25053015124323363,0.10495326035215356,-0.09074178102794372,0.26630761558083554,-0.1426901635910495,0.04636003380830216,peve,POR.216
peve_POR.245,0.18128778159868977,0.08202170002885392,0.026475987279757977,0.19736806827513806,0.031043666522206727,-0.09459545261473995,-0.19416788267642643,0.08328259173820393,0.08059271617704693,0.22294909775219732,peve,POR.245
peve_POR.260,0.3038746115810503,0.13753547655221388,0.04798707572437453,0.10783113411710608,-0.018293861288363803,-0.03590217366878667,-0.29579993391581655,-0.0971355383777776,0.10805122517810312,0.08434154249740716,peve,POR.260
peve_POR.262,0.18751651164533206,0.12861915027919682,-0.039967116466858583,0.1727686861645393,0.09177389356657673,-0.09027974835742675,-0.2233568678609755,0.061697786135283844,-0.020600568461282987,0.23305576026772712,peve,POR.262
peve_POR.69,0.021630392965237867,-0.31297345329204634,0.008456459461209249,0.03068256973248582,0.12436673479487342,0.2041798226174143,0.16200345334381827,0.3576474997855901,-0.173859330427609,-0.13581280916544067,peve,POR.69
peve_POR.72,0.03914646815470565,-0.22495744908686366,-0.013503395606874895,-0.09768592444435249,-0.16399815542179189,0.14995621802962059,0.15391855836642282,0.15029747842800462,0.0013348280069717703,-0.11204207657040186,peve,POR.72
peve_POR.73,0.19101692645499693,-0.041523817282411876,0.009752413488733415,-0.022125962359475976,-0.0618260910725139,0.10155530131489195,-0.05794398753324043,-0.003431797461938291,0.011743702268072925,-0.11048514413841662,peve,POR.73
peve_POR.74,0.2504958027160454,0.04093925685433651,-0.029262665174015396,0.01861121673120613,-0.17031289720724138,0.06339605365381445,-0.1555146762081859,-0.008619973614584279,0.10195921445683079,0.009585388528709054,peve,POR.74
peve_POR.83,0.05290015015120774,-0.33852365329082,0.012735716792256813,-0.05909215284521627,-0.13088243716067588,0.18410055959692856,0.23332549133339736,0.3146829746289905,-0.037475039206845674,-0.1513171774472959,peve,POR.83
ptua_POC.219,0.3732926949623894,-0.08759891088474749,0.046010698214359304,0.07295367420782221,0.0054362111837778825,0.005073970140985637,-0.21281452572672505,0.13207912408573472,0.034506245142757325,0.03623148484719,ptua,POC.219
ptua_POC.222,0.2859519212970407,-0.13643404014029326,0.002911202034417981,-0.02693257051407104,-0.25640854599073065,0.06425164646160206,-0.01650481186081307,0.15672444852972914,0.1111698267775279,-0.03334086227169307,ptua,POC.222
ptua_POC.255,0.3670911836527558,-0.20984739591581972,-0.022898181502438494,0.007441222559604855,0.009743728642641858,0.15845786846787463,-0.13881869113742443,0.27932998550444027,-0.0885540332952662,-0.09266189907273208,ptua,POC.255
ptua_POC.259,0.2293295379961434,-0.12042163945042841,0.0367249041337966,-0.06144581255735681,0.04418618617624758,0.017686961558922288,-0.12232059241331698,0.08241502547222815,-0.004518194007100881,-0.10129714084437016,ptua,POC.259
ptua_POC.40,0.08522374407933005,-0.02528922264980647,-0.03594492751198011,0.08089513183018981,-0.3208424924585498,0.10460901342290417,0.08188275074224514,0.14480781597018938,0.14760232893043174,0.07753722761808526,ptua,POC.40
ptua_POC.42,-0.04540688848946139,0.10795527947185427,-0.011827007629311275,0.22311112066079478,-0.42835752174818786,-0.1801767635009251,0.10969690160790949,0.1589162826407979,0.3251629675288402,0.41691276753433165,ptua,POC.42
ptua_POC.52,0.3416520206863713,-0.13311057919385846,0.038954958374303954,-0.5707034323833151,-0.44401946490697747,0.2581885895742634,-0.050195775645310386,-0.6005538586198097,0.17848502679523326,-0.5036659740283072,ptua,POC.52
ptua_POC.53,0.27090830742162225,0.04930101905054719,0.024218367756333292,0.13747287823714038,-0.2898956047206251,-0.0450523156184658,-0.09785479208912864,0.09416889747669496,0.2317317955516144,0.15622972717050002,ptua,POC.53
ptua_POC.57,0.21192600532596476,0.08139948171430163,-0.04087159280143061,0.10597949199778484,-0.22458231578700613,-0.008252728093465228,-0.11979366592341813,0.07927120507878287,0.14798164487789753,0.13743358435121888,ptua,POC.57
