Iteration,Loss
1,1293927.4559041942
2,875301.6741199517
3,659584.556515418
4,582176.0161592062
5,553201.8984872522
6,536764.1134463223
7,525493.6829492883
8,517893.05365838343
9,512273.2193867429
10,507669.28090665257
11,503805.2028000229
12,500661.2037478718
13,497896.79080524016
14,495445.90660688095
15,493253.8689193083
16,491281.52452433854
17,489497.07383633405
18,487874.12560448004
19,486390.74258292513
20,485028.9238423798
21,483773.4855296761
22,482611.5971136289
23,481532.41630610265
24,480526.6374014588
25,479591.95967627503
26,478722.2184086186
27,477903.39772049524
28,477130.43564512813
29,476398.95633502025
30,475705.1504881885
31,475045.69634192204
32,474417.6571239312
33,473818.38642167766
34,473245.6059138244
35,472697.17050789716
36,472171.20808988437
37,471666.0214385865
38,471180.09658909077
39,470712.08599049784
40,470260.7419150034
41,469824.926516565
42,469403.63764913334
43,468995.95429636864
44,468601.0650114701
45,468218.19063982135
46,467846.63898786856
47,467485.7646229011
48,467134.9715691125
49,466793.73120019166
50,466461.53750740224
51,466137.92548058974
52,465822.4696300118
53,465514.7667961414
54,465214.46240656823
55,464921.212253992
56,464634.69867612096
57,464354.9516985123
58,464081.42767686676
59,463813.83120126836
60,463551.91791766
61,463295.4590587467
62,463044.23591758497
63,462798.0500379107
64,462556.7236494883
65,462320.08692141855
66,462087.9752151603
67,461860.2306934055
68,461636.7028564052
69,461417.2535774056
70,461201.7575159627
71,461024.8032353651
72,460855.4721829649
73,460689.0278236149
74,460525.2541840095
75,460364.03193709813
76,460205.2694048388
77,460048.88738392806
78,459894.8159311628
79,459742.9897549129
80,459593.3463255083
81,459445.8271388025
82,459300.3774178419
83,459156.94536949927
84,459015.47951528896
85,458875.9299362437
86,458738.253679215
87,458602.4074540916
88,458468.34836573806
89,458336.03485546727
90,458205.42712691333
91,458076.4870668473
92,457949.1783500435
93,457823.4643167625
94,457699.31140875816
95,457576.68586885696
96,457455.5563774039
97,457335.8932206356
98,457217.66756838467
99,457100.8490376021
100,456985.408131924
101,456871.3200908704
102,456758.55777276354
103,456647.09920916194
104,456536.91850563
105,456427.99143005814
106,456320.29499761993
107,456213.8040875015
