Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
POC-201-TP1_hisat2	19698923	19698923	8740780	10617216	340927	1029034	11809671	3435917	177904	70.02	88952.0	5904835.5	1717958.5
POC-201-TP2_hisat2	21244523	21244523	10293951	10322345	628227	1027209	14662968	3633361	237155	65.49	118577.5	7331484.0	1816680.5
POC-201-TP3_hisat2	15829437	15829437	10671018	4949406	209013	708688	18071142	1762741	90777	42.92	45388.5	9035571.0	881370.5
POC-219-TP1_hisat2	20376909	20376909	9720247	10316230	340432	1073962	13642963	3470982	178625	66.52	89312.5	6821481.5	1735491.0
POC-219-TP2_hisat2	18547378	18547378	9413664	8802139	331575	872231	13869352	3062061	151453	62.61	75726.5	6934676.0	1531030.5
POC-219-TP3_hisat2	20948211	20948211	18133781	2727444	86986	416825	34484022	906917	42973	17.69	21486.5	17242011.0	453458.5
POC-219-TP4_hisat2	19082344	19082344	11017076	7797816	267452	1013871	17104800	2766214	135396	55.18	67698.0	8552400.0	1383107.0
POC-222-TP1_hisat2	19123933	19123933	8222968	10528396	372569	976492	10821126	3491714	180112	71.71	90056.0	5410563.0	1745857.0
POC-222-TP2_hisat2	21840314	21840314	10726810	10711160	402344	1022291	15364147	3844823	200068	64.83	100034.0	7682073.5	1922411.5
POC-222-TP3_hisat2	22469132	22469132	9613060	12396040	460032	1186962	12695390	3939115	217691	71.75	108845.5	6347695.0	1969557.5
POC-222-TP4_hisat2	16561377	16561377	7988089	8305234	268054	973301	10937371	2941892	150313	66.98	75156.5	5468685.5	1470946.0
POC-255-TP1_hisat2	18816147	18816147	8886592	9640633	288922	1038156	12323250	3216760	156862	67.25	78431.0	6161625.0	1608380.0
POC-255-TP2_hisat2	19902679	19902679	9562330	9980985	359364	916703	13751121	3371099	169034	65.45	84517.0	6875560.5	1685549.5
POC-255-TP3_hisat2	23909113	23909113	14993695	8516272	399146	1255560	24251764	3067372	157134	49.28	78567.0	12125882.0	1533686.0
POC-255-TP4_hisat2	20436034	20436034	9354468	10730230	351336	1197127	12555189	3574264	185229	69.28	92614.5	6277594.5	1787132.0
POC-259-TP1_hisat2	17721567	17721567	9312720	8130603	278244	707217	14210979	2845155	154872	59.9	77436.0	7105489.5	1422577.5
POC-259-TP2_hisat2	20603548	20603548	10683555	9520832	399161	974790	15756631	3459750	201149	61.76	100574.5	7878315.5	1729875.0
POC-259-TP3_hisat2	21755938	21755938	10976872	10473110	305956	1115060	15847077	3720540	156007	63.58	78003.5	7923538.5	1860270.0
POC-259-TP4_hisat2	18935819	18935819	8479435	10117032	339352	916777	11574839	3379070	171407	69.44	85703.5	5787419.5	1689535.0
POC-40-TP1_hisat2	17857937	17857937	8189580	9357424	310933	793569	11303210	3316536	172276	68.35	86138.0	5651605.0	1658268.0
POC-40-TP2_hisat2	20998988	20998988	9584785	11037186	377017	1083855	13049464	3780509	171887	68.93	85943.5	6524732.0	1890254.5
POC-40-TP3_hisat2	20129356	20129356	9209203	10509521	410632	999381	12555260	3656684	207700	68.81	103850.0	6277630.0	1828342.0
POC-40-TP4_hisat2	19027640	19027640	8522875	10211471	293294	953149	11301183	3658326	179943	70.3	89971.5	5650591.5	1829163.0
POC-42-TP1_hisat2	17847993	17847993	8516211	9017412	314370	942791	11578376	3403797	164667	67.56	82333.5	5789188.0	1701898.5
POC-42-TP2_hisat2	21803958	21803958	9756414	11707861	339683	819821	13749546	3974844	148796	68.47	74398.0	6874773.0	1987422.0
POC-42-TP3_hisat2	19488071	19488071	8963888	10168513	355670	1177485	11713584	3701829	157393	69.95	78696.5	5856792.0	1850914.5
POC-42-TP4_hisat2	15868945	15868945	9584309	6058435	226201	910656	14470372	2735391	141543	54.41	70771.5	7235186.0	1367695.5
POC-52-TP1_hisat2	15936004	15936004	13990429	1878994	66581	408713	26362117	753622	47693	17.29	23846.5	13181058.5	376811.0
POC-52-TP2_hisat2	20903738	20903738	9800204	10715504	388030	1008980	13781494	3635946	165008	67.04	82504.0	6890747.0	1817973.0
POC-52-TP3_hisat2	17900178	17900178	8489185	9098029	312964	878643	12229436	2855556	136092	65.84	68046.0	6114718.0	1427778.0
POC-52-TP4_hisat2	17489025	17489025	7412795	9745026	331204	777577	10174704	2933618	162114	70.91	81057.0	5087352.0	1466809.0
POC-53-TP1_hisat2	19483612	19483612	9443681	9713656	326275	915503	13486091	3382772	187493	65.39	93746.5	6743045.5	1691386.0
POC-53-TP2_hisat2	18924317	18924317	9155138	9447319	321860	795817	13326963	3220108	171571	64.79	85785.5	6663481.5	1610054.0
POC-53-TP3_hisat2	20589598	20589598	9466335	10739148	384115	1071957	13097795	3507565	183396	68.19	91698.0	6548897.5	1753782.5
POC-53-TP4_hisat2	19589811	19589811	10793137	8547698	248976	780787	17160262	2746861	117577	56.2	58788.5	8580131.0	1373430.5
POC-57-TP1_hisat2	18217967	18217967	8263817	9606246	347904	808757	11462128	3268959	179033	68.54	89516.5	5731064.0	1634479.5
POC-57-TP2_hisat2	18709549	18709549	10669162	7753743	286644	1007368	16047704	3110379	165505	57.11	82752.5	8023852.0	1555189.5
POC-57-TP3_hisat2	21606047	21606047	9244658	11924077	437312	960833	12617781	3748972	200897	70.8	100448.5	6308890.5	1874486.0
POC-57-TP4_hisat2	20573916	20573916	8460122	11760782	353012	1029389	10968545	3724045	168876	73.34	84438.0	5484272.5	1862022.5
