Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
POC-201-TP1-hisat2_output	41174050	0	1776204	0	0	0	0	0	29364379	0	71.32	nan	39397846	0	19698923	0	19698923	0	21916286	0	55.63	nan	24820010	0	2768165	0	7.03	nan	103160	0	62253	0	41174050
POC-201-TP2-hisat2_output	45517777	0	3028731	0	0	0	0	0	30854809	0	67.79	nan	42489046	0	21244523	0	21244523	0	21901144	0	51.55	nan	24890640	0	2935438	0	6.91	nan	138972	0	75634	0	45517777
POC-201-TP3-hisat2_output	32673502	0	1014628	0	0	0	0	0	14602360	0	44.69	nan	31658874	0	15829437	0	15829437	0	10316838	0	32.59	nan	12282194	0	1305538	0	4.12	nan	41154	0	21172	0	32673502
POC-219-TP1-hisat2_output	42562141	0	1808323	0	0	0	0	0	28919178	0	67.95	nan	40753818	0	20376909	0	20376909	0	21313324	0	52.3	nan	24333670	0	2777185	0	6.81	nan	83574	0	51139	0	42562141
POC-219-TP2-hisat2_output	38781495	0	1686739	0	0	0	0	0	24912143	0	64.24	nan	37094756	0	18547378	0	18547378	0	18267428	0	49.25	nan	20739990	0	2485414	0	6.7	nan	81550	0	48221	0	38781495
POC-219-TP3-hisat2_output	42307122	0	410700	0	0	0	0	0	7823100	0	18.49	nan	41896422	0	20948211	0	20948211	0	5628860	0	13.44	nan	6766238	0	646162	0	1.54	nan	15184	0	7671	0	42307122
POC-219-TP4-hisat2_output	39567889	0	1403201	0	0	0	0	0	22463089	0	56.77	nan	38164688	0	19082344	0	19082344	0	16130536	0	42.27	nan	18961604	0	2098284	0	5.5	nan	67132	0	38049	0	39567889
POC-222-TP1-hisat2_output	40164884	0	1917018	0	0	0	0	0	29343758	0	73.06	nan	38247866	0	19123933	0	19123933	0	21801930	0	57.0	nan	24578610	0	2848130	0	7.45	nan	116156	0	71045	0	40164884
POC-222-TP2-hisat2_output	45803207	0	2122579	0	0	0	0	0	30439060	0	66.46	nan	43680628	0	21840314	0	21840314	0	22227008	0	50.89	nan	25162972	0	3153509	0	7.22	nan	127974	0	75890	0	45803207
POC-222-TP3-hisat2_output	47218626	0	2280362	0	0	0	0	0	34523236	0	73.11	nan	44938264	0	22469132	0	22469132	0	25712144	0	57.22	nan	29085596	0	3157278	0	7.03	nan	109912	0	66487	0	47218626
POC-222-TP4-hisat2_output	34657515	0	1534761	0	0	0	0	0	23720144	0	68.44	nan	33122754	0	16561377	0	16561377	0	17146576	0	51.77	nan	19882574	0	2302809	0	6.95	nan	76794	0	45072	0	34657515
POC-255-TP1-hisat2_output	39199349	0	1567055	0	0	0	0	0	26876099	0	68.56	nan	37632294	0	18816147	0	18816147	0	19859110	0	52.77	nan	22769232	0	2539812	0	6.75	nan	106866	0	62331	0	39199349
POC-255-TP2-hisat2_output	41599630	0	1794272	0	0	0	0	0	27848509	0	66.94	nan	39805358	0	19902679	0	19902679	0	20680698	0	51.95	nan	23288472	0	2765765	0	6.95	nan	95644	0	57306	0	41599630
POC-255-TP3-hisat2_output	49689338	0	1871112	0	0	0	0	0	25437574	0	51.19	nan	47818226	0	23909113	0	23909113	0	17830836	0	37.29	nan	21302946	0	2263516	0	4.73	nan	75486	0	39179	0	49689338
POC-255-TP4-hisat2_output	42689542	0	1817474	0	0	0	0	0	30134353	0	70.59	nan	40872068	0	20436034	0	20436034	0	22163132	0	54.23	nan	25518634	0	2798245	0	6.85	nan	99132	0	59138	0	42689542
