timepoint,0,1,2,3,4
1,1.4809469469285526,0.0,0.0,0.0,0.0
2,1.3599728295882825,0.0,0.0,0.0,0.0
3,1.4501839689034686,0.0,0.0,0.0,0.0
4,1.5405151220456226,0.0,0.0,0.0,0.0
