compound,POC-52_TP1,POR-245_TP3,POC-255_TP3,POR-69_TP4,POC-53_TP1,POC-222_TP1,ACR-145_TP4,POC-255_TP1,Metabolic-PBQC-1,ACR-265_TP3,POC-42_TP3,ACR-229_TP1,ACR-186_TP3,POR-245_TP4,POR-216_TP1,POR-245_TP2,POC-219_TP3,POC-219_TP4,POC-57_TP1,POR-69_TP2,POR-216_TP4,POR-83_TP3,POC-222_TP4,POR-260_TP4,ACR-225_TP1,POC-40_TP4,POR-72_TP1,POC-57_TP3,POC-42_TP4,ACR-244_TP1,ACR-186_TP1,POC-57_TP4,POR-72_TP3,POR-260_TP3,POR-73_TP2,POR-260_TP2,ACR-173_TP1,POR-73_TP1,POR-83_TP4,POR-262_TP2,POC-53_TP4,POC-52_TP4,ACR-173_TP4,ACR-139_TP1,POR-262_TP4,POR-73_TP4,ACR-225_TP3,POR-260_TP1,POC-259_TP1,POR-236_TP1,POR-74_TP2,ACR-237_TP4,POR-74_TP1,POC-42_TP1,POR-83_TP1,POR-69_TP3,ACR-139_TP3,ACR-265_TP1,POC-40_TP3,ACR-237_TP1,POC-259_TP3,POR-236_TP2,POC-40_TP1,POR-72_TP2,POR-72_TP4,POR-216_TP3,ACR-145_TP1,POC-259_TP4,ACR-229_TP3,ACR-244_TP3,POC-201_TP1,POR-69_TP1,POC-222_TP3,ACR-186_TP4,ACR-139_TP4,POR-73_TP3,Metabolic-PBQC-2,ACR-173_TP3,ACR-225_TP4,ACR-150_TP4,POR-74_TP3,ACR-237_TP3,ACR-145_TP3,POR-74_TP4,POR-245_TP1,ACR-150_TP3,POR-262_TP3,POC-53_TP3,ACR-244_TP4,POC-255_TP4,POR-262_TP1,POC-219_TP1,POC-201_TP3,POR-216_TP2,POC-52_TP3,ACR-150_TP1,ACR-229_TP4,POR-83_TP2
Trimethylamine (TMA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanolamine,150991.986312044,94697.8227376674,218983.029379702,361809.262463974,343294.817475174,114206.965516873,458287.918661389,138858.773925694,386641.804061813,364972.946046776,314892.747954932,1933225.70806546,954455.885150551,151348.010640014,459360.249016317,261059.429236776,222857.067318152,186247.152952907,238740.344561484,239200.976556806,164141.381948132,91570.5955380604,178174.092160735,148591.877825525,768773.671696238,224585.349706631,79088.85905534,134409.064498008,310906.367333001,217801.270490934,706491.563034936,272004.152765727,46917.1045248091,277974.730212132,186022.710477678,160250.318182598,346004.476251087,127396.692616456,242620.942845789,185612.385686073,339144.36426905,348202.86605325,1053926.40603845,905855.179892768,69107.8754077787,618589.691301837,723747.682591995,149128.189624181,688199.627513433,171442.402048562,124830.818748098,9626324.77681878,123184.648799954,378933.046364621,108104.274153635,172446.188826592,667414.964434137,356096.94782362,198205.491866425,669177.978717715,83877.5149064681,133832.481406354,87363.3456945127,434930.781875482,118723.452416124,600835.352091279,433685.25669709,195125.786083236,1084685.37165076,559561.671970322,82817.5139360667,467243.578432647,139592.269250094,424284.070655297,848118.957068992,74427.2835664625,350125.099090863,1293236.39142614,4545038.06864113,857763.608094882,171283.454459297,1509326.80424694,343707.139549514,181386.213425314,174896.00716551,2457307.13063205,299759.241825391,92505.1169187443,5230906.91650736,171934.614214753,217081.811566099,188154.384543629,154197.149526299,832675.958547503,648593.691179477,345542.976734784,1717118.69828172,65855.3001539824
Aminoacetone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Methylguanidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycine,878985.170999974,511275.754070299,844466.108715789,718553.660298575,1385314.90522286,538240.392358438,154318.51459114,900955.52986011,611717.303474279,363868.319402672,1577107.17408951,1085079.23096673,687585.267502907,362794.232408844,711501.696946035,501536.437181111,1106352.22544417,951495.10179239,1279604.94415024,339097.78821815,523336.705277325,318158.100037234,805783.041730016,456351.407560371,513175.423319569,563196.425449533,349235.989306954,651721.213062341,1601186.13538678,234198.553242628,1176792.56366865,2325462.11270054,338423.034115375,745085.226828553,205711.082957614,327243.661809328,196042.200685197,313016.602468201,894599.483383507,404955.061744303,1471115.00825388,1214499.74845359,302988.069661019,415610.262630827,355685.865430897,1328929.95641556,912885.344503804,430938.744027405,1822601.35365241,359209.533598561,300098.175206064,942110.163163115,307802.825814038,1446867.33213015,478659.424023101,282781.875561238,305689.04103628,184600.688687204,863252.97934861,279535.061821377,338642.6616743,263783.107821422,267734.881697888,1936989.76201338,475184.727429202,1550201.36945846,289888.257936742,812199.286353221,571677.109310952,198971.255141629,681265.93233236,1255817.85422614,465943.577258006,252641.565998441,1838936.12226214,313577.567207173,700607.17569717,362379.630501855,1466096.62003785,215835.498098896,596707.730618611,195602.864117009,324248.702745373,730791.493684336,563205.267391804,257483.242669343,496680.659556555,928296.309529508,701087.985000071,813152.549675298,760037.470422526,611749.687243249,1469203.4777984,609986.852166321,1060315.52294536,246148.1250044,970427.809604369,146835.833376599
Trimethylamine-N-Oxide (TMAO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putrescine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
betaAlanine,54480.2426102302,41321.1670372219,108869.898619988,108199.137477619,105113.600544084,81631.6999234979,59534.1414444195,79883.9109989241,78840.528315761,73440.6937761973,105585.118507582,154454.388766114,123581.634726699,38654.3327803521,41162.9678324713,30135.0384818743,109480.255890432,99478.6967447275,97466.3158344796,54469.6996844757,45756.9473215298,,92585.2992846772,,64657.4293058322,71303.5223622603,,70824.1583807367,242533.877477162,65112.8243086904,188496.090517282,133442.727460646,,45693.4450254341,,,75681.8164903372,32228.780025642,58876.0632552946,38846.0964049631,188361.312313513,145511.151768004,81163.1134032923,174595.65422107,,119756.275895657,53016.2439336834,62466.9084587917,68597.1100776894,,,268836.30502223,46805.9579689052,124290.774952054,34370.3081955054,105096.837282511,100124.00904272,73367.4152301439,58090.7169017108,95129.4155367686,52081.9045543604,,34367.9867797155,716442.469406096,28663.0245528079,132329.779757425,66660.5449189141,97296.1080318614,54210.9911796087,66777.0916896476,60171.9875708771,107882.844109536,65827.2548344554,125262.115364823,436714.549466979,53318.6865578881,85296.4944782873,86306.9287861386,211377.550995694,103980.971389836,41916.1607084239,84167.3153910753,44251.8351969655,58945.0523775206,45540.1463845842,71446.5768062102,48849.1191139399,98884.9512156643,116958.927036361,82367.8391537861,38720.313504129,90197.8002769618,120677.622376331,92336.5602019151,98439.4306968592,54639.4984137271,60670.7216157901,
Alanine,4832303.80874345,2938424.11341173,6097388.19599118,3519177.31233609,5489208.99980825,2266371.92474329,2220402.29315113,2099032.08190556,4886734.06994735,6356769.89101251,13724212.3704651,2861129.28142717,7908021.25692724,2212484.23122049,3822812.00408957,3728940.52766661,8337240.65127071,5389687.09779612,3843427.26810904,2430816.58393706,3657934.14825442,1953125.81233936,7820485.95956836,3202093.48937698,2573784.4169034,2361173.70528396,1846805.01560699,3926789.90698153,7420709.67032546,1705485.86024749,8784071.98023565,7214327.76676754,1906622.28431411,4974806.86123291,2049197.90825215,2048421.70421591,1093937.39245276,2019328.50753825,6568175.49587124,2099223.96414263,6742929.90080293,6734101.61711538,2588469.0959617,1930248.94541869,2640581.42007852,13145277.3611042,10811454.8281025,1724127.41467118,17425411.3713013,1613140.90681052,1320583.32186245,5465192.87945195,1663862.9400927,15050928.9682804,2252569.06748423,2075725.48630254,5824761.03185091,962550.280108467,7367462.47496465,1589307.52317863,3311581.23574396,1266070.48624581,1754331.36221463,8194080.36354438,1727327.73825085,12623253.2406702,1223273.84482613,3626426.77570067,2837207.44523365,2105214.94937783,2597232.43385656,2899717.38672304,3322588.56537965,1751389.65862796,27691415.7491984,1719127.97845831,5163142.97869744,7097393.05158568,6588787.69369303,2023858.05287556,2981891.66707754,2033427.62709349,3391439.07958427,5643060.21162944,2149305.0032568,2475635.75427775,3247294.38408196,6087401.13138107,4772345.21722411,6964550.04926523,5967006.43357508,4667148.25844888,11044460.8275854,5039601.5205723,5511205.21376011,1188836.16151728,4823094.18063504,903009.264554097
Sarcosine,580346.653233037,43879.3397812157,482197.178567591,106014.694366512,706660.154718884,504924.220128311,42762.9100788957,562012.397517404,265820.386448595,79610.9927946432,207543.991799512,262068.083869819,80333.7803379359,45750.9652815738,20585.7497080235,68259.6242659303,1551138.42315328,574824.636665485,981089.764736566,,109386.319843694,16754.2560276165,584969.051181229,33486.5807988476,87242.8639678063,332753.617416964,37891.2214965697,563995.742557574,608680.065730653,75308.1758741715,100728.632252706,1368047.95728617,31906.8318141883,15083.0252412771,11817.3752158517,39213.1532868965,580292.753281484,29345.0138122679,23023.4313435972,61170.959453907,481394.935070966,1258842.59828887,38782.4260745799,1335573.19490571,64242.4744464477,37904.7543681507,23742.4728673408,63800.4570143177,344702.778568564,,62099.5433187061,147768.344431141,26693.218616991,345265.172274332,,56494.3935151778,1170985.90449472,41650.1232411017,767450.950250741,38081.140571728,181431.875063805,43014.5673763431,114085.929722967,30386.0367570317,59975.5279827291,23981.0982557344,41711.9855337121,662859.743226278,167037.184063324,2117163.46816401,429111.462999595,53703.2034468115,600626.083956802,62261.2342731866,92701.192516139,42514.2042053156,282408.137310278,52834.4192290131,2086773.16052619,47669.5166719627,86097.9983101073,22799.192679471,123276.636281929,99304.4040372024,59343.6450507684,31099.539877173,95186.0621816999,632198.240193515,828800.826580919,687272.421256838,14552.4173488687,538118.624986904,728130.906236316,82066.429175629,1407838.07893863,30074.6872780795,340326.495741618,13520.3633718284
