"","ACR-139-TP1","ACR-139-TP2","ACR-139-TP3","ACR-139-TP4","ACR-145-TP1","ACR-145-TP2","ACR-145-TP3","ACR-145-TP4","ACR-150-TP1","ACR-150-TP2","ACR-150-TP3","ACR-150-TP4","ACR-173-TP1","ACR-173-TP2","ACR-173-TP3","ACR-173-TP4","ACR-186-TP1","ACR-186-TP2","ACR-186-TP3","ACR-186-TP4","ACR-225-TP1","ACR-225-TP2","ACR-225-TP3","ACR-225-TP4","ACR-229-TP1","ACR-229-TP2","ACR-229-TP3","ACR-229-TP4","ACR-237-TP1","ACR-237-TP2","ACR-237-TP3","ACR-237-TP4","ACR-244-TP1","ACR-244-TP2","ACR-244-TP3","ACR-244-TP4","ACR-265-TP1","ACR-265-TP2","ACR-265-TP3","ACR-265-TP4"
"CpG_ntLink_6_980056","3.333333","4.761905","0.000000","12.500000","25.581395","36.363636","33.333333","23.255814","5.555556","9.090909","20.000000","7.692308","20.000000","20.000000","16.129032","4.347826","0.000000","0.000000","3.703704","0.000000","7.142857","50.000000","61.538462","64.285714","12.500000","19.354839","14.285714","16.666667","22.222222","23.809524","10.000000","17.241379","75.000000","66.666667","90.000000","80.000000","25.000000","36.111111","22.222222","25.531915"
"CpG_ntLink_6_1228714","3.125000","5.000000","0.000000","0.000000","13.043478","0.000000","15.000000","8.333333","3.571429","8.000000","0.000000","0.000000","0.000000","4.545455","2.702703","0.000000","5.263158","9.523810","4.166667","8.695652","25.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","4.545455","0.000000","8.000000","19.230769","4.545455","9.375000","8.333333","10.526316","15.384615","23.076923"
"CpG_ntLink_6_1228730","0.000000","5.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","3.333333","5.263158","0.000000","0.000000","0.000000","5.000000","2.500000","0.000000","0.000000","9.523810","4.000000","9.090909","30.434783","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","4.166667","6.896552","0.000000","6.666667","0.000000","0.000000","0.000000","0.000000"
"CpG_ntLink_6_1228738","6.451613","0.000000","0.000000","3.846154","8.695652","0.000000","13.636364","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2.631579","0.000000","0.000000","10.000000","3.846154","10.000000","28.000000","0.000000","0.000000","0.000000","0.000000","4.000000","0.000000","0.000000","0.000000","4.545455","0.000000","0.000000","0.000000","13.793103","0.000000","10.000000","5.555556","5.263158","5.555556","26.666667"
"CpG_ntLink_6_1228743","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","5.263158","0.000000","0.000000","0.000000","0.000000","5.405405","0.000000","0.000000","9.302326","3.448276","10.000000","26.923077","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"CpG_ntLink_6_1228774","12.121212","5.555556","2.941176","7.692308","0.000000","5.882353","10.000000","8.333333","0.000000","0.000000","0.000000","0.000000","0.000000","5.263158","8.333333","5.263158","4.545455","9.523810","0.000000","10.000000","0.000000","4.347826","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","4.000000","10.000000","10.526316","5.405405","14.285714","4.761905","6.250000","17.647059"
"CpG_ntLink_6_1313490","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"CpG_ntLink_6_1313556","9.090909","0.000000","0.000000","0.000000","0.000000","4.761905","0.000000","0.000000","0.000000","6.666667","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","26.086957","0.000000","0.000000","7.692308","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"CpG_ntLink_6_3101716","44.000000","33.333333","20.000000","35.483871","9.090909","30.434783","21.739130","22.222222","16.666667","32.258065","45.283019","27.450980","7.692308","22.222222","13.333333","7.692308","0.000000","17.073171","7.142857","30.232558","8.536585","17.948718","11.538462","23.076923","7.317073","0.000000","7.894737","2.564103","22.807018","29.629630","31.506849","36.206897","23.333333","43.243243","34.615385","39.130435","29.166667","18.750000","6.896552","22.727273"
"CpG_ntLink_6_3101732","42.307692","32.258065","19.047619","26.315789","5.405405","20.000000","9.090909","20.512821","12.765957","25.641026","38.461538","32.653061","9.090909","16.666667","5.555556","7.692308","0.000000","11.111111","3.125000","17.777778","10.000000","20.000000","10.344828","23.076923","7.500000","5.128205","2.564103","5.263158","23.076923","31.578947","29.870130","28.813559","10.810811","21.951220","34.375000","11.904762","12.500000","13.157895","6.666667","8.000000"
