,Component_1,Component_2,Component_3,Component_4,Component_5,Species,Sample_ID
apul_ACR.139,0.24694740829812614,-0.2920634456860133,0.31170384816751323,0.000974711997335117,0.05700269997993968,apul,ACR.139
apul_ACR.145,-0.09573987935180822,-0.1652864868009089,0.15680169260978696,0.23445499720647572,0.24667873723911513,apul,ACR.145
apul_ACR.150,0.04851405854151264,-0.2565954965002266,0.16223456709328407,0.2501802703733131,0.2735378278820705,apul,ACR.150
apul_ACR.173,-0.04840425258870633,-0.22661988419997095,0.20601273512941154,0.24904393739989183,0.2711786065693553,apul,ACR.173
apul_ACR.186,-0.02573399270604721,-0.20401966661665424,0.16722681918295998,0.2192454946081269,0.23873166194344642,apul,ACR.186
apul_ACR.225,-0.24458440322800196,-0.13523903986388583,0.07538541488962276,0.4095496096189637,0.3962505104024237,apul,ACR.225
apul_ACR.229,-0.15624897889913378,-0.124741240863683,0.04144025280681242,0.3303157447036451,0.3235719217960295,apul,ACR.229
apul_ACR.237,-0.22743607775236888,-0.09625680595871312,0.01023555649491513,0.37872323341124176,0.37003172930533756,apul,ACR.237
apul_ACR.244,-0.28750619894154383,-0.07915946759183175,0.0033986871110449814,0.4159930059424009,0.39546259151117363,apul,ACR.244
apul_ACR.265,-0.23434765303727076,-0.08498547086794597,-0.018390903992059542,0.3749472859583229,0.35897353887372035,apul,ACR.265
peve_POR.216,0.1631727642439823,-0.11131727866788622,0.06420335917175472,-0.008696135568625273,0.03818386382757039,peve,POR.216
peve_POR.245,-0.030446667942525634,0.016274374782527343,-0.01920414415411137,0.039441782825035764,0.04795126435072585,peve,POR.245
peve_POR.260,0.13601455099725224,-0.05800772826252828,-0.03487557137205759,0.02746528191892154,0.02431153930604704,peve,POR.260
peve_POR.262,0.127931494593336,0.035754812815084025,-0.10009299936226296,-0.04151935917807279,-0.03223863846913732,peve,POR.262
peve_POR.69,0.13860116542816958,-0.18228035277175156,0.22416177561103764,-0.033074840186201174,0.014219552480853959,peve,POR.69
peve_POR.72,0.02726892780474264,-0.1901907198239878,0.2772423689651316,0.02882919554838322,0.055421787950277274,peve,POR.72
peve_POR.73,0.2932703472543543,-0.17996494573316862,0.05852460491654803,-0.021642208539318926,0.005066092590890336,peve,POR.73
peve_POR.74,0.19194210404762047,-0.19394063938950307,0.17429908513439277,-0.009073253187295004,0.031182040188088983,peve,POR.74
peve_POR.83,0.11420922083909019,-0.25461116415848317,0.31153054327338936,0.024074988395969697,0.05979320225076448,peve,POR.83
ptua_POC.219,0.006783602940773398,-0.02001407351961639,-0.017198492689794547,0.07084529942783407,0.06820204135317172,ptua,POC.219
ptua_POC.222,0.19277365949732198,-0.20594864324037482,0.17818078415689953,0.020008112935405453,0.04469902378067589,ptua,POC.222
ptua_POC.255,0.20342745522378963,-0.14668690068349338,0.12254007726915483,-0.04300268940061155,-0.01188044589153423,ptua,POC.255
ptua_POC.259,-0.16227160699270454,0.09239286482749252,-0.002534372919436955,0.048911073842727706,0.03683799479987266,ptua,POC.259
ptua_POC.40,0.42325702741461013,-0.4334838520761709,0.40598574386534986,-0.045149907106067984,0.02821638270426656,ptua,POC.40
ptua_POC.42,0.07908595083122816,-0.24355612630389864,0.2721889006885107,0.07319125925745032,0.10091289483720119,ptua,POC.42
ptua_POC.52,0.09929110049471335,-0.1396629205835988,0.06793858307309174,0.10664614037618438,0.09657524014708657,ptua,POC.52
ptua_POC.53,0.25502266614062724,-0.25168416673184923,0.17798639640278344,0.03808118947798999,0.06996793512567091,ptua,POC.53
ptua_POC.57,0.259742939777265,-0.21790012273532655,0.18562912156043151,-0.03737837946643472,0.008546550080790066,ptua,POC.57
