,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Species,Sample_ID
apul_ACR.139,-0.29346668823148825,-0.08240224093208216,-0.002705762246881239,0.4202274911475723,0.15330415209065956,0.09953415130901096,0.06075083804184266,0.08706628102936233,-0.18596553814223155,0.0023484215187776275,0.02499779040166102,0.1243383000353699,apul,ACR.139
apul_ACR.145,-0.31335554912377966,0.1586045791221424,0.052728591733826755,0.21063260029993552,0.1615529403475813,0.10298716877805757,0.10439709601871101,-0.019205168353566046,-0.2722438577730165,0.013501659385515053,0.05348626156720641,0.2810045342166943,apul,ACR.145
apul_ACR.150,-0.31325294171746615,0.19611887567721883,0.039700632947384684,0.21970570208191617,0.10719404244560575,-0.10027449272346305,0.09794851927049916,-0.01888989782971021,0.007267370471250549,-0.023294824229239782,0.12952197921974384,0.31589979618937,apul,ACR.150
apul_ACR.173,-0.24532482306406528,0.07191616650262746,0.16295654366951662,0.1968902745153244,0.23597613536191514,0.09932307795567477,0.07861921770678984,0.1126518512381389,-0.15948686736931622,-0.13467112691818092,0.08676003163801739,0.27063914604940126,apul,ACR.173
apul_ACR.186,-0.4419679767192581,0.18499954588104459,-0.07835130435577514,0.2786224174558095,0.21124642577792432,-0.09214029848109412,0.17129751505666604,0.015265479086626758,-0.3341425091048568,0.09082361594384027,0.16388623762764293,0.3086838321802665,apul,ACR.186
apul_ACR.225,-0.16793222124156135,0.27023665165462046,0.26655570838674586,0.035938153355434835,0.11310986665733036,0.2092948500309895,0.03313760772841236,-0.06913585161681429,0.06443195592636357,-0.18050457316823754,0.0537203110652349,0.37689501713472406,apul,ACR.225
apul_ACR.229,-0.05844825429794388,0.1964494069995179,0.28361855108043577,0.08178542960758786,0.09146496929064915,0.24655635439726017,-0.07839027247488864,-0.042311053331575796,0.16094005860232477,-0.2377772797994338,-0.012408628613453106,0.30730976072860544,apul,ACR.229
apul_ACR.237,-0.08348249060184605,0.2799606943925576,0.20708748389218296,0.04661251916430954,0.07395924492352114,0.12267300053464693,-0.04410387070896864,-0.12329069337950387,0.14915977780186215,-0.1745546544456982,0.08565630192265618,0.3581557591714364,apul,ACR.237
apul_ACR.244,-0.06680837678394266,0.24190126268305268,0.3257798534505313,-0.027412414537698215,0.066541057519857,0.159017892662864,-0.031209002234669426,-0.04880117476057629,0.19177761370595803,-0.2284593008401457,0.055455936027092145,0.36056566509170485,apul,ACR.244
apul_ACR.265,-0.13825417242308669,0.29974570628807334,0.1542085562042648,0.04119892049309381,0.15987530525775112,0.0730423715003814,0.0004957718628324309,-0.07348119825033221,0.018887462810910752,-0.15833929586788187,0.10597318078416605,0.34794017221995754,apul,ACR.265
peve_POR.216,0.1538702370106252,0.3065058965908624,-0.24251837421838654,0.07871690493586676,0.23838279531029982,0.1466905732958065,-0.1411182193290956,-0.19252899697906348,0.04102444451547367,-0.15410192020164137,0.04327528266448916,0.01548202661700848,peve,POR.216
peve_POR.245,0.25698880506206806,0.15510399158370827,-0.0614967118921737,0.1594298830687774,0.13795395988840115,0.3647592290394686,-0.2654022763875138,-0.34292104065252615,0.10902391388079002,-0.1949164392781162,0.08743949371436764,0.033954525443099376,peve,POR.245
peve_POR.260,0.07861968498175337,-0.03424203033202378,0.04620743807993296,0.18498472114700404,0.22394695757616015,0.23048817090036822,-0.11982723193738327,-0.10432159475337638,0.05581747310012657,-0.2058667550575235,0.14031589644744497,0.025377640581011576,peve,POR.260
peve_POR.262,0.2636690128477137,-0.03127472299725172,0.04850666270650051,0.17506038489160455,0.21226712769573314,0.18508227907237232,-0.2835606236864276,-0.15672030201956025,0.1244507535011906,-0.22422988748984132,0.07554285490102616,-0.03441823496256692,peve,POR.262
peve_POR.69,-0.01703063649310041,0.37835663901993866,-0.2497971430462006,-0.10951016768256577,0.02800277554217522,0.08581341782869806,0.09208553493166399,-0.1360710965520726,0.03772247869785909,0.002636664400871479,-0.0794286756255168,0.0027444701446481486,peve,POR.69
peve_POR.72,-0.013237355539009484,0.20688856414547824,-0.0995369511202885,-0.2540385597165227,0.013355592934264299,-0.06509855386548477,0.2059957222840933,0.04255224852388071,0.02846822859757152,-0.0240132870978855,0.0027059397067076543,-0.01743563793663991,peve,POR.72
peve_POR.73,-0.15779599253909896,-0.11121101774048597,0.041548923219844415,0.02768464402357185,0.2500950278957334,-0.07562055134922646,0.18296738656577588,0.26801544694035734,-0.0034273105611471962,-0.13644972983249462,0.05860906736120997,-0.01220773242698364,peve,POR.73
peve_POR.74,0.11926873853061752,0.08919387438629657,-0.06776060902278558,0.0004464964339445167,0.22029300255123038,0.1663979831846143,0.015578972504423149,-0.05223947993556864,0.10937862443324811,-0.22727452041001403,0.0893741375506254,-0.03477876177706099,peve,POR.74
peve_POR.83,-0.09711939917463128,0.2383023943596095,-0.10178139761268805,-0.2929063821857322,0.04816659340685226,-0.08588791547574608,0.28072078416644536,0.1599052817296151,0.03853801394651869,-0.038456784522218165,-0.05537898742879104,-0.011746968715948831,peve,POR.83
ptua_POC.219,-0.17275911199073593,-0.018503930677465728,0.10064313955049378,-0.021005260991395807,0.2924250879201882,0.22957295490600763,0.1497758642111528,0.14999272042937944,-0.26694934692688665,-0.09044320853426159,-0.02832651159133822,0.0505959423240254,ptua,POC.219
