,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Species,Sample_ID
apul_ACR.139,0.04392149477008738,-0.0630300200009716,0.23860468853321137,-0.07513829187823368,0.1951075079007996,0.07509053161782947,0.03115912482125565,-0.1997232997579725,apul,ACR.139
apul_ACR.145,0.23391349726169897,-0.22049178384138238,0.11558722296530807,0.0089339699349839,0.1770333471317236,0.26665841113051664,0.12776232992008252,-0.19314514097597374,apul,ACR.145
apul_ACR.150,0.25146367822746885,-0.35614867670858275,0.1631479431243912,-0.09391352832155125,0.15174141593204826,0.30561594415547116,0.3134915007081162,-0.20604129277224206,apul,ACR.150
apul_ACR.173,0.2549717485682463,-0.10900123722466169,0.12078405181073018,0.12020569307727977,0.21859136345262054,0.2565500920726357,0.11690723709945729,-0.27526160450992665,apul,ACR.173
apul_ACR.186,0.22194102051691475,-0.4338846750565515,0.20371999410391062,-0.18726196894649105,0.2348438741525507,0.33252891970188175,0.18824670454578685,-0.18300600967345057,apul,ACR.186
apul_ACR.225,0.41267268116108063,-0.04828912344700323,-0.07925713085508224,0.25130874332583225,0.09638190726429714,0.3594324196073277,0.25816412940704114,-0.2412039217093648,apul,ACR.225
apul_ACR.229,0.32808302981020343,0.11590667106151407,-0.11221671203482379,0.33337446486290584,0.08909863414614816,0.24119716098606636,0.16349472563847509,-0.2317006840056838,apul,ACR.229
apul_ACR.237,0.3644586755887905,-0.10558456956048452,-0.0717385906944393,0.18216959756359308,0.07449378279020268,0.3155585666339694,0.24879864594141324,-0.18380054804894216,apul,ACR.237
apul_ACR.244,0.4097381106244294,0.013885267553421015,-0.14974548567801774,0.30763876688695047,0.028029718016657736,0.32217587829494376,0.27159732830495675,-0.2024088418666193,apul,ACR.244
apul_ACR.265,0.33765079783280033,-0.170055805199311,-0.047438890531396126,0.15852185056777346,0.15178033177821454,0.33576413975630504,0.18738649993820225,-0.19563353616066062,apul,ACR.265
peve_POR.216,-0.030548574039673253,-0.002216423861038458,0.110176064918982,0.05027025509463023,0.25704966461504225,-0.011053086252723745,-0.15366268699899852,-0.12406994181743645,peve,POR.216
peve_POR.245,0.013820265783514172,0.14924915979597478,-0.023899410469740288,0.17880065437386697,0.17682196363987707,-0.008374496555256464,-0.22392975053170663,-0.07896013632143836,peve,POR.245
peve_POR.260,-0.005899062377142509,0.08088981904289998,0.0001574686987520875,0.0895089324459188,0.30029790789542526,0.05125658888813897,-0.26352968388373554,-0.10450155503653617,peve,POR.260
peve_POR.262,-0.07168016360694118,0.07954404912858297,-0.014172505664799325,0.1460905328079507,0.19502395993235203,-0.06192733264585537,-0.21223460217436413,-0.034315154319016286,peve,POR.262
peve_POR.69,0.015822864539795038,-0.06772178694243466,0.16083207125680124,-0.02497731192264184,0.05507244115951139,0.024908750380717264,0.09817294000141573,-0.12475784847092646,peve,POR.69
peve_POR.72,0.03570313380754783,-0.1208758267017792,0.19404089450325862,-2.4220005399274305e-05,0.009095174761250178,0.04715366494800444,0.15895158265976478,-0.14401800288613265,peve,POR.72
peve_POR.73,-0.013260716318319049,-0.05173607955134355,0.12472367777873934,-0.04815071834784131,0.21798161383949102,0.04082721481022675,-0.0418937287210443,-0.130376749111422,peve,POR.73
peve_POR.74,-0.03399466656529908,0.002191136923454354,0.1832687213028869,0.036011898033818185,0.24344545017222155,-0.006821236902901153,-0.12275169074428806,-0.17639695446245368,peve,POR.74
peve_POR.83,0.07390013636710145,-0.07654298900118453,0.19004185257270584,0.0204505274811945,0.024173480129134808,0.0787149351295565,0.21767142134257667,-0.19632958859334096,peve,POR.83
ptua_POC.219,0.0385292062251102,0.06512531509867103,-0.02736660823739269,0.09248990061695798,0.29413769047356964,0.09058858677144334,-0.2305224389355263,-0.10018591506229048,ptua,POC.219
ptua_POC.222,0.04357165937673451,0.04347018498836775,0.12602369772451513,0.08538125285077479,0.1975234348714866,0.06985387571992474,0.004271515276872255,-0.20760364101834067,ptua,POC.222
ptua_POC.255,-0.052012599033592774,-0.010789052018366442,0.140349107455655,-0.011419289508703643,0.30510748841591084,0.02828257097884166,-0.1939516566883034,-0.14102237947202267,ptua,POC.255
ptua_POC.259,0.05901869657868432,0.04505373079855341,-0.08705173844485088,-0.07250644042690758,0.15668111157405343,0.10919798812027727,-0.19739712394785472,0.03748370426163522,ptua,POC.259
ptua_POC.40,-0.01871252115714362,0.06312609694808688,0.3225812775386997,0.18573165138461054,0.10467947482754725,-0.06327172356709901,0.1366460315347793,-0.32774975575640686,ptua,POC.40
ptua_POC.42,0.0920688521772832,0.3244177868262053,0.06444795018427593,0.5206469436149419,-0.1040109612370771,-0.08206093323815167,0.1573413109978561,-0.2775935016526664,ptua,POC.42
ptua_POC.52,0.08211809922402935,-0.559168908882392,0.23683151647287687,-0.32964180359900397,0.28783951769581123,0.3013267350789352,0.11727811276995222,-0.10119114725304233,ptua,POC.52
ptua_POC.53,0.050697183321238265,0.20416076299359948,0.1004418968338148,0.25611584471595167,0.20904036682823407,0.011836570972121561,-0.048275808529305415,-0.26835360382477164,ptua,POC.53
ptua_POC.57,-0.03072509928504218,0.1722116635659635,0.15225774305460715,0.19778293336177002,0.1746415115737524,-0.07132540622293095,-0.08647174403349446,-0.2198909975821481,ptua,POC.57
