"Predictor_Type","N_stable","N_unique_predictors","N_genes_affected","Mean_Selection_Prob"
"Other",546,506,138,0.741913919413919
"lncRNA",4835,2995,172,0.798995863495346
"miRNA",4,3,3,0.83625
