"gene_id","protein_match","POC-201-TP1","POC-201-TP2","POC-201-TP3","POC-219-TP1","POC-219-TP2","POC-219-TP3","POC-219-TP4","POC-222-TP1","POC-222-TP2","POC-222-TP3","POC-222-TP4","POC-255-TP1","POC-255-TP2","POC-255-TP3","POC-255-TP4","POC-259-TP1","POC-259-TP2","POC-259-TP3","POC-259-TP4","POC-40-TP1","POC-40-TP2","POC-40-TP3","POC-40-TP4","POC-42-TP1","POC-42-TP2","POC-42-TP3","POC-42-TP4","POC-52-TP1","POC-52-TP2","POC-52-TP3","POC-52-TP4","POC-53-TP1","POC-53-TP2","POC-53-TP3","POC-53-TP4","POC-57-TP1","POC-57-TP2","POC-57-TP3","POC-57-TP4"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g12407.t1","Sirt1-201",172,135,51,140,68,23,78,310,208,231,101,437,165,69,217,207,252,101,215,257,240,217,380,245,369,269,64,22,176,113,178,189,154,250,86,202,140,285,207
"gene-Pocillopora_meandrina_HIv1___RNAseq.g12538.t1","Prdm14-201",62,58,0,51,35,0,31,82,64,83,50,35,73,12,30,49,38,19,68,31,39,21,24,7,22,26,13,0,20,15,18,27,23,20,17,50,13,25,19
"gene-Pocillopora_meandrina_HIv1___RNAseq.g12636.t1","Hdac3-201",190,240,142,582,278,56,191,699,195,559,277,322,268,205,418,274,223,248,274,174,141,362,313,316,256,232,79,101,162,265,297,312,193,273,206,246,225,447,486
"gene-Pocillopora_meandrina_HIv1___RNAseq.g12855.t1","Kmt8-Prdm2-201",59,103,13,107,49,10,37,245,44,329,22,61,74,10,69,150,196,80,76,29,31,45,23,65,27,22,5,0,19,29,83,49,27,62,38,26,26,116,150
"gene-Pocillopora_meandrina_HIv1___RNAseq.g13326.t1","USP48-201",181,287,64,159,167,43,51,283,233,184,100,419,84,56,156,269,272,103,200,196,170,235,207,209,176,104,84,0,119,102,214,273,87,227,66,174,89,240,192
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1335.t1","Ash2l-201",119,291,53,240,105,29,86,497,197,385,92,204,140,99,157,213,264,80,250,100,69,140,83,122,194,132,30,0,81,160,198,146,70,262,93,114,65,210,244
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1337.t1","BAZ1B-201",167,253,412,465,224,121,252,198,110,374,183,61,215,482,447,480,256,473,483,66,40,259,39,101,50,40,66,109,93,231,379,174,135,346,136,440,486,759,367
"gene-Pocillopora_meandrina_HIv1___RNAseq.g13635.t2","PUS7-202",120,188,39,145,93,0,96,384,239,191,125,407,109,98,222,152,151,108,136,111,150,66,206,141,187,89,77,12,222,49,169,86,161,119,137,185,124,67,272
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1376.t1","RBMX-201",1310,1070,611,1641,1081,499,1261,1716,1071,2589,1524,1461,1186,1057,1902,941,1013,1832,1742,1011,1029,1393,1006,989,1035,1181,617,322,963,1249,1425,1260,1214,1351,1242,1290,810,1761,1605
"gene-Pocillopora_meandrina_HIv1___RNAseq.g13884.t1","RNF168-201",22,90,13,62,27,5,16,109,43,236,25,56,20,17,54,78,90,30,76,75,24,71,45,54,21,30,55,0,24,18,56,61,40,45,33,50,35,43,126
