"gene_id","protein_match","POC-201-TP1","POC-201-TP2","POC-201-TP3","POC-219-TP1","POC-219-TP2","POC-219-TP3","POC-219-TP4","POC-222-TP1","POC-222-TP2","POC-222-TP3","POC-222-TP4","POC-255-TP1","POC-255-TP2","POC-255-TP3","POC-255-TP4","POC-259-TP1","POC-259-TP2","POC-259-TP3","POC-259-TP4","POC-40-TP1","POC-40-TP2","POC-40-TP3","POC-40-TP4","POC-42-TP1","POC-42-TP2","POC-42-TP3","POC-42-TP4","POC-52-TP1","POC-52-TP2","POC-52-TP3","POC-52-TP4","POC-53-TP1","POC-53-TP2","POC-53-TP3","POC-53-TP4","POC-57-TP1","POC-57-TP2","POC-57-TP3","POC-57-TP4"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1868.t2","Sirt7-201",442,1115,103,687,637,75,266,1151,382,986,204,593,661,249,458,929,1396,329,702,486,409,680,387,397,510,218,73,47,398,582,884,844,480,813,132,479,182,681,445
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18690.t1","Setmar-201",35,93,26,25,14,0,31,89,32,76,27,108,65,15,52,59,126,137,54,61,85,52,100,45,110,53,77,18,109,38,47,66,33,80,85,92,67,47,55
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18707.t1","TRMT10A-202",37,54,29,69,48,23,96,150,64,73,71,94,63,18,72,115,144,64,90,41,52,19,68,55,65,54,22,16,48,42,18,28,11,22,131,81,58,25,206
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1872.t2","Parp5a-Tnks-201",1320,1194,584,1183,1151,323,704,2001,1574,1941,807,2163,1318,541,1434,1276,1403,817,1371,1706,1533,1371,1812,1738,1879,1960,354,111,1462,1252,1570,1716,1928,1715,1084,1005,976,1372,2206
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18823.t1","UBE2A-202",1246,1084,520,960,650,464,1499,951,1481,1268,1247,865,1153,634,1313,406,785,1321,1174,1056,2070,1557,1641,1249,1760,1820,1062,208,2034,1048,1069,876,1171,1184,1945,1119,937,1146,2228
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18898.t1","USP12-201",894,1196,150,686,496,205,209,1404,501,1267,329,850,830,103,830,898,1542,479,994,575,595,1078,822,578,826,674,40,83,485,738,1153,1011,852,1096,252,988,89,1227,447
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18907.t1","UCHL3-201",1015,1856,273,768,467,140,545,569,856,1644,649,280,657,612,948,555,1193,951,1061,432,557,944,534,496,675,556,463,27,1232,933,1409,573,757,2081,668,1378,398,1562,807
"gene-Pocillopora_meandrina_HIv1___RNAseq.g18913.t1","Klf4-201",419,311,29,159,90,67,156,772,287,419,151,419,193,48,170,143,341,181,189,670,788,349,504,417,562,358,22,33,516,232,442,282,451,290,256,704,85,318,335
"gene-Pocillopora_meandrina_HIv1___RNAseq.g19066.t2","APBB1-221",2233,1109,369,863,912,283,865,1816,1230,1359,716,1491,887,457,808,987,1512,935,879,1356,1462,1815,1423,1378,1486,1234,89,255,930,869,1507,1408,1563,1633,650,1370,536,1455,1634
"gene-Pocillopora_meandrina_HIv1___RNAseq.g19087.t1","Ogt-201",11260,7039,2717,6083,7302,631,6812,9412,12377,7228,7233,14269,9870,5127,8453,6566,6845,8408,6828,12585,15506,10109,12055,9443,15150,13888,2558,421,13508,6249,6631,11378,12347,9059,7173,10875,11942,10572,12602
"gene-Pocillopora_meandrina_HIv1___RNAseq.g19283.t1","RBM15-201",1240,929,124,387,564,106,369,1785,1101,1160,282,1245,607,88,648,840,1051,306,810,1099,973,554,876,821,1290,834,14,113,782,560,937,882,1001,784,374,1102,258,780,871
"gene-Pocillopora_meandrina_HIv1___RNAseq.g19284.t1","Uhrf1-201",279,395,601,710,407,198,685,671,327,297,207,547,304,645,501,618,416,554,557,241,335,318,372,210,482,242,265,183,396,614,387,587,432,240,400,240,309,481,768
"gene-Pocillopora_meandrina_HIv1___RNAseq.g19447.t1","USP11-201",1518,1324,210,1228,1024,266,651,2176,1620,1964,775,1934,1301,586,1527,1166,1677,1136,1622,1211,1373,1275,1936,1715,2206,2126,375,78,1289,1170,1611,1392,1128,1516,857,1482,958,1875,1223
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1950.t1","Kdm3c-Jmjd1c-211",1008,1166,610,761,679,219,654,2894,1017,1252,375,1748,797,505,671,990,1144,493,764,1214,984,970,1241,1062,1351,936,124,487,565,786,945,1191,962,1171,364,819,214,1424,1006
"gene-Pocillopora_meandrina_HIv1___RNAseq.g19713.t1","UBA7-201",2270,1995,1045,2635,1413,437,1701,3572,2085,3093,1826,2752,1534,1602,2859,1844,1941,2100,3026,1768,1700,2091,2130,2292,2564,2176,1793,185,2027,1685,2680,1730,1453,2709,1842,2019,1020,2272,2709
"gene-Pocillopora_meandrina_HIv1___RNAseq.g19714.t1","Hdac11-201",254,385,49,343,202,28,126,401,262,640,158,395,435,213,305,367,554,209,399,154,174,274,325,242,279,178,47,0,134,242,339,282,216,518,160,308,63,378,310
