Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POC-201-TP1_R1_001	POC-201-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41091687.0	6.1 Gbp	0.0	150.0	19.0	82.04025257241935	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
POC-201-TP1_R2_001	POC-201-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41091687.0	6.1 Gbp	0.0	150.0	19.0	81.36636804133927	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-201-TP2_R1_001	POC-201-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30845130.0	4.6 Gbp	0.0	150.0	20.0	86.73093847030351	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
POC-201-TP2_R2_001	POC-201-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30845130.0	4.6 Gbp	0.0	150.0	20.0	86.1520042620133	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-201-TP3_R1_001	POC-201-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42721109.0	6.4 Gbp	0.0	150.0	22.0	84.03996724069185	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
POC-201-TP3_R2_001	POC-201-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42721109.0	6.4 Gbp	0.0	150.0	22.0	83.3664328266464	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
POC-219-TP1_R1_001	POC-219-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34407423.0	5.1 Gbp	0.0	150.0	20.0	85.1882269218445	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	warn
POC-219-TP1_R2_001	POC-219-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34407423.0	5.1 Gbp	0.0	150.0	20.0	84.43286906446843	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-219-TP2_R1_001	POC-219-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51546177.0	7.7 Gbp	0.0	150.0	20.0	81.89722600871508	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-219-TP2_R2_001	POC-219-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51546177.0	7.7 Gbp	0.0	150.0	20.0	81.24093957390849	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-219-TP3_R1_001	POC-219-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47143554.0	7 Gbp	0.0	150.0	23.0	82.930896946005	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
POC-219-TP3_R2_001	POC-219-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47143554.0	7 Gbp	0.0	150.0	23.0	82.11046516652391	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
POC-219-TP4_R1_001	POC-219-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41565133.0	6.2 Gbp	0.0	150.0	21.0	84.78096593531384	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-219-TP4_R2_001	POC-219-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41565133.0	6.2 Gbp	0.0	150.0	21.0	84.2159204325684	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-222-TP1_R1_001	POC-222-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42151219.0	6.3 Gbp	0.0	150.0	19.0	83.44923760149987	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
POC-222-TP1_R2_001	POC-222-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42151219.0	6.3 Gbp	0.0	150.0	19.0	82.74530273446133	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-222-TP2_R1_001	POC-222-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33207463.0	4.9 Gbp	0.0	150.0	19.0	85.78171208225375	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
POC-222-TP2_R2_001	POC-222-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33207463.0	4.9 Gbp	0.0	150.0	19.0	85.02312994555685	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-222-TP3_R1_001	POC-222-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50353073.0	7.5 Gbp	0.0	150.0	20.0	83.20309406282045	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-222-TP3_R2_001	POC-222-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50353073.0	7.5 Gbp	0.0	150.0	20.0	82.6123571807025	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POC-222-TP4_R1_001	POC-222-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44503175.0	6.6 Gbp	0.0	150.0	22.0	84.0882515159389	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	fail
POC-222-TP4_R2_001	POC-222-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44503175.0	6.6 Gbp	0.0	150.0	21.0	83.62977609634703	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	fail
