,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Component_46,Component_47,Component_48,Component_49,Component_50,Component_51,Component_52,Component_53,Component_54,Component_55,Species,Sample_ID
apul_ACR.139,0.07454542948291588,-0.2008284371413277,0.4497364981702513,-0.29617813104846685,0.050981562647394923,0.012937066908011195,-0.12804861471004808,0.06038640719291919,0.04501486508739943,0.3365783733542948,0.015225322507732937,-0.0280348857400136,0.1341249116816787,0.07786215833990269,-0.011851025630184283,-0.09642523147672531,-0.0683468832262762,-0.02649175787089668,-0.17016250383330647,-0.12832699549377052,-0.10315800981204716,0.01043430154278266,-0.026764443885641788,-0.06398716339525605,-0.01883216015044526,-0.26089239192866015,-0.06736290748161623,-0.15120098586342734,0.031920616054386286,0.35069195278583026,0.21271627176973384,0.08992032606473153,0.040137688625139153,0.05251448705249844,0.2810265928351196,-0.013640294040238634,0.04730630266160566,-0.1792976280553735,0.17815529081706422,-0.25427833972814073,0.18363423039414276,-0.03615712761388944,0.3011983845324006,0.25792819271384904,0.047388900122281724,0.026834716172438655,0.18756766420954796,0.0684409761610959,-0.14806562749950672,-0.05264807635135118,-0.015279197306331352,0.09937694417793227,0.5714736575512287,0.03708298933635079,0.008979983760845162,apul,ACR.139
apul_ACR.145,-0.03285268908995112,-0.15214097058723436,0.23630256556168025,0.06325569760815246,0.030613837672944327,0.006549023879806972,-0.1390426360896758,0.13206127660042677,-0.042058129651964635,0.07767473718773109,0.061322558276048544,0.2277891497568303,0.1283918443551886,0.07963763437347167,0.1357497588346017,0.0653624245758805,-0.04921928815419705,0.08846302082027374,-0.13329209494530747,-0.06907176857993062,-0.29145123179761123,-0.06492525223993792,-0.22499041013985457,0.40844789676766186,0.04183533810962403,-0.15548503198849623,0.044639496434370804,0.03625305914127927,-0.08061508286476632,-0.005643296540288882,0.29106078475913594,-0.1979361975883578,0.17199163562321815,0.12293034372872942,0.09362575924870874,-0.024402132448335574,0.5159964235220036,-0.25199942633937383,-0.04356148770751398,0.05513044908903362,0.22406145547856718,-0.08904288931973284,0.09314740295398292,0.4898478812795306,0.07527477660690904,0.07926391143044048,0.13397705596109902,-0.002580031790916215,-0.019896949718465205,-0.016929827857756707,-0.0011277214602787367,-0.03565101053709021,0.025274919028055762,0.006035144641983474,0.39712310083585267,apul,ACR.145
apul_ACR.150,-0.10517692668361255,-0.09237820897070277,0.07708263568114551,0.05862028888701692,0.1525399055798363,-0.018643471099408174,-0.056127338309877504,0.19703925550754975,0.022455535990006516,0.3604602959832453,0.09417154847661333,0.30195289321426844,0.127090594106852,-0.030905327400071604,0.014395331616693603,0.02024358752522757,-0.002500543253427414,0.09129723371778163,-0.23217556302504333,0.017358145528799936,-0.1331452514061455,0.04567266779626415,-0.08268179643221327,0.31074250061831965,-0.019763703281894383,-0.08432303187950632,0.04545707256145909,-0.15406697603652966,0.012798312917253675,0.08895504086031493,-0.3585366124494397,-0.11126272569470666,0.13130821797453734,-0.03184384481913736,0.45735893256617016,0.022690164557750324,-0.21495914704594662,-0.10089170309764585,-0.08190944776502398,0.1123368340854896,-0.06082261699156544,-0.15376942389009168,-0.00841219030487274,0.0758242272084284,0.03184062956443302,0.08862503454220358,0.14423466076759997,0.04274665319671269,-0.003110002447625709,0.014542995070910973,-0.0019291158720294859,-0.002876834399049176,-0.11333500482792473,0.05217078457839792,-0.026131395308104814,apul,ACR.150
apul_ACR.173,0.00011054346723177917,-0.3620017553544526,0.11524357554845131,0.22567548623754047,0.02271795435283426,-0.0326400532731076,0.0009498617586149897,0.03446124888101044,0.07502078627827309,0.25555225373021423,-0.001349731076417962,0.20057045275735336,0.0555948505222968,0.21309204437517873,-0.011549104411117943,0.07387897313717659,-0.22094480646062997,0.0598144223439644,-0.18714148349901052,-0.01713903091774709,-0.11496111319412201,-0.013544113293150008,-0.14757608406007036,-0.014847961773918072,0.04218156528086642,-0.005877852289318591,-0.04146652787104734,0.08407841890603325,-0.27024042215646743,-0.06601729746022657,0.2646303070648066,-0.12068644167417882,0.14095253414267844,-0.030485122894965203,0.258586005720055,0.012839206994381338,-0.13603062327939525,0.05980788735832593,0.041983465246892136,-0.2184566342825236,-0.00039851695635245927,-0.15612159228540887,0.28648081355298005,-0.14103567448847273,0.15360493474562784,0.07450754000083111,0.004938576229736482,0.0027098534192723763,-0.0886619304826928,-0.2043718265851905,-0.043624537764582305,0.021532684835162543,-0.030008307711796793,0.3118401989247967,-0.05257369749628336,apul,ACR.173
apul_ACR.186,0.16405409680334532,0.020834908190399043,0.22963487079673356,0.04698730176193217,0.09201312753802791,0.32413497532211283,-0.14178168086295379,0.22239074074199378,-0.13153587822559581,0.3225709790445865,0.0873152892683572,0.4917633293248508,-0.09065541737625656,-0.1637909720708509,0.11954870435318715,-0.09320349524455397,-0.037049587716664716,0.10277622200074887,-0.045438455101490825,-0.053844019510761336,0.10036790438583958,-0.31210698126751535,-0.010108479789676885,0.0045824819749698655,-0.06748686332126115,0.04023252439458981,0.06920840040623397,-0.28240372900972716,-0.06220422368000494,0.5194996377861952,0.39958744008502917,0.1584032518342983,0.2569730587512327,0.12513376500367945,0.5025826510187901,-0.08634898737727476,-0.10948828092002916,-0.19205278949205798,0.5457772936587456,-0.27419126155204027,0.3628458106945848,-0.07055036648773333,0.16970701699315288,0.27411116997065565,0.09115581188158806,-0.07008269702420764,0.35009318222387703,0.15118780803964704,-0.04945816561885014,0.04196747053988996,-0.02438763113720241,0.03229013735975891,-0.2583006752861384,-0.24469291192647422,0.2892581764914693,apul,ACR.186
apul_ACR.225,-0.037476057228819026,0.032840569749112654,-0.003167631071179253,-0.11989674686565942,0.1686261089235981,-0.05443212870095409,0.023586970789520108,0.29212571218216254,-0.21675161169643933,0.3775968592129615,0.02803430014719739,0.24510458122250278,0.01744019569297032,0.7153506517257324,0.15805963564392964,-0.0894431547719036,0.06898424213299337,0.07196176090032527,-0.17573991368535852,0.05295631287381801,0.44759806281188175,-0.11715617019383699,0.11338282216698858,-0.2352464941084791,-0.19990396170657077,-0.029517077424018184,-0.10894965893016871,-0.1650950068056057,0.011181340653109719,-0.5018317757286158,-0.20312875005208844,-0.04852675883482965,0.15686784489671204,0.054812588552242414,-0.32784451634190387,0.0634795019435656,0.09822188967147816,0.07509292702649417,0.41222744287645213,-0.006479815031293085,0.16045906597438614,0.10568628391335057,0.18951714168513975,-0.20356888162596065,0.003150423548545147,-0.12806466863117277,0.4843824047008195,0.09286172600249945,0.03838108169098474,-0.20852842416421552,-0.04526305591843768,-0.5216787065358786,-0.12170035221448557,0.07945818306561926,0.4875739646587448,apul,ACR.225
apul_ACR.229,-0.032405720948785716,-0.17255865344738444,-0.216565270289086,-0.21974659793989013,0.11194937545308317,-0.051984515138780905,0.10271249911104817,0.26207363586976984,-0.14566505307383082,0.29313297465502347,0.08364390792503115,0.3000883782395062,-0.14135566715017944,0.1896191011278577,0.09028984445903104,-0.06645520477106295,-0.2333330814443761,0.06516690883132718,-0.13309672577162504,0.009909025010233411,-0.18469930386960945,0.08352480857682651,0.17745505729901975,-0.2514080092539999,-0.024872782335389424,0.07241684601683523,0.0516080878309163,-0.2700271024178916,0.08633443796723084,-0.08839025823760012,-0.2811511355048243,-0.03510098619607495,0.10210626875846318,0.05476735413146918,-0.02527226794902885,0.05614803635555217,0.5482673038236661,0.032709486008811156,0.05367773800095451,0.18898181723875457,0.16254983259602834,0.058995526584737015,0.11931263294779655,-0.2146055613890995,-0.04067380684635867,0.09565234363975056,0.41041514268974977,0.04755023390769226,0.08686407253017875,0.0403127101545249,0.10361274644501303,-0.07549820177118051,0.3846727076238909,0.3049680645559109,0.2775498663492745,apul,ACR.229
apul_ACR.237,-0.0851924335611227,-0.15102441469953012,0.13304334476381802,0.08164352913703664,0.12686397159688087,-0.026948138185410885,0.049389095165944,0.09694404344204686,-0.08075449972570439,0.34705157888019145,0.0226973710508997,0.2532398640004422,0.1171627666712439,0.22362905816618378,0.09010605417881606,0.045777474616278326,-0.01060063252198119,-0.023863921177485422,-0.24688099897683813,0.03516043592809789,-0.147089767740283,-0.06861559100054307,-0.12039212383048216,0.36248813369805294,0.02658553447296432,-0.06352283805275369,0.07821540989132339,0.0667902934582765,-0.00046024170469881245,-0.25618384613744616,-0.2870887982862625,-0.1873142131101322,0.08201007355668254,-0.024194780006679396,-0.315681881072285,0.03327732622184927,-0.011637375800786517,0.0340192601753579,-0.0024781695924932902,0.021227173062917718,0.019072183892039112,-0.1361944872966371,0.06479319333865963,-0.20873674843123236,0.005812526821945585,0.060390782546105214,0.19446932588379529,0.033657584018317754,-0.019022938033533388,0.019451275082068644,-0.010315267206000331,-0.0717817617552752,-0.0947628783204872,0.03202827231009857,0.13901484881135087,apul,ACR.237
apul_ACR.244,-0.08719151433893826,-0.37025454721162776,0.017989333809766448,0.09752917092804353,0.12030770605374366,-0.08151750411078361,0.0797246663953794,0.21130156933910876,-0.06739761031175315,0.3101929822885892,0.10895526053742328,0.24973130527671944,-0.006651718026733614,0.32567657950840384,0.1315710759744332,-0.05188940495311803,-0.11317646912770928,0.036426415090675346,-0.20331675446772762,0.04968808112138405,0.13181003029395308,-0.02921480466194669,0.06533620685985046,-0.08900535341036635,-0.030691186826679394,0.26261514592239726,-0.15690648084202535,-0.02863000102106632,-0.07083048350626911,-0.4115585808180935,-0.30796536281284836,-0.060386865215917324,0.10439620941496502,0.0012881601945063474,-0.30551975396699665,0.0446904401851437,0.1910931747663379,0.0917098606281106,0.1801912488125486,-0.2967758178448048,0.05824960835432827,-0.0020681723830931445,0.04870209015262152,-0.18444090473063315,-0.02601439388298548,0.10239688766635971,0.3092378120821893,0.07104757912389364,0.08714261363599676,0.12202984768308536,-0.05899084748174957,0.2656803872005843,-0.19827361714961309,0.16574311105250092,0.30147578476988335,apul,ACR.244
apul_ACR.265,-0.19172298215102448,-0.13678050005762007,0.021916461894652257,0.1179007003664405,0.07243957239038849,-0.10851566491266099,0.08412916653228657,0.2178279462315661,-0.0034321994097120567,0.2881964661798712,0.03149395895695706,0.1264926664830723,0.0905099597663398,0.15726845827996064,0.12502858410712783,-0.02872605922342513,-0.019744867963071188,-0.008409580195697436,-0.22422979022177578,0.10363897029128148,0.008842497414148854,-0.0929452854351318,0.09634478151244034,0.28827558943130543,-0.045553766153706175,-0.0032964165062325823,0.06717198297136147,-0.13252647943710377,0.03823800676139183,-0.04023596900262361,-0.17742398712150392,-0.06039969695803072,0.09169462056514373,-0.02821309714618308,-0.05196335777472515,0.007088638945935249,-0.13410366511383856,0.10199195550934051,-0.033964248191581774,0.06459609138210544,0.08855956232255209,-0.10830919977236544,-0.08547562185282186,-0.27868476706177664,-0.02929229353466973,-0.015515264580906919,0.3144341026331456,0.06437239308470534,0.004556763378370213,-0.010877052337971942,-0.0295759507670759,-0.07533461121386457,0.03677983997030495,-0.013769616056243456,0.3045885018224489,apul,ACR.265
