,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Species,Sample_ID
apul_ACR.139,0.13495353296850077,-0.12660360845415206,0.020179053861600287,-0.09445541503338147,0.11110804725879307,-0.04855991256542218,0.2269360275618859,0.1831328845805116,-0.02955280983345196,-0.016206118957450565,-0.029471310900008065,0.07752143374544708,0.006841516921437678,0.03993724637416928,0.35186334976465,apul,ACR.139
apul_ACR.145,0.24410241798207805,-0.13930528988671353,0.013674971586616349,-0.1734055494384414,0.15761723983030623,-0.09546124719601702,0.08011930337333803,0.26307447997315225,0.2020110286321779,-0.056933963497675204,-0.014457198844146847,-0.050471826018641204,-0.04552267395045658,-0.04579545865550115,0.34139766101253277,apul,ACR.145
apul_ACR.150,0.019488741305989616,-0.09803274105724828,-0.15567720119177575,-0.2494701527318469,0.07758063863348678,-0.07210062484077058,0.26329967964146783,0.3414012009538258,0.23200951596554092,-0.024386817944158395,0.03296027494157342,-0.05969855124155505,-0.0018521960565017683,0.3307431879432144,0.36738619064880523,apul,ACR.150
apul_ACR.173,0.24597974313533727,-0.10924199758268088,0.0008979551351418842,-0.26279047330594235,0.18635058932162873,-0.0034269574199739176,-0.0067375476142779635,0.18416049938131668,0.24386514342007287,-0.02040742317531067,-0.025676499722596873,-0.017372231362495213,-0.15883049463102614,0.07910819004527632,0.3400655990458357,apul,ACR.173
apul_ACR.186,0.18191537954743786,-0.23417821472318753,-0.23417576732060236,-0.048420619301526066,0.20004273237303766,-0.06656052823609689,0.4796529598141133,0.3990306605831217,0.12642044424521856,-0.08812534733337946,-0.04992351812133963,-0.04142811542515558,0.10289429952256413,-0.06689756355473962,0.3648688183574541,apul,ACR.186
apul_ACR.225,0.020899263492768105,-0.0992279745976832,0.16643886236469999,-0.3473873219419146,0.11716743276105736,-0.1103091721446197,-0.13206007146572202,0.34256685215602284,0.4116306681530051,-0.03891528017825743,0.10624706318875018,-0.011353983140566702,-0.19635381667963947,0.2754534617648016,0.2572807813503606,apul,ACR.225
apul_ACR.229,-0.006228078056228353,0.032365651149883,0.21567750595212382,-0.3467159533998734,0.07382951234994257,-0.09346467058543462,-0.009438135501904452,0.3242571686600314,0.3455854478307491,-0.021920174284598627,0.01884344705609306,0.032786589059517056,-0.19638544251126375,0.3000441843198433,0.2263061583137616,apul,ACR.229
apul_ACR.237,-0.09552702838731321,-0.011314667595633049,0.03216102331094873,-0.30052820948644043,0.05819822703443421,-0.04138827031833392,0.04309392814842087,0.34122833999934393,0.3672805562507528,-0.011118393670874291,0.06067740258171714,0.026663911707817026,-0.19027965316731194,0.33063101256232974,0.18987621222926415,apul,ACR.237
apul_ACR.244,-0.0420927035688633,-0.05539789275110689,0.10441615355302901,-0.30796501253534175,0.07354810978502899,-0.011836726894664562,-0.08278583640464009,0.31524997167398916,0.4118593973519929,-0.02228825980061461,0.06783772083530891,0.06405496368584514,-0.2921041597005485,0.3199183115110274,0.16880065509283307,apul,ACR.244
apul_ACR.265,0.03472270493902095,-0.056863895190299066,-0.03176202737014266,-0.24972844265650498,0.16091703113360567,-0.026998978432201243,0.12592507889196664,0.331728377317697,0.333431416270477,-0.03665926248048563,0.008198582303681368,0.0017466780909014454,-0.12409923585917852,0.14333544934373899,0.17884133358618798,apul,ACR.265
