Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-216-TP1_R1_001	POR-216-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35492251.0	5.3 Gbp	0.0	150.0	20.0	82.11263307832478	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
POR-216-TP1_R2_001	POR-216-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35492251.0	5.3 Gbp	0.0	150.0	20.0	81.90534867621648	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	warn
POR-216-TP2_R1_001	POR-216-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46107103.0	6.9 Gbp	0.0	150.0	21.0	83.03936397832688	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	warn
POR-216-TP2_R2_001	POR-216-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46107103.0	6.9 Gbp	0.0	150.0	20.0	82.6709747876615	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POR-216-TP3_R1_001	POR-216-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44697292.0	6.7 Gbp	0.0	150.0	20.0	80.95094957432887	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
POR-216-TP3_R2_001	POR-216-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44697292.0	6.7 Gbp	0.0	150.0	20.0	80.4462720339908	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	warn
POR-216-TP4_R1_001	POR-216-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42571547.0	6.3 Gbp	0.0	150.0	20.0	83.5615447971408	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
POR-216-TP4_R2_001	POR-216-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42571547.0	6.3 Gbp	0.0	150.0	20.0	82.86680696915398	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
POR-236-TP1_R1_001	POR-236-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25015877.0	3.7 Gbp	0.0	150.0	20.0	79.81497615468105	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
POR-236-TP1_R2_001	POR-236-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25015877.0	3.7 Gbp	0.0	150.0	20.0	79.20686689655231	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	pass	warn	warn
