,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Species,Sample_ID
apul_ACR.139,0.09242333967960584,-0.3158982152039894,0.0376281784963453,0.0011412509147812992,0.14857081664326088,0.0744640906506421,0.0362473492842247,-0.16081926002324504,-0.033681189061446785,0.4280471180840832,0.17108050107355413,-0.0461489823147107,apul,ACR.139
apul_ACR.145,-0.08862945424379956,-0.3157007237188209,-0.05316699616023397,0.23175323672659134,0.055892237913900945,0.25742037615734126,0.11481230489914362,-0.13223300545958325,0.03155152321764179,0.332087092862903,0.20864709850903415,-0.004339065670253122,apul,ACR.145
apul_ACR.150,-0.05571633763024157,-0.13224180122862292,-0.1999976816840776,0.18764200200265735,0.03018156500223852,0.306078809931482,-0.07677145116496661,-0.0182889184599237,-0.07045299652485626,0.2900621419875072,0.3129975721081976,0.13636854844253307,apul,ACR.150
apul_ACR.173,0.02077956887398634,-0.2677117829479966,-0.07087746323478575,0.216213505480042,0.056329059774651254,0.24166845536594458,0.003402391868621412,-0.021360677064266937,0.11504784263739035,0.28271500626625334,0.20466170951500956,0.030245241412234898,apul,ACR.173
apul_ACR.186,-0.18097645068607363,-0.3994842067031954,-0.061310143704996614,0.13308549855671203,0.18292361604474328,0.2598320190181176,0.09029601275982732,-0.18281715177740832,-0.03528278442367161,0.38283766804505054,0.3564069739032672,0.16039938399544226,apul,ACR.186
apul_ACR.225,0.03285252624463944,-0.0719334480467125,-0.219667652503645,0.3416812136644264,-0.08835235277915818,0.38710996408745363,-0.012181161208739782,0.0817635377924019,0.1255868809221601,0.0947533572796035,0.1989934471172706,-0.0339838004846551,apul,ACR.225
apul_ACR.229,0.06448319843372109,0.01808113911405349,-0.21619679224531474,0.2872158668214859,-0.21051285275669968,0.3377010560847713,-0.0142327293547515,0.0829058375804356,0.09327245198773712,0.1693451869069197,0.1653813785876382,-0.12522355822672557,apul,ACR.229
apul_ACR.237,-0.03710068224733974,0.07731750376479352,-0.29115736435998724,0.29946237595866065,-0.178238925042715,0.37554890412697256,-0.059628812255120976,0.14194246058886067,0.07489418776541582,0.0722298624178308,0.22552670350377974,0.010062143585375431,apul,ACR.237
apul_ACR.244,0.020393336229038495,0.07945396763825197,-0.27866698942893076,0.3726225770624687,-0.20817454729582874,0.3718192977218963,-0.05274834158919117,0.14838646112284948,0.1275396617184969,0.028716887903144885,0.14348694220482497,-0.007833379234576552,apul,ACR.244
apul_ACR.265,-0.06933138285014903,-0.0653626599307174,-0.20373270834435855,0.25395776776253937,-0.08227632821030072,0.3477258758882991,-0.032294018688725404,0.09853636681762101,0.13981073377623843,0.09614217526952278,0.25910284024682506,0.04066483832683264,apul,ACR.265
