,Component_1,Component_2,Component_3,Component_4,Component_5,Species,Sample_ID
apul_ACR.139,-0.289502333112611,0.07813407381442675,0.0573792469014669,0.3207196975065735,0.002362860892234963,apul,ACR.139
apul_ACR.145,-0.160149558523988,-0.11534049425045749,0.23176536306479337,0.23545129719446126,0.21487012776718123,apul,ACR.145
apul_ACR.150,-0.08831626568585617,-0.1924233264861719,0.28393833871946456,0.21391398653837657,0.25607772323447453,apul,ACR.150
apul_ACR.173,-0.19677492438762614,-0.1369879557454131,0.2682943225220913,0.2857232690896392,0.24934826426704043,apul,ACR.173
apul_ACR.186,-0.1996997070796496,-0.11169773035726596,0.2389335837437409,0.2743514642760417,0.20993855217047547,apul,ACR.186
apul_ACR.225,-0.046650826944620416,-0.2594346256667644,0.3828942670635943,0.15975775716962679,0.4056115896558759,apul,ACR.225
apul_ACR.229,-0.06211278956627633,-0.1984658759958061,0.3163232751609264,0.13506146645863445,0.31247257362077413,apul,ACR.229
apul_ACR.237,-0.0144529138629127,-0.2523515868841356,0.37085844134326235,0.11452760315184088,0.36295047278198245,apul,ACR.237
apul_ACR.244,0.0479528224475159,-0.2936333068514649,0.3860059520957674,0.06757890577203828,0.413822459390529,apul,ACR.244
apul_ACR.265,-0.039855895758880544,-0.2596835725685251,0.35609837839071107,0.1325372047477764,0.355696554670206,apul,ACR.265
peve_POR.216,-0.304531216594138,0.1428790536009952,0.07314528851362168,0.2175013823902157,-0.02343095312032547,peve,POR.216
peve_POR.245,-0.26189108451276727,0.1343146963671569,0.06017120180786312,0.1543051638681371,0.015072671386310438,peve,POR.245
peve_POR.260,-0.32734999920928154,0.13782422371895717,0.05972742191099797,0.20364256650700263,0.033624849354036965,peve,POR.260
peve_POR.262,-0.22243115794982424,0.2226867975387701,0.00503997213231844,0.053379309485109126,-0.05120350172144202,peve,POR.262
peve_POR.69,-0.11530332448770046,-0.003318019236149528,0.022073850688703732,0.16631446583071044,0.0047003714096428085,peve,POR.69
peve_POR.72,0.04105648012489695,-0.12899339250041783,0.030963840162186815,0.10569444351187463,0.061682581034841866,peve,POR.72
peve_POR.73,-0.1547891742212089,0.016854268540817428,0.04670829797177259,0.1544213366097445,0.005449736136555446,peve,POR.73
peve_POR.74,-0.2402316928368914,0.05454053951177487,0.045675751251597195,0.24190422205231515,-0.013250795891916625,peve,POR.74
peve_POR.83,0.027400815836308275,-0.15171412445697466,0.05312316618324951,0.13183890562517908,0.08687318275799641,peve,POR.83
ptua_POC.219,-0.268208427937707,0.11078455355420141,0.09002096714348803,0.1577050160353599,0.07180879394446299,ptua,POC.219
ptua_POC.222,-0.1557616777081343,-0.005213048920550591,0.07532108605111729,0.18046664201104198,0.08837591639889963,ptua,POC.222
ptua_POC.255,-0.3240040537769627,0.13734697921726086,0.023035970545365693,0.24927332779327402,-0.008619098760489628,ptua,POC.255
ptua_POC.259,-0.27160911920880026,0.19881765205474786,0.03757201107334165,0.1166347642756008,0.03747254318978542,ptua,POC.259
ptua_POC.40,-0.0534763541532354,-0.12424053907724183,0.037541461121132734,0.2440311111488553,0.024153292228902314,ptua,POC.40
ptua_POC.42,0.1466385109592096,-0.2364054304854402,0.08073416074508998,0.07003624707063799,0.12024901653754473,ptua,POC.42
ptua_POC.52,-0.10359659250303097,-0.07697054938986207,0.13834276387794314,0.14053083845760528,0.19746075655846254,ptua,POC.52
ptua_POC.53,-0.17673880127181757,-0.017324934113302527,0.09248105462230606,0.2110297159117878,0.07271165952819988,ptua,POC.53
ptua_POC.57,-0.19330838924226393,0.048302056918475236,0.02918060743427103,0.2099761184495233,-0.021558942957710166,ptua,POC.57
