colony_id,timepoint,PC1
POR-216,timepoint1,-1.9107095073345841
POR-216,timepoint2,2.2017500842683937
POR-216,timepoint3,0.42814887113267014
POR-216,timepoint4,-2.9632213496825144
POR-236,timepoint1,-0.6737655754363633
POR-236,timepoint2,-0.12998862599359673
POR-245,timepoint1,-1.405981440405073
POR-245,timepoint2,-0.21528130895140113
POR-245,timepoint4,-0.6352753563890186
POR-260,timepoint1,-0.9041702026097167
POR-260,timepoint2,0.006760626932546219
POR-260,timepoint3,-2.885542175742204
POR-260,timepoint4,-0.13061097453088347
POR-262,timepoint1,-0.08921031552730867
POR-262,timepoint2,3.3740311207428966
POR-262,timepoint3,-1.102077249710038
POR-262,timepoint4,-1.3615905921125313
POR-69,timepoint1,2.5595554435809893
POR-69,timepoint2,0.8881986176337827
POR-69,timepoint3,0.48298039529530556
POR-69,timepoint4,-2.2518469132725425
POR-72,timepoint1,-0.13652897457011068
POR-72,timepoint2,-1.1596778084979271
POR-72,timepoint3,-0.9703017055992931
POR-72,timepoint4,-0.28994719570358124
POR-73,timepoint1,-1.3058113775521358
POR-73,timepoint2,0.14747068085152457
POR-73,timepoint3,1.4782753363296879
POR-73,timepoint4,-3.3322881142195716e-4
POR-74,timepoint1,-0.04220080985839663
POR-74,timepoint2,-0.34985695504547476
POR-74,timepoint3,1.9157026708926352
POR-74,timepoint4,3.4619170511564374
POR-83,timepoint1,2.6311877013447478
POR-83,timepoint2,1.6145688091768606
POR-83,timepoint3,1.1796879648016598
POR-83,timepoint4,-1.456305730804014
