Name	1A3_POC-255_TP1	1A4_POC-52_TP1	1A5_POC-53_TP3	1A6_POC-52_TP3	1B11_POC-40_TP1	1B12_POC-222_TP2	1B8_POC-201_TP1	1C1_POC-57_TP2	1C2_POC-222_TP4	1C3_POC-222_TP3	1C7_POC-52_TP4	1C8_POC-42_TP1	1C9_POC-222_TP1	1D11_POC-255_TP3	1E10_POC-40_TP2	1E11_POC-219_TP1	1E12_POC-255_TP4	1E4_POC-259_TP2	1E6_POC-40_TP3	1E8_POC-42_TP3	1F2_POC-259_TP4	1F5_POC-40_TP4	1F9_POC-52_TP2	1G11_POC-53_TP1	1G12_POC-219_TP4	1G2_POC-219_TP3	1G4_POC-57_TP3	1G6_POC-53_TP2	1G7_POC-42_TP4	1G8_POC-259_TP3	1G9_POC-259_TP1	1H10_POC-201_TP2	1H4_POC-42_TP2	1H5_POC-201_TP3	1H9_POC-53_TP4	2A1_POC-219_TP2	2A2_POC-255_TP2	2C3_POC-57_TP1	2G2_POC-57_TP4
Cluster_4	337	0	7	32	45	150	20	120	6	61	27	10	110	4	202	8	26	151	84	27	93	180	164	28	2	2	43	216	111	5	99	70	101	2	3	44	177	46	13
Cluster_20	7176	3	236	588	273	1068	538	279	57	283	705	158	497	74	2069	50	526	3183	1046	254	1269	2788	2038	134	33	10	438	1186	804	96	2313	1182	743	80	48	200	2244	453	304
Cluster_321	5942	2	240	1321	363	2868	409	241	145	1080	1113	540	1101	57	2924	26	433	2402	1237	1543	1699	3449	2527	131	33	8	495	1801	2954	43	2438	675	2335	112	83	133	1611	440	336
Cluster_372	95668	26	1418	10524	3534	25828	3490	1867	1619	7821	9029	4128	20138	474	31324	507	5391	20852	12483	6715	8709	46907	22344	2315	186	47	5764	8602	34435	576	20214	6451	30983	712	293	2291	28434	8040	3467
Cluster_425	233	1	12	16	72	253	21	40	14	116	41	24	236	1	346	3	15	210	172	44	126	293	70	58	2	2	18	193	202	6	129	20	158	1	2	11	117	59	9
Cluster_789	1962	1	109	277	162	849	266	115	104	389	380	175	746	48	815	45	210	632	688	213	281	989	855	63	31	4	140	481	405	46	516	138	317	19	30	50	412	129	158
Cluster_958	67651	40	4854	16366	3325	45267	4774	4906	1495	9695	11915	5314	15746	678	66053	510	7118	53641	18685	16192	11719	60011	57963	3128	224	81	13526	46244	43841	858	21279	18301	69447	1519	1026	4473	42448	9529	5530
Cluster_1047	2797	1	195	405	206	1118	408	104	187	636	622	341	1011	68	1352	76	294	1197	1054	382	450	1232	1063	149	23	19	232	673	781	55	1005	209	1031	35	43	83	611	256	206
Cluster_1094	61	1	15	5	25	47	33	16	14	38	34	31	47	5	31	4	16	109	82	41	64	72	15	15	4	1	12	49	17	4	64	5	31	1	1	14	35	22	11
Cluster_1104	1615	0	74	282	63	1267	173	73	36	202	240	79	379	17	1305	17	88	494	214	292	235	879	829	42	7	0	175	772	378	12	467	206	540	15	27	33	517	124	93
Cluster_1126	331	3	22	32	16	348	32	32	24	86	35	41	137	5	128	0	5	182	89	77	106	153	66	6	3	1	66	122	104	7	123	52	103	4	11	10	66	50	14
Cluster_1159	575	2	48	100	97	397	142	64	22	138	132	44	228	13	611	16	39	390	232	129	120	345	382	16	18	3	88	217	330	12	226	170	249	6	20	35	481	109	60
Cluster_1338	903	0	50	233	77	302	99	65	37	197	145	185	229	18	756	15	105	611	423	278	173	790	257	33	17	6	43	220	267	18	240	127	218	7	31	33	214	73	66
Cluster_1345	234459	176	14651	25160	13050	122635	34972	8136	11798	54231	53236	24886	68309	3649	134500	3658	20373	93065	89443	33635	33724	146448	67541	10973	1335	375	40163	78000	80387	3356	103040	25441	91530	2860	3103	8787	78150	43503	18722
Cluster_1827	30120	27	624	1711	1949	6673	3063	942	1347	3811	3769	2857	7219	183	8951	220	1875	5781	6148	1830	3989	18632	4906	2531	100	227	1607	6117	12195	525	10552	940	9627	242	318	357	4709	4970	1011
Cluster_1970	38871	41	521	2310	1231	5700	2966	714	1347	3108	3775	1851	8953	308	7712	380	1679	2871	4182	1882	3071	11814	3668	2007	137	264	1687	3129	6853	394	12480	1318	5756	411	193	369	4267	3037	884
Cluster_1990	7601	10	181	647	564	3388	1284	272	290	1067	1336	1062	2636	69	2250	68	522	2511	2056	806	1037	4309	1808	471	38	12	478	1687	3012	92	1693	727	2881	38	56	247	2419	924	284
Cluster_1991	5922	6	201	478	366	2244	476	189	258	842	888	523	1587	60	2585	40	321	1455	1930	605	782	2290	1012	197	48	26	371	1045	1150	81	1505	273	1096	28	66	146	841	383	298
Cluster_2871	107	0	18	37	8	79	25	25	10	18	61	32	76	2	112	8	25	149	87	45	121	89	103	29	6	0	35	75	67	2	88	16	48	2	2	22	59	29	17
Cluster_2873	228	0	5	28	17	169	12	25	17	31	35	15	70	2	99	2	5	89	34	59	83	107	65	5	3	0	31	98	65	5	57	18	56	5	3	11	41	17	6
Cluster_2897	268	0	58	40	66	204	28	68	31	101	82	121	200	5	150	17	31	179	243	78	140	438	111	26	14	5	44	217	128	17	102	40	142	5	15	56	154	71	53
Cluster_3017	180	1	24	27	60	202	35	67	17	65	80	40	138	4	121	11	25	217	103	88	98	124	81	11	2	0	27	109	51	5	140	31	74	2	4	6	49	37	17
Cluster_3415	16060	4	335	2043	464	7022	1279	356	115	971	1117	308	1724	60	10412	72	520	2653	1227	997	1485	6306	4787	206	31	24	699	3334	2607	49	5678	1672	2498	92	87	180	1678	681	608
Cluster_3713	516	9	109	175	55	394	65	154	65	272	325	146	270	33	224	39	136	545	304	318	362	220	352	26	28	68	159	209	274	28	219	93	317	24	24	156	422	121	67
Cluster_4092	1125	1	73	91	195	699	369	61	137	546	372	318	725	16	533	27	194	404	683	173	433	901	215	170	9	1	147	426	298	37	507	64	291	9	14	16	187	205	77
Cluster_4094	203	0	15	36	14	51	9	8	9	22	28	19	43	0	81	6	15	34	43	25	28	68	47	12	6	5	31	71	31	0	58	19	37	2	8	10	18	28	24
