"Predictor","MeanImportance","Type","Selection_Prob","Stable","Mean_Abs_Coef","Stability_Label","Feature"
"lncRNA_25406",0.0585510804653826,"lncRNA",1,TRUE,0.0623105512107178,"***","OG_00171"
"lncRNA_10227",0.0531516129553063,"lncRNA",1,TRUE,0.0521700936095611,"***","OG_00171"
"lncRNA_10228",0.0476606992000527,"lncRNA",1,TRUE,0.0474907714019326,"***","OG_00171"
"lncRNA_10230",0.0475324104986152,"lncRNA",1,TRUE,0.0473689357065237,"***","OG_00171"
"lncRNA_10234",0.0471962964596302,"lncRNA",1,TRUE,0.0470427037743352,"***","OG_00171"
"lncRNA_10226",0.0452824249625632,"lncRNA",1,TRUE,0.0414851008661763,"***","OG_00171"
"lncRNA_25758",0.0261107124792594,"lncRNA",0.87,TRUE,0.0241832282395485,"**","OG_00171"
"lncRNA_46345",0.02572529086512,"lncRNA",0.92,TRUE,0.020778136503305,"***","OG_00171"
"lncRNA_854",0.0219786361464975,"lncRNA",0.965,TRUE,0.0187415140365831,"***","OG_00171"
"lncRNA_853",0.020777257277761,"lncRNA",0.96,TRUE,0.0177119632803433,"***","OG_00171"
"lncRNA_3280",0.0197730459862601,"lncRNA",0.925,TRUE,0.0155462265119941,"***","OG_00171"
"lncRNA_370",0.0181285462577772,"lncRNA",0.98,TRUE,0.0212610531501845,"***","OG_00171"
"lncRNA_13394",0.0165769133324573,"lncRNA",0.99,TRUE,0.0147093702839665,"***","OG_00171"
"lncRNA_29562",0.0162870716530857,"lncRNA",0.825,TRUE,0.012027268726613,"**","OG_00171"
"lncRNA_29775",0.0161110314350024,"lncRNA",0.835,TRUE,0.00960856354475614,"**","OG_00171"
"lncRNA_26600",0.016033440392449,"lncRNA",0.825,TRUE,0.0183257663510893,"**","OG_00171"
"lncRNA_12238",0.0160012260072719,"lncRNA",0.78,TRUE,0.0147585731704553,"**","OG_00171"
"lncRNA_26601",0.0157880587295446,"lncRNA",0.825,TRUE,0.0180461049378635,"**","OG_00171"
"lncRNA_36797",0.0157849265966061,"lncRNA",0.765,TRUE,0.0101674708656461,"**","OG_00171"
"lncRNA_26602",0.0157522896932485,"lncRNA",0.82,TRUE,0.0179872052265034,"**","OG_00171"
"lncRNA_6568",0.0616573095059119,"lncRNA",0.975,TRUE,0.0700672946379488,"***","OG_00297"
"lncRNA_18396",0.0368329976994373,"lncRNA",0.765,TRUE,0.0302932678813912,"**","OG_00297"
"lncRNA_48715",0.0350167709394619,"lncRNA",0.965,TRUE,0.036386140150262,"***","OG_00297"
"lncRNA_18042",0.0314770490095277,"lncRNA",0.73,TRUE,0.0223550340228039,"*","OG_00297"
"lncRNA_37959",0.0294082205683035,"lncRNA",0.92,TRUE,0.0254571565295972,"***","OG_00297"
"FUN_015337",0.0287566872654373,"Gene Body Meth",0.3,FALSE,0.0216966479914443,"","OG_00297"
"lncRNA_19181",0.0250543533828791,"lncRNA",0.99,TRUE,0.0234405103065277,"***","OG_00297"
"lncRNA_21904",0.0208893802634427,"lncRNA",0.795,TRUE,0.0184990194067136,"**","OG_00297"
"lncRNA_36657",0.0190694302231583,"lncRNA",0.835,TRUE,0.0149976197570611,"**","OG_00297"
"lncRNA_48716",0.0188897568928686,"lncRNA",0.81,TRUE,0.015853713835374,"**","OG_00297"
