,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Component_46,Component_47,Component_48,Component_49,Component_50,Component_51,Component_52,Component_53,Component_54,Component_55,Component_56,Component_57,Component_58,Component_59,Component_60,Component_61,Component_62,Component_63,Component_64,Component_65
TP1,35.70834495129196,57.16983612774615,54.2370431027928,17.63271947172791,39.25223660350386,6.533396472607871,9.718866826336274,10.302506092724355,13.42604754780351,18.53524635699647,25.837764479705775,37.523000968723146,1.8248367406247852,51.02830111246027,27.24349155226675,-27.662195198018836,9.479173371585855,33.76805431754409,37.46742365166666,16.75030060736371,-20.061178252180493,33.53307441135666,39.42135169447269,21.729306312773144,26.860824789979752,44.90385274162161,20.03850562109724,42.76831725544245,51.22257905462699,46.622003855452306,24.374052614172147,34.99256638328429,15.31265556614118,39.56612771851839,72.10321074626843,70.70663160479272,-11.163291490400068,6.61534963414245,-15.018644528187304,44.37864413665945,6.0345890658303905,32.56083987451136,27.26530139060029,0.051196274873626185,19.72903366865047,33.605855448766064,-16.826649405688652,-47.901565004671944,-15.335016170024256,66.91054071964189,-35.16658561806136,48.01466906399752,36.814438600368746,68.21859311294149,-20.35333798058392,38.6611037553559,-29.830646749507547,48.68355395394945,6.336937336136174,18.941378795276496,3.943784686557855,3.3104524172142797,57.522069320676835,5.141223558721931,3.2110729141439642
TP2,38.72345020274775,5.818470431894543,5.398981933976443,35.242845359949236,36.70505304764819,52.121906947242245,57.769345859444236,49.955006410403996,47.632037017528866,32.00519410991607,36.42796846604758,4.299608122104197,2.1790455596453797,-43.080636563391934,35.64390924216648,-17.62116659330958,52.93710183744354,31.830044793907383,33.43577121604688,37.19199050826499,36.133417963456935,23.2303880085438,48.8797703874123,7.896074276834802,67.38740764223267,31.8812907487963,-37.296574761009765,32.08867478407157,14.328933570558114,31.033732575787077,49.83402410755211,53.2153359198503,71.57536267806884,51.07057654809179,8.379673924545688,6.01370555821086,71.20651941542772,-31.30201279129138,4.069021728229513,53.48176566729645,11.934297921186236,30.877467289509468,57.107461486569264,-25.232673626272405,31.089491565796497,33.76161211170483,-15.380664572777263,23.743986012679073,-11.048625576741083,-2.496585231445671,16.159299155182403,34.49501156011303,40.35457286622815,-2.0262182012756376,17.231311935357713,25.6544091222682,-11.63120455993176,24.507050941656015,-47.78817058330678,6.392054863242366,0.8121720554656384,62.366102701655066,14.594231669129746,0.9763869858129517,9.87558465442206
TP3,24.401786791751764,14.758621400632176,32.053837140112904,27.146578821201672,32.483056464419555,-2.8257685899140172,-12.268264258213978,-24.70960530505456,10.172536564837072,-9.571461996672078,37.4344890132199,48.735746970342994,67.99477828857816,-2.45220907815299,36.11143171313153,30.470866349797657,31.609366490512063,29.83070149565122,46.55713966310877,46.01708915972282,-17.006331180091603,37.74628220207427,25.2419468889671,47.909583699735705,12.61862925990556,-9.858742448800525,24.420987598069594,34.602589899902384,-14.57198154371479,35.17396309489787,32.5989779966174,-15.538101436923755,27.82766161683705,-2.045267733308594,-8.090728871326004,-1.1080298910632993,29.384898999430234,60.32975763437387,62.03322613249868,13.070206344374478,7.531207434229483,52.95491465836074,18.74218815756337,-28.313376654413148,36.33415666634733,29.779215938094442,-14.209967464474916,-1.2857519114301135,49.015134840457144,15.536516606705598,24.267950926565856,39.46729870127409,19.68447671591628,0.4265425534192351,11.136071483380153,28.132891516007618,3.8077091920466573,24.52175431526535,44.307429894630545,66.59787818160723,1.8307523025380794,29.989638498381247,-13.697476123969038,75.37390579467426,66.46072976136249
TP4,31.14349837839735,-26.27100030764295,25.383137940948213,59.41324459421808,27.76592662861169,-27.90940191504947,19.294817459294475,-43.359287525242046,49.25906869930258,67.23774320517619,27.598177091030283,41.50659312095427,2.9534914035605944,48.34286331867699,28.84026368343312,-30.80407037277656,36.1080484454874,30.865946046290176,10.437721229678809,30.807290883789918,-32.855643829688724,57.69586904041091,7.729716552756178,44.90101591311198,22.44903764572924,4.62050894610825,-39.62490922722278,28.21946257059063,-5.891464744088631,25.6016856553218,44.995115476639114,37.70880271337289,28.205760510770123,-18.834498423014747,24.72361682559601,15.118529001098592,10.630159513782417,-20.51425074476646,-2.546076982216549,26.79153227826815,63.69512105110791,40.485133500227825,-5.349132396154872,-11.077831730528658,38.73144776435692,30.792185746253192,65.5940603775486,13.045295664598525,-27.256256672344612,34.86837066223825,-9.871808031912622,11.67128225039353,28.19244930991856,0.8732686970183022,48.12324245212688,30.597139951060257,53.342318416194715,32.46776810032528,19.92499022636705,15.98745963371731,62.23052793204845,19.512769135738168,24.892063543965985,14.350997803166516,29.08048885906608
