,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Species,Sample_ID
apul_ACR.139,-3.0538845324383304,-1.2054117436774965,-0.3874051150309208,0.7394985133579866,2.617905353473205,1.4323982311653038,-1.3462547790330188,1.2084199402622586,0.03715406842092112,-0.32983375652483143,-0.8287708807621686,-0.8646061643046037,-0.5051280798175612,-2.6318207015912902,-2.490128972460809,0.3096261670850898,1.140191315673431,0.5869494858859824,-3.3518815151799513,0.42974097853246057,0.5873524169445566,1.2524190990626831,-1.1674697202902098,-0.24409635570841468,-0.7302117565675048,-0.3969472689351838,3.0587449734496563,-1.6022538952883911,2.995347579992973,-2.964497044273641,-0.9441125685640938,3.0184325523103928,5.631690648378165,4.139120128448131,0.00046598533741629714,3.149040741725928,4.348584196326302,-0.2993773978912034,0.16900138196375017,0.8222483381891301,apul,ACR.139
apul_ACR.145,-2.139875880213547,-3.9235849424270444,3.0456496702395404,0.11894315106167896,0.3141470064718121,2.6382590176469694,2.145554367411634,0.9231995743755027,0.5680032988576943,0.9560082732230086,2.4195991883379575,-0.17260890965058379,-1.2535580014126042,-2.634828939789436,3.039691162986724,-0.8341776544323023,0.08215241380817934,0.19802210716565602,-3.2985697186708127,-3.8583049561306755,-0.7460416855067854,-6.7527847431419445,-2.298176426509663,1.627366535500349,-0.6610001792617479,-0.8659342398769393,-1.7814282178975998,-1.0465284990415629,3.548930389609973,-0.8522226584712703,-0.25493863818435414,3.2757562773616957,2.5341384384469716,-5.376806579565401,2.4449839774333473,3.274026151409556,3.0786101293722883,1.7692077032671336,-4.818276056722784,-1.4910557526633972,apul,ACR.145
apul_ACR.150,0.11561931776144077,-1.0144120946666833,-2.5785760267420974,3.3546549195528073,-1.188595274427624,2.6983734872623852,-1.7845972814018063,0.9479414201731096,-1.5264193925179126,2.8658669261460683,3.116230596381271,-0.26830708819256555,2.8776190059185436,-3.0786115074863476,2.5224790931709795,0.1571576367577281,2.670073326928445,-0.5780321263391189,-2.2131746695300905,-1.0767321315056728,1.8323355618006187,-0.8896496363256389,0.09907263230866298,2.57052704187955,0.3716828076910262,0.8159633621094282,-0.39092241470981404,-2.274462740306169,1.8905059109556868,-3.214751080340067,-0.7741103041290838,2.6324065677616897,-1.54778647291022,0.16369203626357404,0.20488270404907835,1.032697169494682,2.427439973479477,-1.0705863676237817,-0.08616785663238503,-1.19198827888004,apul,ACR.150
apul_ACR.173,-1.478700208781153,-1.100216896256561,2.5542082689247967,-0.5400740745245883,-3.990697991886634,-0.39320549203058436,1.643688730707405,-0.021350218852108093,0.11204555062619093,1.3666555260968047,1.784150905853815,-0.07885014691240251,3.8615697496853256,-2.4588040968458125,-0.9356702633027465,-0.7353556249957786,-0.16883491333891507,-2.279854844747062,1.3579087280821167,-4.962378508383069,0.25458837504809784,0.060955960394680424,0.21353288771593915,0.8405363594043461,0.18556828535676195,2.6890628394307607,-0.6259863234614681,-0.4212135022549324,1.5745069663170632,-1.9131255052902891,-1.5481144656708068,5.709383459931601,4.652144398598798,-1.50968948733392,1.1124334370697841,-0.4326081349636569,3.082985384906503,0.14758018154042005,1.264327811747006,-2.300991245222525,apul,ACR.173
apul_ACR.186,-4.283399739674468,-2.2818799797153138,1.8685675478455512,-0.7560650704274059,0.4584894668871288,2.1333545279765502,-0.017435629453462765,-0.44019181755222186,-3.4493850479474615,0.8385088831353186,5.807166311533142,-2.008904031259784,1.1504332499916978,-1.3039004698176324,-2.4607871899816027,0.8140564904911867,2.062415525892916,-0.19434410264936916,-3.261324401314611,-0.5533153168559855,-0.6555569160288308,0.7027454321658063,-1.5989036212816232,0.014309988908819368,-2.2046102904006104,-2.5186498121601097,3.310285704846835,-1.01743690047859,4.936684712800793,-2.9734459151183428,-0.036557458480252235,3.4097270093374767,5.461091334029917,-1.2204681456850237,0.8919098215781629,4.417672675640215,5.793659708736338,-2.25398497725968,-2.5492231066055626,-1.618774937210071,apul,ACR.186
apul_ACR.225,3.5133887734844844,-6.6586981287464555,0.7851932714567111,-7.347063109525998,0.5657125118458671,-0.14163906541153357,1.423508160635304,-0.37902230987585894,4.446975075158426,4.142882379001521,1.6354595987763128,-0.4356054264869133,1.2197283327981394,-3.475273756264866,0.6766227956018741,-0.3327176448396395,2.2897636777055332,-3.217249602670406,-1.6587638843687966,1.2622678162463183,-0.09277220655412649,0.992251981246464,-0.5780352412947765,1.0130781386787793,0.7037310661624016,5.012458943557732,1.6256070188331662,1.8624372943398775,0.7413212584424966,-1.5774538465273198,-0.9302806527868291,0.6974482466376529,6.045133105675922,-4.963374536960543,6.093894139526944,-0.21404380076755017,1.3330443033587736,4.057319548971675,-0.4183273680796452,-2.345498722990869,apul,ACR.225
apul_ACR.229,2.1898373195288765,-0.6499409242736088,-1.2822761376692262,-3.0417051546163356,1.503816245981926,-4.1984366922435035,-1.466842544488804,3.8726343531323537,2.989695619980924,2.644007917727813,-1.2894854521907821,-0.8256864717208138,1.7981263601483737,-2.367974333987091,-2.1770465322423203,-0.02474047793716465,2.12293598467623,-1.4682247652905696,1.150683374929978,1.6062069479264747,1.1857132274760673,-0.6250260221710929,-0.0938405383517524,0.39049873897241383,-0.07634616878003518,7.947384354616682,-2.7480662675328307,-0.7629515800425754,0.31945050101222566,-2.8481798568270995,-1.2648671440836288,0.37938101844672373,3.5407861845191033,-1.9315011619140168,3.7043847934479546,-1.0604144777338949,3.099901063141232,2.491218047240971,4.2888875191183535,0.20192890879751718,apul,ACR.229
apul_ACR.237,2.862040768396137,-1.4184881127117195,-3.940696825053567,2.6372504923142754,-1.0618869767533032,0.20333780238472976,-2.1810837242283827,3.027633390097234,0.7871527649989685,3.1987397487815983,1.5737309603930911,-0.094391880403918,2.9711802817954043,-2.502641909548275,2.1613937153310316,0.16365306571045335,0.7418484758214208,-0.25736565142490514,0.22451727400933355,-1.3673422493760166,1.8042788776796226,0.5183116974610452,-0.7681121581992771,1.8549693250022175,0.6220131329315093,4.381974547749809,-0.7123103464477889,-1.4375772200011618,-2.7764265010251217,-1.8080131233242824,-1.4616261004820552,1.3172783883878894,-2.0531232862816826,-0.18155041696508403,3.2780028041537608,-0.4632135470069776,1.5249041324759083,0.4440841692169109,-0.833994210708625,-1.28559210163335,apul,ACR.237
apul_ACR.244,4.643144661072907,-4.099701066111384,-2.696301823329763,-1.4153578928833674,-1.2703781992115057,-1.1776460272520262,-0.08602126859462264,2.6083286430193255,2.393250155226784,3.486841626708293,1.1567386273888893,-0.9850110212891804,0.052749184606883624,-2.6056053304338365,0.12825898268643712,-0.0989963368668711,-0.3900524160346314,-1.638987094891232,-0.08429651979283428,1.9417658713937478,0.8996560514280123,3.954949581113494,-0.512530334079057,1.4186031009349285,1.2852847336012243,6.210636204334474,0.4029939235289948,0.37953501120086625,-3.092153812251809,-1.972709356203439,-2.6385743169847338,1.962714343390522,2.0602385762716464,-0.6929337938707067,4.544692160598343,-0.464410711523451,0.8531297012944341,1.6325569702622593,0.7596212436092824,-1.202238129671196,apul,ACR.244
apul_ACR.265,2.076506077423515,-2.868358167893045,0.13952585270043474,-0.9953807879170837,0.4175107046992165,-0.2285192845339112,0.48997363801320176,3.619662776052092,-0.013151963241131794,2.3194085060109666,2.665507071571367,0.03252542164168272,-0.9089265190868935,-4.275819988648041,1.6001845853534,-0.5226027944866516,2.234034191410874,0.21170229786175562,0.5431730601931505,-0.29653211084959624,-0.08351465203378135,-2.3947977158741445,-0.20270624972364124,2.2496442992435024,1.122998274661464,3.41670777862309,-3.2945913091291885,-0.9534549621889992,-0.034558766586216885,-1.8947803868502247,-0.3230385199210354,0.04666523492721746,2.166991965994735,-1.7957362212652137,3.6288271029261674,-0.7515820147868947,2.00326982100808,0.2356224969006107,-0.4258153397685732,-1.6956194579966792,apul,ACR.265
