Component,Weight
Component_1,1.0
Component_2,1.0
Component_3,1.0
Component_4,1.0
Component_5,1.0
Component_6,1.0
Component_7,1.0
Component_8,1.0
Component_9,1.0
Component_10,1.0
Component_11,1.0
Component_12,1.0
Component_13,1.0
Component_14,1.0
Component_15,1.0
Component_16,1.0
Component_17,1.0
Component_18,1.0
Component_19,1.0
Component_20,1.0
Component_21,1.0
Component_22,1.0
Component_23,1.0
Component_24,1.0
Component_25,1.0
Component_26,1.0
Component_27,1.0
Component_28,1.0
Component_29,1.0
Component_30,1.0
Component_31,1.0
Component_32,1.0
Component_33,1.0
Component_34,1.0
Component_35,1.0
Component_36,1.0
Component_37,1.0
Component_38,1.0
Component_39,1.0
Component_40,1.0
