,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Species,Sample_ID
apul_ACR.139,-0.03519739542068477,-0.13545346909586983,-0.03699923030927776,0.09834352027736094,0.29188057713441784,0.24896828248498093,0.17447417629110884,-0.15567846370724317,-0.11467322758049546,-0.0016175599091188457,-0.31618428017605676,0.024586618290107547,-0.3379817897922789,-0.14138255834833688,0.21467133937085614,0.14024756531175567,0.278999008770161,0.13127786289212728,0.317618642718437,0.1682736980385825,-0.09736948388678293,0.2510267781963059,-0.1590564409913763,0.22114307641661557,0.018339485227191907,apul,ACR.139
apul_ACR.145,-0.0921642218167734,-0.02632947294892018,0.2179767704766646,0.09312287207769537,0.34865439842030727,0.21518935918412918,0.27656417637325625,-0.2691500307442653,0.17505885361985227,0.012187603779322573,-0.25083532938090763,0.03864808051601112,-0.451208845029906,-0.20664631619380985,0.1839967626583329,0.032068342891869675,0.2829814151754144,0.1150336774099726,0.2985229816008384,0.05545599365407742,-0.15585858711708744,0.0034486386899460412,-0.12549510964133198,0.23581388502316447,0.24617311284779522,apul,ACR.145
apul_ACR.150,-0.03810095293607218,-0.10126202377448532,0.3505289866851027,0.08658805667674188,0.3429189100194108,0.11331099254192627,0.30242767946220045,-0.27553905757183594,0.24930280165796986,0.03740716706045365,-0.25792583643627787,0.0404991867933701,0.1455121083246659,-0.15903373054371978,0.1611780171873247,0.007660008995775857,0.26100226057174014,-0.09046099795432176,0.0413107160879817,0.07896790782116855,-0.2159969683659257,0.13464132589057426,-0.013181069612876985,-0.0004714730563045715,0.0962056619850563,apul,ACR.150
apul_ACR.173,-0.03772518435710579,0.061841136984680335,0.25695197379132956,0.010662100063372003,0.3339554908411099,0.15241464763233525,0.18823052943726315,-0.22147714117231035,0.1999950389978065,0.04616259302654981,-0.1499279493701623,0.05189831979278549,-0.26085335641706503,-0.1552854018292852,0.09740582759890802,0.006950363231110785,0.08904908282045021,0.05578113339470151,0.18310285322984665,0.09499872628612366,-0.2444173303229374,0.08048937132119585,-0.07427071125960728,0.11844094357265897,0.12080495394251056,apul,ACR.173
apul_ACR.186,-0.1375474080360203,-0.10768697195585332,0.21842950083268037,0.29462062740391176,0.375050607511887,0.10031483415646784,0.35777169258330294,-0.3368229732186095,0.07106570833423016,0.18180678560846972,-0.33172583323368476,0.1525809537673001,-0.40592383082459454,-0.3168953493848071,0.3225308498651638,0.1555734404020859,0.5168011764524988,0.157369349237236,0.2596215221499926,0.11976660100321514,-0.18612527407754081,0.19004051632992788,-0.10393415855849465,0.20045189849588385,0.15848365772668999,apul,ACR.186
apul_ACR.225,-0.004696111242939952,0.1854342019228582,0.025543005664660518,-0.16115420403514175,0.1531819214697204,0.04148006386982219,0.40418794060458313,-0.14655790328669116,0.47653303653130147,-0.03818505202534139,-0.12439047847948907,0.05157395695795528,0.10069972120971112,-0.010538612391827393,0.08926586294142681,-0.09262923858007494,0.02214997328199447,-0.1017243580723917,0.05755406222299911,0.19399681560821247,-0.23976830801488347,0.03496075176083473,-0.08760337080649383,0.11513724036838087,-0.21252068026019091,apul,ACR.225
apul_ACR.229,-0.02481588123926461,0.013514044429526213,-0.0027189752149881473,-0.1225681868539829,0.1335609714275169,0.09432597749692537,0.35661929029706535,-0.034702921951471295,0.288070985255142,-0.08430914916811218,-0.18384856642031067,-0.004728891525846505,0.10411694430900995,0.04178556789239445,0.07492916523364158,-0.04223660051219809,-0.09319159876993094,-0.08551847507763134,0.14755218179680077,0.27415336847966615,-0.16327060803085944,0.1365375460776915,-0.13967140326795024,0.39062375349461875,-0.26391936788711284,apul,ACR.229
apul_ACR.237,0.021747457891132613,-0.014507497533561987,0.2407933427801068,-0.05737845200992265,0.12821957699873626,0.12720003286133677,0.32517735948663856,-0.14945382154215894,0.3905277803073558,-0.014412261018541999,-0.20965133503711003,0.026177122970750272,0.23524278358601317,-0.07407777597592605,0.026347458011700214,-0.0800104563419401,-0.016812659046232293,-0.23076102161838977,0.022596731936645163,0.11919739045016443,-0.14921337691356273,0.0715769136829517,0.003000655487362518,0.090348502577994,-0.045953524147021814,apul,ACR.237
apul_ACR.244,0.03118165710093238,0.15083629853147515,0.1008760938034772,-0.15911838803001307,0.09925083147486002,0.037672092736007676,0.3502636072339074,-0.1696443438275822,0.45198730446094326,0.00639703606830486,-0.09138330922979866,0.03456919837333062,0.2283249440081587,-0.022290088837895964,0.02641461707091609,-0.07236980284050742,-0.08085676428518743,-0.16461859936156534,0.010911478011541334,0.18083957378508714,-0.18375074388980359,0.10293301292620738,-0.010019733749546188,0.12227814864290562,-0.2446907596030634,apul,ACR.244
apul_ACR.265,0.07608726394088706,-0.031609547305632486,0.2154477544114772,0.07354201147126947,0.0935529694088604,-0.0210606209587403,0.32546412041085104,-0.15625749535102107,0.3425028570736075,0.09293016886503858,-0.060929553217973095,0.11869458186693993,0.0007334344311137648,-0.1516309435701595,0.06993961686076844,-0.11854335080098441,0.045388983093687496,-0.08207884583058524,0.12901724896916675,0.08713246267732919,-0.17601915907083615,0.06518300027838235,0.0025868050267055863,0.10910456788875583,-0.08219593547277237,apul,ACR.265
