,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Species,Sample_ID
apul_ACR.139,0.05932719336358509,0.19315770210003655,-0.13146985037367678,0.0019959560059189816,-0.08446380294920015,-0.05728910603385898,0.025625487492322407,0.2935276744385889,apul,ACR.139
apul_ACR.145,0.2736287504001402,0.1040828347363341,-0.1580870530454711,-0.060604478662441695,-0.10465630344605277,-0.07927073726495823,0.22427737363731534,0.27843750821146507,apul,ACR.145
apul_ACR.150,0.2708382700372029,0.16821309552773003,-0.15880299423986494,0.04360033257208609,-0.3669821441014627,-0.22732336938785214,0.285447534691039,0.24746251393469124,apul,ACR.150
apul_ACR.173,0.2824728320365342,0.18448990528546969,-0.24923838919605268,0.01569357987255656,-0.01300916933377479,0.015345338151019764,0.2397447852146167,0.22172935073363637,apul,ACR.173
apul_ACR.186,0.27743141714917535,0.130979309657498,-0.10348717092318198,-0.11355620592486039,-0.35382393179672145,-0.2986110346192537,0.25716282365929677,0.42334697607513666,apul,ACR.186
apul_ACR.225,0.3915673606353002,0.11859534680771491,-0.26739061078506393,0.06809825145494502,0.07660482759882656,0.026349738462930157,0.3683809149127774,0.03956337687526286,apul,ACR.225
apul_ACR.229,0.28792754462452885,0.1714658820464239,-0.28251486902553313,0.11315012881898912,0.17789591798096405,0.15243576954690882,0.26580372491243465,-0.05012085310082233,apul,ACR.229
apul_ACR.237,0.35750051025989116,0.10148701385951095,-0.2214301806475764,0.0737705146972337,-0.004853255087500298,-1.4208222698117407e-07,0.33345999169745305,0.010754692805316319,apul,ACR.237
apul_ACR.244,0.3751690362386625,0.09100689264426302,-0.2594241714974679,0.12313614666437654,0.10992036006131704,0.0712784540283195,0.3647176028811576,-0.08972883468434305,apul,ACR.244
apul_ACR.265,0.34885556653854627,0.13114193282088663,-0.22024875274579406,0.019242628044394663,-0.06717387868606499,-0.024855446811891085,0.33341463262578724,0.09286534592589182,apul,ACR.265
peve_POR.216,0.003279596550617598,0.2752127893012337,-0.12822642023140704,-0.050668758687258016,-0.023736440000673605,0.10891571821129022,-0.049768335532400294,0.20199985024261508,peve,POR.216
peve_POR.245,0.03739561635372831,0.17432750893642976,-0.14913289043817762,-0.06469051772595105,0.26899551404450317,0.28234936591172666,-0.04056933606690341,0.07810594626195198,peve,POR.245
peve_POR.260,0.028253689878909485,0.23361608296750178,-0.11932785500384517,-0.12187501295895455,0.12389788167046677,0.09347692939185062,0.0012926520881179728,0.1816555182728605,peve,POR.260
peve_POR.262,-0.07004936324584765,0.2403083073558041,-0.08923658073014029,-0.05560458929332492,0.10788062718806098,0.25935522305306496,-0.10947192371914036,0.04594329495010167,peve,POR.262
peve_POR.69,0.006615832038630671,0.12453251961534924,-0.09203555310988291,0.06285117645158717,-0.12344269334071609,-0.008892281827906199,0.0164315085312515,0.12383233543963498,peve,POR.69
peve_POR.72,0.06647126208397076,0.035087285259120686,-0.10498369559757093,0.10492588246212477,-0.15133597048673952,-0.00865832118332262,0.08939435910066285,0.09285105331172935,peve,POR.72
peve_POR.73,-0.004301245406211789,0.24000098966663053,-0.09385356680148896,0.003061362756479817,-0.17888622580149488,-0.07620299434349086,0.016443098921105962,0.18673380689354135,peve,POR.73
peve_POR.74,0.018760682774089755,0.2296070215052316,-0.14765365000764413,-0.018819223367167275,-0.020686115121499787,0.08195892248758484,-0.020408969746659154,0.2240759114846472,peve,POR.74
peve_POR.83,0.06362042835690766,0.10673807666094104,-0.1490530042446648,0.16024696865494556,-0.15977947454101574,-0.03286070346640607,0.11607473796995597,0.07150181655433971,peve,POR.83
ptua_POC.219,0.07859082280879984,0.18582772622585902,-0.09339530893511835,-0.1526604479610303,0.14732371877585373,0.03780856612756042,0.04246360330058042,0.17759885510187362,ptua,POC.219
ptua_POC.222,0.05116598726077537,0.2307490492602484,-0.1865852542170549,0.08480948798842071,-0.00862844366108009,0.04996071199853304,0.084214108454958,0.09757180797069559,ptua,POC.222
ptua_POC.255,0.013290692033104226,0.2126508576930583,-0.09836069675870347,-0.06931894619780106,-0.05944692787294634,-0.018088543121248527,0.01150441289072102,0.24116155707760356,ptua,POC.255
ptua_POC.259,0.10018549317016438,-0.027816082286513878,0.05323498683553884,-0.23642298488214722,0.2403471808097767,-0.11577267300269639,0.04102501345636795,0.16145437086274503,ptua,POC.259
ptua_POC.40,-0.024052005247124513,0.2961633984738954,-0.3111278769608909,0.3244643682373626,-0.15080063456922915,0.25717983448911486,0.015594457170827341,0.04412566022850836,ptua,POC.40
ptua_POC.42,0.05237160573497385,0.14139872177005053,-0.3616931742028282,0.39503281703564874,0.24559296136235964,0.5385647486962808,0.062430477557278326,-0.26702054660501423,ptua,POC.42
ptua_POC.52,0.15811066329618925,0.13862586961274348,-0.032021002729321874,-0.08051509063467675,-0.5304345894929912,-0.3729322142449464,0.243016361385798,0.3524970812781244,ptua,POC.52
ptua_POC.53,0.029544351693357115,0.31834058858928616,-0.27759728229891084,0.13882814981175917,0.1271617989852789,0.24708023817557112,0.030913498400068445,0.04278543841638793,ptua,POC.53
ptua_POC.57,-0.02851764377108902,0.2723585283243047,-0.2203739777772623,0.11281436708327225,0.08980183384502302,0.2537780223219019,-0.05129582165071593,0.07099214995115283,ptua,POC.57
