number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
0,9.91927074157517,2025-10-16 08:25:27.882827,2025-10-16 08:25:28.056245,0 days 00:00:00.173418,0.6351221010640696,0.08471801418819976,0.024810409748678097,True,14,0.01819095606520149,3083304.0657042265,0.8571428571428571,0.8571428571428571,0.8571428571428571,COMPLETE
1,13.40153897664898,2025-10-16 08:25:28.057263,2025-10-16 08:25:28.138186,0 days 00:00:00.080923,0.29154431891537513,0.02537815508265665,0.06796578090758151,False,5,0.049560558860175075,2984819.6861432497,0.0,0.0,0.0,COMPLETE
2,37.931969759404275,2025-10-16 08:25:28.139010,2025-10-16 08:25:28.493903,0 days 00:00:00.354893,0.0007068974950624604,0.000533703276260396,0.0005415244119402539,False,26,0.2594610570725904,2325527.0946044195,0.0,0.0,0.0,COMPLETE
3,25.08601058074366,2025-10-16 08:25:28.494858,2025-10-16 08:25:28.653310,0 days 00:00:00.158452,0.0014618962793704966,0.0280163515871626,0.0003613894271216529,False,15,0.1521043687038941,2662661.626303435,0.0,0.0,0.0,COMPLETE
4,11.163634949007252,2025-10-16 08:25:28.654243,2025-10-16 08:25:28.867744,0 days 00:00:00.213501,0.13826232179369857,0.0006290644294586153,0.011400863701127324,True,16,0.03120804414240219,3042349.944051097,0.8125,0.8125,0.8125,COMPLETE
5,12.323014419088114,2025-10-16 08:25:28.868676,2025-10-16 08:25:29.138602,0 days 00:00:00.269926,0.00048094619675015767,0.00018205657658407274,0.6245139574743068,True,20,0.041116754068442174,3011260.3853731607,0.8,0.8,0.8,COMPLETE
6,21.565007833488547,2025-10-16 08:25:29.139515,2025-10-16 08:25:29.268459,0 days 00:00:00.128944,0.00024586032763280086,0.054567254856014755,0.005762487216478602,False,12,0.12074871602453063,2761128.56634142,0.0,0.0,0.0,COMPLETE
7,12.231858595297059,2025-10-16 08:25:29.269396,2025-10-16 08:25:29.332881,0 days 00:00:00.063485,0.43379206974909373,0.0010842262717330165,0.04467752817973906,False,4,0.039315669204464165,3017011.775000101,0.0,0.0,0.0,COMPLETE
8,7.702411290712876,2025-10-16 08:25:29.333695,2025-10-16 08:25:29.520350,0 days 00:00:00.186655,0.0005488047000766049,0.755681014127442,0.12604664585649453,True,18,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
9,30.27767484793075,2025-10-16 08:25:29.521264,2025-10-16 08:25:29.852339,0 days 00:00:00.331075,0.48696409415208936,0.00022592797420156976,0.0006080390190296605,False,20,0.18725887959906362,2553139.519691664,0.0,0.0,0.0,COMPLETE
10,7.702411290712876,2025-10-16 08:25:29.853262,2025-10-16 08:25:30.245375,0 days 00:00:00.392113,0.00782184644489916,0.7553503645583184,0.5997863556602815,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
11,7.702411290712876,2025-10-16 08:25:30.246307,2025-10-16 08:25:30.625810,0 days 00:00:00.379503,0.01152597508263691,0.8839094438875608,0.7169219063367045,True,28,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
12,7.702411290712876,2025-10-16 08:25:30.626749,2025-10-16 08:25:31.126862,0 days 00:00:00.500113,0.005751707844202112,0.6697376781283138,0.1711941591483064,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
13,14.419925492891778,2025-10-16 08:25:31.127863,2025-10-16 08:25:31.381788,0 days 00:00:00.253925,0.026837193414400193,0.25041198927005687,0.20160609828133647,True,24,0.05178773394241565,2977728.5415696623,0.75,0.75,0.75,COMPLETE
14,11.182859773230964,2025-10-16 08:25:31.382738,2025-10-16 08:25:31.489201,0 days 00:00:00.106463,0.00012748888933395585,0.003265509226695849,0.18781323389598886,True,9,0.03160871080601191,3041068.130514237,0.6666666666666666,0.6666666666666666,0.6666666666666666,COMPLETE
15,10.997196851341496,2025-10-16 08:25:31.490143,2025-10-16 08:25:31.844035,0 days 00:00:00.353892,0.002507752044857025,0.31327657894882527,0.9057268923024396,True,21,0.023044647005272423,3068002.120370005,0.8571428571428571,0.8571428571428571,0.8571428571428571,COMPLETE
16,14.531369814494486,2025-10-16 08:25:31.844970,2025-10-16 08:25:32.100404,0 days 00:00:00.255434,0.03303111276278625,0.15574290892508183,0.0025862000456164697,True,24,0.05691067623509105,2961616.9866349706,0.75,0.75,0.75,COMPLETE
17,8.860229829229166,2025-10-16 08:25:32.101341,2025-10-16 08:25:32.216772,0 days 00:00:00.115431,0.003844180704394389,0.012001686164551854,0.2668178233993521,True,10,0.01048920685961019,3107382.3113128836,0.9,0.9,0.9,COMPLETE
18,12.330409977605488,2025-10-16 08:25:32.217707,2025-10-16 08:25:32.409035,0 days 00:00:00.191328,0.06923342300040311,0.004579588598371669,0.07373692003558777,True,18,0.04176173674239381,3009202.4855135577,0.7777777777777778,0.7777777777777778,0.7777777777777778,COMPLETE
19,7.702411290712876,2025-10-16 08:25:32.409948,2025-10-16 08:25:32.811260,0 days 00:00:00.401312,0.011424502475070332,0.7534933229670142,0.00011065136021091021,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
20,15.72945212488288,2025-10-16 08:25:32.812201,2025-10-16 08:25:33.060389,0 days 00:00:00.248188,0.0013978658013325288,0.11072448678802875,0.020860444459961155,True,23,0.06872170958939738,2924512.4202394243,0.6956521739130435,0.6956521739130435,0.6956521739130435,COMPLETE
21,7.702411290712876,2025-10-16 08:25:33.061330,2025-10-16 08:25:33.430996,0 days 00:00:00.369666,0.008686865419501416,0.9552243923232476,0.6178449911287014,True,27,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
22,14.25441962188506,2025-10-16 08:25:33.431937,2025-10-16 08:25:33.809979,0 days 00:00:00.378042,0.015216177542255406,0.3682823087479855,0.3641424562421856,True,28,0.044148811058315696,3001726.337763154,0.7857142857142857,0.7857142857142857,0.7857142857142857,COMPLETE
23,11.93470491873419,2025-10-16 08:25:33.810920,2025-10-16 08:25:34.273609,0 days 00:00:00.462689,0.056105382606156606,0.4471215250907212,0.9918005895525797,True,28,0.023355623899610656,3067052.720872024,0.8571428571428571,0.8571428571428571,0.8571428571428571,COMPLETE
24,14.519596175255312,2025-10-16 08:25:34.274564,2025-10-16 08:25:34.548043,0 days 00:00:00.273479,0.0006336522743157443,0.17180167160471832,0.09045267503127573,True,26,0.05618475379575416,2963891.6239187405,0.7692307692307693,0.7692307692307693,0.7692307692307693,COMPLETE
25,7.702411290712876,2025-10-16 08:25:34.548975,2025-10-16 08:25:34.847609,0 days 00:00:00.298634,0.0020597175059583485,0.8405753359041572,0.37670819502931896,True,22,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
26,12.056497791050809,2025-10-16 08:25:34.848556,2025-10-16 08:25:35.040484,0 days 00:00:00.191928,0.020217288216278686,0.39191606617531327,0.1119876399575546,True,18,0.028914157490036008,3049533.0727682123,0.7777777777777778,0.7777777777777778,0.7777777777777778,COMPLETE
27,20.37693747678954,2025-10-16 08:25:35.041423,2025-10-16 08:25:35.446575,0 days 00:00:00.405152,0.00010800482900554439,0.04251650563590359,0.40277102115563174,True,30,0.10953879350578843,2796443.5297111906,0.6333333333333333,0.6333333333333333,0.6333333333333333,COMPLETE
28,14.491912943733603,2025-10-16 08:25:35.447502,2025-10-16 08:25:35.711268,0 days 00:00:00.263766,0.005913877930777845,0.20015668643827006,0.045718387513843536,True,25,0.054955149212017496,2967749.5842142063,0.76,0.76,0.76,COMPLETE
29,12.259785814371917,2025-10-16 08:25:35.712184,2025-10-16 08:25:35.853602,0 days 00:00:00.141418,0.15059863513309535,0.10337667684888936,0.01557318063896172,True,12,0.03887310473092831,3018297.705441056,0.6666666666666666,0.6666666666666666,0.6666666666666666,COMPLETE
30,11.153448552569126,2025-10-16 08:25:35.854561,2025-10-16 08:25:35.953573,0 days 00:00:00.099012,0.0003022852418669405,0.08813985910837592,0.005246845012264985,True,8,0.03025470078562542,3045305.940863558,0.625,0.625,0.625,COMPLETE
31,7.702411290712876,2025-10-16 08:25:35.954398,2025-10-16 08:25:36.451336,0 days 00:00:00.496938,0.004756662549199691,0.6665849665132884,0.17813256299118949,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
32,13.937715267904306,2025-10-16 08:25:36.452272,2025-10-16 08:25:36.831464,0 days 00:00:00.379192,0.008846733308279646,0.5223376281200467,0.03627187721863262,True,28,0.029398563589890014,3048006.520997727,0.7857142857142857,0.7857142857142857,0.7857142857142857,COMPLETE
33,7.702411290712876,2025-10-16 08:25:36.832295,2025-10-16 08:25:37.139871,0 days 00:00:00.307576,0.0009945556840825593,0.9202694747785678,0.14456187515898158,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
34,33.194953037603625,2025-10-16 08:25:37.140816,2025-10-16 08:25:37.497287,0 days 00:00:00.356471,0.0038364150186191086,0.2888805332344143,0.5624646678532733,False,26,0.17959820619052314,2576606.7037939546,0.11538461538461539,0.11538461538461539,0.11538461538461539,COMPLETE
