colony,timepoint,site,species,lipid-sample-id,metabolite-sample-id,its2-sample-id,phys-sample-id,rna-sample-id,dna-sample-id
ACR-139,TP1,Manava,Acropora pulchra,ACR-139_TP1,ACR-139_TP1,ACR-139_TP1,ACR-139_TP1,2C2,1A10
ACR-139,TP2,Manava,Acropora pulchra,NA,NA,NA,NA,2B3,1A5
ACR-139,TP3,Manava,Acropora pulchra,ACR-139_TP3,ACR-139_TP3,ACR-139_TP3,ACR-139_TP3,1.00E+05,1D9
ACR-139,TP4,Manava,Acropora pulchra,ACR-139_TP4,ACR-139_TP4,ACR-139_TP4,ACR-139_TP4,1C4,1D8
ACR-145,TP1,Manava,Acropora pulchra,ACR-145_TP1,ACR-145_TP1,ACR-145_TP1,ACR-145_TP1,2B2,1A3
ACR-145,TP2,Manava,Acropora pulchra,NA,NA,NA,NA,2G1,1C8
ACR-145,TP3,Manava,Acropora pulchra,ACR-145_TP3,ACR-145_TP3,ACR-145_TP3,ACR-145_TP3,1F8,2C2
ACR-145,TP4,Manava,Acropora pulchra,ACR-145_TP4,ACR-145_TP4,ACR-145_TP4,ACR-145_TP4,1A10,1F5
ACR-150,TP1,Manava,Acropora pulchra,ACR-150_TP1,ACR-150_TP1,ACR-150_TP1,ACR-150_TP1,2D2,1B10
ACR-150,TP2,Manava,Acropora pulchra,NA,NA,NA,NA,1.00E+03,1H6
ACR-150,TP3,Manava,Acropora pulchra,ACR-150_TP3,ACR-150_TP3,ACR-150_TP3,ACR-150_TP3,1F4,1B1
ACR-150,TP4,Manava,Acropora pulchra,ACR-150_TP4,ACR-150_TP4,ACR-150_TP4,ACR-150_TP4,1B10,2D1
ACR-173,TP1,Manava,Acropora pulchra,ACR-173_TP1,ACR-173_TP1,ACR-173_TP1,ACR-173_TP1,1A1,1H9
ACR-173,TP2,Manava,Acropora pulchra,NA,NA,NA,NA,1F11,2D2
ACR-173,TP3,Manava,Acropora pulchra,ACR-173_TP3,ACR-173_TP3,ACR-173_TP3,ACR-173_TP3,1B2,1H2
ACR-173,TP4,Manava,Acropora pulchra,ACR-173_TP4,ACR-173_TP4,ACR-173_TP4,ACR-173_TP4,1C10,1G5
ACR-186,TP1,Manava,Acropora pulchra,ACR-186_TP1,ACR-186_TP1,ACR-186_TP1,ACR-186_TP1,2.00E+02,1A8
ACR-186,TP2,Manava,Acropora pulchra,NA,NA,NA,NA,1A8,1A12
ACR-186,TP3,Manava,Acropora pulchra,ACR-186_TP3,ACR-186_TP3,ACR-186_TP3,ACR-186_TP3,1H12,2.00E+02
ACR-186,TP4,Manava,Acropora pulchra,ACR-186_TP4,ACR-186_TP4,ACR-186_TP4,ACR-186_TP4,1H8,1D7
ACR-225,TP1,Mahana,Acropora pulchra,ACR-225_TP1,ACR-225_TP1,ACR-225_TP1,ACR-225_TP1,1H11,1G4
ACR-225,TP2,Mahana,Acropora pulchra,NA,NA,NA,NA,1H6,2A3
ACR-225,TP3,Mahana,Acropora pulchra,ACR-225_TP3,ACR-225_TP3,ACR-225_TP3,ACR-225_TP3,1B1,1H5
ACR-225,TP4,Mahana,Acropora pulchra,ACR-225_TP4,ACR-225_TP4,ACR-225_TP4,ACR-225_TP4,1D3,1C6
ACR-229,TP1,Mahana,Acropora pulchra,ACR-229_TP1,ACR-229_TP1,ACR-229_TP1,ACR-229_TP1,1B5,1B2
ACR-229,TP2,Mahana,Acropora pulchra,NA,NA,NA,NA,1D6,1.00E+03
ACR-229,TP3,Mahana,Acropora pulchra,ACR-229_TP3,ACR-229_TP3,ACR-229_TP3,ACR-229_TP3,1H7,1H3
ACR-229,TP4,Mahana,Acropora pulchra,ACR-229_TP4,ACR-229_TP4,ACR-229_TP4,ACR-229_TP4,1D9,1F7
ACR-237,TP1,Mahana,Acropora pulchra,ACR-237_TP1,ACR-237_TP1,ACR-237_TP1,ACR-237_TP1,1.00E+09,1A1
ACR-237,TP2,Mahana,Acropora pulchra,NA,NA,NA,NA,1D8,1.00E+07
ACR-237,TP3,Mahana,Acropora pulchra,ACR-237_TP3,ACR-237_TP3,ACR-237_TP3,ACR-237_TP3,1A12,1C9
ACR-237,TP4,Mahana,Acropora pulchra,ACR-237_TP4,ACR-237_TP4,ACR-237_TP4,ACR-237_TP4,1D4,1D3
ACR-244,TP1,Mahana,Acropora pulchra,ACR-244_TP1,ACR-244_TP1,ACR-244_TP1,ACR-244_TP1,2C1,1F1
ACR-244,TP2,Mahana,Acropora pulchra,NA,NA,NA,NA,1A9,1B5
ACR-244,TP3,Mahana,Acropora pulchra,ACR-244_TP3,ACR-244_TP3,ACR-244_TP3,ACR-244_TP3,1G5,2H3
ACR-244,TP4,Mahana,Acropora pulchra,ACR-244_TP4,ACR-244_TP4,ACR-244_TP4,ACR-244_TP4,1A2,1B4
ACR-265,TP1,Mahana,Acropora pulchra,ACR-265_TP1,ACR-265_TP1,ACR-265_TP1,ACR-265_TP1,2F1,2G2
ACR-265,TP2,Mahana,Acropora pulchra,NA,NA,NA,NA,1D10,1F9
ACR-265,TP3,Mahana,Acropora pulchra,ACR-265_TP3,ACR-265_TP3,ACR-265_TP3,ACR-265_TP3,1.00E+01,1A6
ACR-265,TP4,Mahana,Acropora pulchra,NA,NA,NA,NA,1B9,1H11
POC-201,TP1,Mahana,Pocillopora tuahiniensis,POC-201_TP1,POC-201_TP1,NA,POC-201_TP1,1B8,1H4
POC-201,TP2,Mahana,Pocillopora tuahiniensis,NA,NA,NA,NA,1H10,1C4
POC-201,TP3,Mahana,Pocillopora tuahiniensis,POC-201_TP3,POC-201_TP3,POC-201_TP3,POC-201_TP3,1H5,1A11
POC-219,TP1,Mahana,Pocillopora tuahiniensis,POC-219_TP1,POC-219_TP1,POC-219_TP1,POC-219_TP1,1.00E+11,1H7
POC-219,TP2,Mahana,Pocillopora tuahiniensis,NA,NA,NA,NA,2A1,1H10
POC-219,TP3,Mahana,Pocillopora tuahiniensis,POC-219_TP3,POC-219_TP3,POC-219_TP3,POC-219_TP3,1G2,1A2
