Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
ACR-139-TP1_hisat2	17713047	17713047	6807253	10325443	580351	900304	8870557	2662270	281071	74.96	140535.5	4435278.5	1331135.0
ACR-139-TP2_hisat2	19284414	19284414	7652798	11094560	537056	939556	10542277	2628429	255778	72.67	127889.0	5271138.5	1314214.5
ACR-139-TP3_hisat2	17958626	17958626	6740082	10663174	555370	1356989	7835970	2682391	247825	78.18	123912.5	3917985.0	1341195.5
ACR-139-TP4_hisat2	20242106	20242106	8006631	11593482	641993	1409406	9968050	2926880	299520	75.38	149760.0	4984025.0	1463440.0
ACR-145-TP1_hisat2	21582899	21582899	8860041	11675044	1047814	1860447	10727058	2914896	357234	75.15	178617.0	5363529.0	1457448.0
ACR-145-TP2_hisat2	17694377	17694377	8955830	8297676	440871	964148	13920459	1882274	180631	60.66	90315.5	6960229.5	941137.0
ACR-145-TP3_hisat2	23046062	23046062	10599063	11869976	577023	2736746	12056453	3386278	281903	73.84	140951.5	6028226.5	1693139.0
ACR-145-TP4_hisat2	21377062	21377062	9697916	11073281	605865	1791708	12537085	3007979	267352	70.68	133676.0	6268542.5	1503989.5
ACR-150-TP1_hisat2	22947725	22947725	11674797	10533165	739763	2451310	15275386	2808168	363420	66.72	181710.0	7637693.0	1404084.0
ACR-150-TP2_hisat2	18307316	18307316	6702239	11000976	604101	1241535	8214077	2466451	240880	77.57	120440.0	4107038.5	1233225.5
ACR-150-TP3_hisat2	17622723	17622723	6363513	10692727	566483	1075378	7868874	2459634	247762	77.67	123881.0	3934437.0	1229817.0
ACR-150-TP4_hisat2	21103128	21103128	7303269	13256085	543774	1360611	8715587	2937812	231917	79.35	115958.5	4357793.5	1468906.0
ACR-173-TP1_hisat2	18303978	18303978	8328576	9088413	886989	1637385	10310134	2638202	434046	71.84	217023.0	5155067.0	1319101.0
ACR-173-TP2_hisat2	16030712	16030712	6708088	8814962	507662	915057	9184756	2184933	216373	71.35	108186.5	4592378.0	1092466.5
ACR-173-TP3_hisat2	20759062	20759062	8499373	11696176	563513	1936777	9803541	3050196	271455	76.39	135727.5	4901770.5	1525098.0
ACR-173-TP4_hisat2	17223480	17223480	8008735	8689686	525059	1885352	9675945	2309106	261715	71.91	130857.5	4837972.5	1154553.0
ACR-186-TP1_hisat2	16543141	16543141	9728948	6507103	307090	1747473	14001269	1767638	194043	57.68	97021.5	7000634.5	883819.0
ACR-186-TP2_hisat2	17180829	17180829	6532261	10087913	560655	925620	8598159	2345910	269213	74.98	134606.5	4299079.5	1172955.0
ACR-186-TP3_hisat2	16243967	16243967	7012945	8840517	390505	1567756	8280811	2399409	210158	74.51	105079.0	4140405.5	1199704.5
ACR-186-TP4_hisat2	18374900	18374900	6451571	11341420	581909	1200313	7706156	2576822	219538	79.03	109769.0	3853078.0	1288411.0
ACR-225-TP1_hisat2	16543745	16543745	6552085	9444867	546793	1322456	7919124	2337399	202735	76.07	101367.5	3959562.0	1168699.5
ACR-225-TP2_hisat2	19427751	19427751	7769345	10985361	673045	1144624	9815114	3033405	400923	74.74	200461.5	4907557.0	1516702.5
ACR-225-TP3_hisat2	20411736	20411736	8095105	11692737	623894	1600477	9748284	2970316	270656	76.12	135328.0	4874142.0	1485158.0
ACR-225-TP4_hisat2	15934242	15934242	6848821	8623415	462006	1441142	8416142	2211135	188081	73.59	94040.5	4208071.0	1105567.5
ACR-229-TP1_hisat2	21553539	21553539	7577055	13284236	692248	1574175	8570414	3155702	279644	80.12	139822.0	4285207.0	1577851.0
ACR-229-TP2_hisat2	18837243	18837243	7099474	11220141	517628	1269661	8490483	2877791	291352	77.46	145676.0	4245241.5	1438895.5
ACR-229-TP3_hisat2	17085595	17085595	6190291	10376176	519128	1034913	7453791	2603852	253113	78.19	126556.5	3726895.5	1301926.0
