Sample	PE mapped uniquely	PE mapped discordantly uniquely	PE one mate mapped uniquely	PE multimapped	PE one mate multimapped	PE neither mate aligned
ACR-139-TP1_hisat2	10325443	900304	1331135	580351	140535.5	4435278.5
ACR-139-TP2_hisat2	11094560	939556	1314214.5	537056	127889	5271138.5
ACR-139-TP3_hisat2	10663174	1356989	1341195.5	555370	123912.5	3917985
ACR-139-TP4_hisat2	11593482	1409406	1463440	641993	149760	4984025
ACR-145-TP1_hisat2	11675044	1860447	1457448	1047814	178617	5363529
ACR-145-TP2_hisat2	8297676	964148	941137	440871	90315.5	6960229.5
ACR-145-TP3_hisat2	11869976	2736746	1693139	577023	140951.5	6028226.5
ACR-145-TP4_hisat2	11073281	1791708	1503989.5	605865	133676	6268542.5
ACR-150-TP1_hisat2	10533165	2451310	1404084	739763	181710	7637693
ACR-150-TP2_hisat2	11000976	1241535	1233225.5	604101	120440	4107038.5
ACR-150-TP3_hisat2	10692727	1075378	1229817	566483	123881	3934437
ACR-150-TP4_hisat2	13256085	1360611	1468906	543774	115958.5	4357793.5
ACR-173-TP1_hisat2	9088413	1637385	1319101	886989	217023	5155067
ACR-173-TP2_hisat2	8814962	915057	1092466.5	507662	108186.5	4592378
ACR-173-TP3_hisat2	11696176	1936777	1525098	563513	135727.5	4901770.5
ACR-173-TP4_hisat2	8689686	1885352	1154553	525059	130857.5	4837972.5
ACR-186-TP1_hisat2	6507103	1747473	883819	307090	97021.5	7000634.5
ACR-186-TP2_hisat2	10087913	925620	1172955	560655	134606.5	4299079.5
ACR-186-TP3_hisat2	8840517	1567756	1199704.5	390505	105079	4140405.5
ACR-186-TP4_hisat2	11341420	1200313	1288411	581909	109769	3853078
ACR-225-TP1_hisat2	9444867	1322456	1168699.5	546793	101367.5	3959562
ACR-225-TP2_hisat2	10985361	1144624	1516702.5	673045	200461.5	4907557
ACR-225-TP3_hisat2	11692737	1600477	1485158	623894	135328	4874142
ACR-225-TP4_hisat2	8623415	1441142	1105567.5	462006	94040.5	4208071
ACR-229-TP1_hisat2	13284236	1574175	1577851	692248	139822	4285207
ACR-229-TP2_hisat2	11220141	1269661	1438895.5	517628	145676	4245241.5
ACR-229-TP3_hisat2	10376176	1034913	1301926	519128	126556.5	3726895.5
ACR-229-TP4_hisat2	10423544	2771045	1540312	644348	153409	6991880
ACR-237-TP1_hisat2	12425312	2330086	1549972.5	559707	134201.5	5109098
ACR-237-TP2_hisat2	8963658	1020834	1089527.5	409931	95569.5	5064109
ACR-237-TP3_hisat2	11226945	1073940	1206037.5	505707	106792.5	3543312
ACR-237-TP4_hisat2	13372194	2288538	1555234.5	702524	129269	5695339.5
ACR-244-TP1_hisat2	7208416	995119	850915.5	290472	65498.5	10039286
ACR-244-TP2_hisat2	12137162	1348595	1476364	562268	138777.5	6026778.5
ACR-244-TP3_hisat2	13149617	1256482	1678561	768853	199571.5	5227449.5
ACR-244-TP4_hisat2	11046637	2426797	1489742	588321	151098.5	6251213.5
ACR-265-TP1_hisat2	14605598	3305360	2018420	1042535	208376.5	8119945.5
ACR-265-TP2_hisat2	12411144	1465973	1672344	630527	179593	4958558
ACR-265-TP3_hisat2	11338114	1849163	1590775.5	784192	201985.5	5422972
ACR-265-TP4_hisat2	12588914	2368056	1598913	660100	152771.5	6496159.5
