Sample	Total Reads	Total Passed QC	Mapped	Secondary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
ACR-139-TP1-hisat2_output	100.0	100.0	78.10528357418602	12.559686815131165	0.0	87.44031318486883	53.83636383337455	60.12607652238757	5.41952023666727	0.45998231600503725	0.25554244011930416
ACR-139-TP2-hisat2_output	100.0	100.0	75.42841239037415	10.105062103510372	0.0	89.89493789648962	54.22116523508649	60.24620633932168	5.077143947542088	0.344519941083813	0.19473089178068662
ACR-139-TP3-hisat2_output	100.0	100.0	80.74340426509671	11.73473077708992	0.0	88.26526922291008	55.13828320992166	63.98726346778065	5.021410020226138	0.30735472807633957	0.1597202622259024
ACR-139-TP4-hisat2_output	100.0	100.0	78.52602912056625	12.785671263203662	0.0	87.21432873679633	52.71727847393217	60.78441514561392	4.955942711748652	0.4089254319886152	0.2130324418843651
ACR-145-TP1-hisat2_output	100.0	100.0	80.80625324486543	22.76415441258041	0.0	77.23584558741959	45.52959710920511	54.24369352753213	3.798405304752895	0.3546502831290473	0.16348145593846697
ACR-145-TP2-hisat2_output	100.0	100.0	64.50743062923038	9.77037421753831	0.0	90.22962578246168	44.5608130589991	51.005515699972236	3.7315407117198363	0.2717131764623693	0.1406525165110221
ACR-145-TP3-hisat2_output	100.0	100.0	76.72443478612566	11.016926951236568	0.0	88.98307304876343	48.05906628450819	61.336088097098084	4.371419737790995	0.3327029771275391	0.1490595671652726
ACR-145-TP4-hisat2_output	100.0	100.0	74.28989149452133	12.323066558399345	0.0	87.67693344160065	47.90142380167754	57.34614664337809	4.6206782927438885	0.3841581361308717	0.191301843445552
ACR-150-TP1-hisat2_output	100.0	100.0	71.80636580853997	15.291205842363343	0.0	84.70879415763666	41.61267129991573	53.13514702936305	3.3800129368135625	0.37020859218372976	0.13855229134533964
ACR-150-TP2-hisat2_output	100.0	100.0	80.61948090094172	13.610430632560389	0.0	86.3895693674396	54.76267545204212	62.4748511572862	4.5341991110951305	0.35338089325707	0.18847578695341827
ACR-150-TP3-hisat2_output	100.0	100.0	80.5698361494147	12.970421083504919	0.0	87.02957891649508	55.60345613060993	62.59726163888908	5.002153427020701	0.4288532256637931	0.230449532150016
ACR-150-TP4-hisat2_output	100.0	100.0	81.29550356377673	9.421274213850813	0.0	90.57872578614918	59.23167618793399	66.79402465603803	5.080204693887891	0.3642441929776568	0.20063003832521756
ACR-173-TP1-hisat2_output	100.0	100.0	78.0589767465418	22.094512655453908	0.0	77.9054873445461	42.45735840961783	51.77013129222754	4.1943327988603585	0.5349624384566021	0.23822619241048373
ACR-173-TP2-hisat2_output	100.0	100.0	75.16429183037894	13.305462881487017	0.0	86.69453711851298	50.417010324303746	57.081593458103384	4.7772354907885335	0.3876744771748506	0.21148633750993523
ACR-173-TP3-hisat2_output	100.0	100.0	78.92809889452028	10.760223983044021	0.0	89.23977601695599	52.702376456004565	63.37401865126813	4.79385626020812	0.3198934851933947	0.15617666456682922
ACR-173-TP4-hisat2_output	100.0	100.0	75.68376664315028	13.432711968281358	0.0	86.56728803171863	46.31441988226765	58.44155429664079	3.809500378228142	0.3553668325445633	0.13814292532936356
ACR-186-TP1-hisat2_output	100.0	100.0	61.20608493905959	8.326422869932607	0.0	91.6735771300674	37.7607521790853	49.944190313455515	2.9354717556714682	0.2964805609535012	0.10717233091923131
