"Predictor_Type","N_stable","N_unique_predictors","N_genes_affected","Mean_Selection_Prob"
"Other",909,790,168,0.746424642464246
"lncRNA",6635,3693,195,0.793685003767898
"miRNA",11,8,11,0.709090909090909
