,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Component_46,Component_47,Component_48,Component_49,Component_50,Component_51,Component_52,Component_53,Component_54,Component_55,Component_56,Component_57,Component_58,Component_59,Component_60,Component_61,Component_62,Component_63,Component_64,Component_65,Species,Sample_ID
apul_ACR.139,-0.2030922998108225,-0.09340098212897197,0.006697992628594145,0.20529405562389302,0.032139666637278734,-0.12830235386534602,-0.2269495499854844,0.011895247981512544,-0.14195664168638414,0.22190804792300678,0.052041776787502214,-0.015407352938489013,-0.16819661893413107,-0.1764137063203937,-0.19771925517377517,-0.041599435337840954,-0.08092749079599794,0.08970454398507144,0.31525141546089536,-0.30051626595218206,-0.022340924644913444,-0.060971505780921156,0.28007991257019427,0.7614479059311569,0.14685821313727979,0.23504275084320325,0.028112066656715614,0.12227645470346347,0.08945541154506892,0.1822839247552482,-0.03541286110074672,0.013909191306198996,0.2924838872927151,0.013903584735304198,0.021304295196127684,0.2741484404278211,0.2473163492038808,-0.059128043226090825,0.02798614862352111,-0.06825088021270823,0.013825912680720049,-0.22497151792570325,-0.21472185977141928,-0.09515684505270891,-0.03018183610606372,0.05435177574189518,-0.013736292305982311,-0.05754379044784254,0.13450638179738836,-0.14996520489367945,0.020986984857145872,-0.06501167689522419,0.06147158719625927,-0.14009669503838992,0.09460526217756166,0.21288191410074564,0.19024178326863508,-0.024266285060067373,0.1684637940259227,0.07987168716412069,-0.005925434098316483,0.1039416560365681,0.07030013529348389,0.029725613591097544,0.283145948837694,apul,ACR.139
apul_ACR.145,0.1506038682763318,0.027264635781847412,-0.037853791146726753,0.17975955517090414,-0.009646099547247107,0.030720251799273703,-0.05749513068443615,0.021710691995019873,0.1856618549288271,-0.06132689084843931,-0.04339925985192364,-0.06723497792442108,-0.007178065642540839,-0.10963971486954295,0.10914046906153678,0.10950159296620113,-0.059956473022917164,0.14484572532441659,-0.13482327845481976,0.04881721972357336,-0.03573320934735455,-0.026322925098390227,0.34387995013809103,0.021232527016545037,0.06463098204283725,0.13383096345071177,-0.004903550910636767,-0.09205362071914715,-0.07925844325241661,0.05307340354010792,-0.02707179728921645,0.24852026423017945,0.7022904971517706,0.021313817126541564,-0.05011375012814271,0.12587869652710848,0.17423053552447298,0.11132801820657515,-0.060258016289251565,0.05377397591841811,-0.03969772212547571,-0.045317532718377386,-0.06878762570047908,-0.0925836302069342,0.08624865582157977,0.2558124009520662,-0.1662693623757008,0.041424316081211006,-0.03461646493386059,-0.06494680386419104,-0.09829293309619179,-0.07235961955046886,0.13589639343444435,0.10450026355327367,-0.01775891936039869,0.12235206036622759,-0.24250624633270448,0.013847245361895537,-0.060747556275812395,-0.08846007659219765,0.05149050573522991,-0.18024363249334346,0.1984598188323748,-0.005436900281167394,0.1406959342076477,apul,ACR.145
apul_ACR.150,0.23300841030899053,-0.013426220614361547,-0.06816381174097845,0.16558550794567323,-0.09224828156122145,0.042345557886282165,-0.23814116896915394,0.023170275244155495,-0.17023577745018004,0.306152811720692,-0.04839442417849162,-0.049433334217135826,0.05883138414836468,0.4415825376265194,0.1638867497886692,0.03672338087468842,-0.10417904064165498,0.19590409141675555,-0.06918194033332804,-0.17337594966567893,-0.06599456287939835,0.016815448608559654,0.1977593912634889,-0.014431993050922475,0.19865674333283034,-0.08783148398785304,-0.059026577893721066,-0.16071348309260797,-0.11385581665412375,-0.14285551184675155,-0.038055372954320425,0.052973826325531395,0.13112131349033682,-0.016172945416098605,0.0036036436483986743,0.07548420960451595,0.05943760640718796,0.0070609772793711785,0.03882611617382851,-0.010877182758831138,0.030511625313134547,-0.10534158547288228,0.12496117712549885,-0.09473185392375903,0.1335393723952708,0.0772220046109043,-0.14681072779813673,-0.020346112113016193,-0.005171091243109327,0.2883118005181465,-0.058286384490895495,-0.007746428700270166,-0.06027441138499782,0.1334904470508967,0.10834074378440471,0.2484715287347521,-0.3094587179806568,0.027931472943244787,-0.062027568683934255,-0.06259072745046435,-0.08865043545621304,-0.1294501646232384,0.06993504874098597,-0.06947101815325195,0.4726650771749921,apul,ACR.150
apul_ACR.173,-0.042265247726065006,0.1389915593461339,0.009438396701439054,0.1318285519327955,0.029031048450570102,0.028502732842335773,-0.11406346287268351,0.06858368584934228,-0.026500917921317504,0.028671293017057974,0.052202125604814506,0.03304727431667234,-0.08336197964443703,0.03280903678936071,0.19055119814128466,0.09564642363001356,0.018610164427256482,-0.13774963107453114,-0.40520351230038615,0.11076225221772733,0.07746177870126761,-0.07446470310734866,0.37215141824662756,-0.010177260527542975,0.07444953637575846,-0.4511802643818781,0.02038392266707597,0.4971409515346885,0.008627433225739584,0.050209206874817294,-0.15946301107339722,0.21102729538468845,-0.07691083673558777,-0.009825659842548781,0.009381803208667125,-0.05499976350178178,0.17260284959604574,0.009433417955394386,-0.07005163005307534,-0.001087054176656435,-0.0170797023221484,-0.01452555565517701,0.05515194762288072,-0.056737346376477045,-0.3010948661110216,0.043582994051603235,-0.07250114511396741,-0.08147263729584873,0.2545028639077161,0.007557809524506305,0.02352740334960713,0.022889631533513026,0.13579701644838837,-0.0247607838120803,0.13649894371519036,0.16021331556881016,-0.48757712041562995,-0.010975894945454642,-0.14604125439997734,0.08562400348684385,-0.011650290594713925,0.08216654788420036,-0.11664111121426536,0.13011756718595008,0.23812514906714835,apul,ACR.173
apul_ACR.186,0.09757894767729795,-0.16686849655415775,0.0035479747061647918,0.29140029845469173,-0.11956110516765005,-0.20687286006800734,-0.22740814350599933,-0.004826098448788781,-0.23203157588725326,0.20980842276829412,-0.006637577048645729,0.08151516093218776,-0.055968313935530804,-0.08792276124983726,0.5341150693042753,-0.2523106093592392,0.01641663617024818,0.27999759102649663,0.2897105069913963,-0.10921955363841185,0.015998571734117544,0.3191640638489411,0.3357064065547102,-0.19778840452342172,0.2219963466524045,0.4842702058136632,0.03632123760102153,0.3817352051941218,0.07965300980181508,-0.008463161725704849,-0.37475721837196774,-0.032623356771148124,0.3491510065465893,-0.025316099189058396,0.19184956219493418,0.29758870845499885,0.25421708399812,-0.10641061232563896,0.10769450072006098,-6.696305824680037e-05,-0.015391493985088921,-0.15549534667445797,-0.2710682369684824,-0.1766371501053803,0.09815290891160336,0.10381783495929599,-0.15262273780916372,-0.022347474519390013,-0.08196777041632751,0.15357195145060845,-0.04518319084194951,-0.09090567471377439,-0.22101857464173078,-0.06069882922321331,0.11457010610075816,0.28747665069194595,0.15771262464521377,0.037420769641422956,0.10636634025234486,-0.25563075249000045,0.06063763509522572,0.5374265158245338,0.18140085243061235,-0.06256936319470499,0.43624805077326817,apul,ACR.186
apul_ACR.225,0.04461072491527349,-0.12742068124856895,-0.038599585073577844,0.2627191809319174,0.018375779480877576,0.08899758384707661,-0.0778464329540845,0.033538690088958274,0.0416048663516141,-0.05584526328912876,0.030936506418510385,-0.16110653437396144,0.042488572123472235,0.29610122674773887,0.00980492101101732,-0.042432431116186144,0.8114961952369424,0.1526099692506227,-0.03312156787486137,0.3622817757064206,-0.06518967663279493,0.05671471398868902,0.39448534917980055,-0.002227723887394121,-0.13878185965141637,0.07702261428225651,-0.10833037728492409,0.022424603982957068,0.10243144491126605,-0.09583250467166692,-0.058737389830643826,0.0011362037770470275,-0.09269959138290815,0.03550991798124554,0.24059354852031237,0.014662931398253785,0.34493617778736957,-0.024722200127556094,0.0559785213071406,0.34737022620780156,0.035773378708405704,-0.1354065488451476,0.2426972744373726,-0.2767015080023937,0.13070833892543868,-0.008902972329139714,-0.06638905203093443,-0.017393649334919378,-0.2610448932509653,-0.23302681935004824,0.0720573628582356,-0.2606788476999642,0.0575458294191509,-0.051212541510271416,0.06732984748977165,0.2391397912463729,0.028028911825238645,-0.030806879524637534,-0.35199049838533514,0.11076801591303347,-0.10801706588352658,0.052248912347620094,0.4460981764767356,0.08328060382531086,-0.07568291299059446,apul,ACR.225
apul_ACR.229,0.09200857654695431,-0.13773145663702707,-0.02727234877495207,0.27971167384973306,0.010298074077777851,-0.1702486192170384,-0.1875687012580444,-0.020288250301224206,0.34429319959862453,0.036107915805213144,0.0785530012082707,-0.127865492887575,0.15637340811065928,0.30462826521461683,-0.0039136549577044105,0.0728544937592788,-0.1649744143479707,0.28714660292106103,0.0877938076044209,0.05700017629747343,-0.10761136915657284,0.07296016413068314,0.2603426438824325,0.07829871186560684,-0.11798632298205057,0.20603960916251315,-0.11990367831617803,-0.3390529243571772,-0.07804623565341463,-0.09616210112193402,0.15522014017134414,-0.11113433972517893,-0.1216401179055066,-0.0042715675845146975,-0.14243627518990504,-0.0882060942145091,0.2321007290010768,0.0413881758926049,0.08633411117564117,0.2494518208926765,0.07008484070559576,-0.05497792158727908,0.050308069742967684,-0.08124099488620792,0.23014118818636126,0.1414871029375908,-0.027468417483723303,-0.22135614843605014,-0.15796253959186243,-0.078254262561497,0.03917953049814909,-0.15876592045109755,0.0774056282796728,0.05302597060145915,-0.002978183377924825,0.19754479078581683,0.014248289878632102,0.009838222090807008,0.07738075856151876,0.06670373387992803,-0.09378626453740213,0.556948320676994,0.3728481255757229,-0.002391840342695493,-0.02503392523066872,apul,ACR.229
apul_ACR.237,0.15396523545461932,-0.04732712199648134,-0.03885783241732934,0.1697046779892708,0.10549682079813902,0.01597230398512269,-0.004453950078747031,-0.03223823820149827,0.04582598658621334,-0.1027472772650609,0.02501215632220159,-0.1089388552243629,0.10663617340308337,0.3398860909763476,0.054919164092778784,0.052438797693317,-0.033651080834474455,0.15839445839581398,-0.01987160526717895,0.0013211177322330428,-0.005955458958347671,-0.0019276952912228905,0.20131561529063058,0.02964474640707715,0.10092221777380785,-0.031072537561836467,0.0002751401454540409,-0.01500339690778481,0.02385410292324912,-0.11348980236806817,-0.02798882947677187,0.15858550676909383,-0.18157396279476334,0.03679035376727665,0.01739310907137898,0.11620855826658541,0.1688942312297666,0.060950963421317894,-0.07986505310163326,0.16397130858533185,-0.013910513129103632,-0.09062632958226614,0.28682254027703025,-0.16098847017334625,0.007317268233253225,0.2839610249482588,0.12806598903840333,-0.021465403158078242,-0.07406412336399179,0.04656098473666852,0.11750675368187877,-0.050755778922142655,-0.014866298675823644,0.01574748785975424,0.08597164340518279,0.043941019525220344,-0.23036147030571416,-0.026225286415797584,-0.06336208988421553,-0.0686547747401364,-0.08121812936425775,-0.13809867982455976,0.2257099266282416,-0.03044352108803083,-0.3914588555645688,apul,ACR.237
apul_ACR.244,0.0682175663969116,0.0029394313435288756,-0.03881163613299594,0.243007680520373,0.1461791762701286,0.1809943801670844,-0.09506891302716118,0.056340715948612625,0.08507130322282346,-0.05646442206000902,0.009206937345214163,-0.13386674122330802,0.09970289304894396,0.3062175310699636,0.09813622060461752,0.0457092684074148,-0.07179669943693891,0.12286406768684713,0.05109347846021636,0.2674617605451991,-0.06171541309395837,0.0027559359867180802,0.22169282174483146,0.08194316328852616,-0.1801287888229707,0.14114604693865246,0.05230617095787985,0.20918572187139206,0.04798964878120268,-0.08237286982950306,0.06974355807373321,-0.12172671610931003,-0.12522363650159107,0.022563698671758312,-0.17143885376196605,-0.2491273091152532,0.2094932177741002,0.06894832680891654,0.06685816735826348,0.29023735215214774,-0.15826763233031627,-0.15846135855887317,0.2688145557952959,-0.2596620500748877,0.2207143003935996,0.2076529467711382,0.0288205028600232,-0.11690749662245303,-0.2330351544600239,-0.14185140622976608,0.10846374470155898,-0.08402802796302349,0.016897559979647654,-0.017316628904982912,0.057534265893022414,0.13403541454858986,-0.1296586516011896,-0.06347890288141671,0.5127548993324121,0.03145859578770429,-0.09950396322186211,-0.18252219219323118,0.2310455076288842,-0.039714351598366435,-0.2020115117145817,apul,ACR.244
apul_ACR.265,0.1523550587130575,-0.04430691700076485,-0.050074839956503844,0.2389113887689156,0.09767997210169699,0.025987979470837197,-0.16106841497079108,0.01798517676957637,0.07733227295505664,0.004612058364716872,0.03528532675896426,-0.027568225550796834,0.11546115179615692,0.14972748324756424,0.19264101279991946,0.12008007880827161,-0.055074053484197916,0.17301452822815463,0.006988810550980178,0.08532937203874341,-0.013489482893169442,-0.04195035041582169,0.11327642217606003,-0.0016978449106703573,0.06702434758498192,-0.16077154025603851,-0.014676403160847982,-0.1364123239196698,0.01558668869110238,-0.10352350711296791,-0.06036379140227958,0.48400452734652205,-0.20603282306873313,0.05193841704916044,-0.027401480776754097,0.07564127508878898,0.2269455994951063,0.017255073282240227,0.055286856432087375,0.13229604574268855,-0.06905377438452304,-0.0670109334957181,0.0030389452904942284,-0.17344051663424756,-0.01996815514051482,-0.002641918137099525,0.04312307319340318,-0.08501310221345913,-0.06135174514423396,0.041816665271095524,0.19088989603647544,-0.12349136992204521,-0.13069382919187197,0.10505656395795435,0.05719856784296088,0.15852884107826118,-0.2145745133667151,0.018758854338273193,0.007026920229426809,0.028612899747311803,-0.03651854483555775,-0.22065184449006361,0.23076140038951995,0.06469240350626046,-0.10378280819835281,apul,ACR.265
