"Predictor","MeanImportance","Type","P_value","P_adj","Significant","Significance_Label","Feature"
"lncRNA_25406",0.0762090184076479,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_10227",0.0674395057637439,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_10228",0.0519001695229405,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_10230",0.0511416666978485,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_10234",0.0497482694615176,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_25758",0.0421753668308861,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_10226",0.0355887139164259,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_46345",0.0342038810991495,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_26600",0.0287751397416131,"lncRNA",0.000399920015996801,0.000559888022395521,TRUE,"***","OG_00171"
"lncRNA_26601",0.0276675475815576,"lncRNA",0.000399920015996801,0.000559888022395521,TRUE,"***","OG_00171"
"lncRNA_26602",0.027571801843394,"lncRNA",0.000399920015996801,0.000559888022395521,TRUE,"***","OG_00171"
"lncRNA_13394",0.0255264019216363,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_13393",0.0205809628750253,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_370",0.0205441344720905,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_854",0.0204656932505585,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_853",0.0174211910837346,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_15162",0.0157820152220816,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"lncRNA_29775",0.0156103309965719,"lncRNA",0.0001999600079984,0.000376847707381601,TRUE,"***","OG_00171"
"FUN_007793",0.0145039351690231,"Other",0.00559888022395521,0.00559888022395521,TRUE,"**","OG_00171"
"lncRNA_13395",0.014084261242199,"lncRNA",0.000399920015996801,0.000559888022395521,TRUE,"***","OG_00171"
"lncRNA_6568",0.105385419663223,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"lncRNA_48715",0.0541926055720365,"lncRNA",0.000399920015996801,0.000747676551646193,TRUE,"***","OG_00297"
"lncRNA_19181",0.0463911738854106,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"lncRNA_37959",0.0451126444199587,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"lncRNA_18042",0.0364802203991024,"lncRNA",0.000599880023995201,0.00103179364127175,TRUE,"**","OG_00297"
"lncRNA_18396",0.0342984415949873,"lncRNA",0.000999800039992002,0.001482462128264,TRUE,"**","OG_00297"
"lncRNA_21904",0.033261172682264,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"lncRNA_26985",0.0311500362975187,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"lncRNA_25848",0.0299112214929992,"lncRNA",0.000399920015996801,0.000747676551646193,TRUE,"***","OG_00297"
"lncRNA_36657",0.0270112718377193,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"lncRNA_41028",0.0194918653334331,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"lncRNA_1072",0.0192897624445036,"lncRNA",NA,NA,NA,"","OG_00297"
"lncRNA_13269",0.016876326566049,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"FUN_036941",0.0154339524804262,"Other",0.0023995200959808,0.00303468718021102,TRUE,"**","OG_00297"
"FUN_003989",0.0136945941151156,"Other",0.0141971605678864,0.0141971605678864,TRUE,"*","OG_00297"
"lncRNA_48716",0.0133294618594835,"lncRNA",0.000599880023995201,0.00103179364127175,TRUE,"**","OG_00297"
"lncRNA_47396",0.0127454397397276,"lncRNA",0.0011997600479904,0.00166418329237378,TRUE,"**","OG_00297"
"lncRNA_2881",0.0122933271400344,"lncRNA",0.000999800039992002,0.001482462128264,TRUE,"**","OG_00297"
"lncRNA_52656",0.0120242646179794,"lncRNA",0.0001999600079984,0.000409441921139582,TRUE,"***","OG_00297"
"FUN_008541",0.0120185546042696,"Other",0.0107978404319136,0.012218608909797,TRUE,"*","OG_00297"
"lncRNA_8687",0.178086398180309,"lncRNA",0.0001999600079984,0.00088553717827863,TRUE,"***","OG_00430"
"lncRNA_51163",0.10059409466936,"lncRNA",0.0001999600079984,0.00088553717827863,TRUE,"***","OG_00430"
"lncRNA_30634",0.0630283197966328,"lncRNA",0.0001999600079984,0.00088553717827863,TRUE,"***","OG_00430"
"lncRNA_18527",0.0624757379577821,"lncRNA",0.0015996800639872,0.00371925614877025,TRUE,"**","OG_00430"
"lncRNA_30633",0.061666385590676,"lncRNA",0.0001999600079984,0.00088553717827863,TRUE,"***","OG_00430"
"FUN_004373",0.0447109963687333,"Other",NA,NA,NA,"","OG_00430"
"lncRNA_18555",0.0430591917618869,"lncRNA",0.0001999600079984,0.00088553717827863,TRUE,"***","OG_00430"
"lncRNA_43480",0.0412318744299342,"lncRNA",0.00439912017596481,0.00580309470020889,TRUE,"**","OG_00430"
"FUN_025701",0.0407356339785764,"Other",0.000599880023995201,0.00195750323619487,TRUE,"**","OG_00430"
"FUN_015403",0.0361728514918075,"Other",0.00359928014397121,0.00518965974247011,TRUE,"**","OG_00430"
"lncRNA_3443",0.0361147162092437,"lncRNA",0.0001999600079984,0.00088553717827863,TRUE,"***","OG_00430"
"lncRNA_3444",0.0356764375028371,"lncRNA",0.0001999600079984,0.00088553717827863,TRUE,"***","OG_00430"
"lncRNA_28643",0.0337520629313189,"lncRNA",0.0001999600079984,0.00088553717827863,TRUE,"***","OG_00430"
"FUN_015434",0.0278032614383133,"Other",0.0023995200959808,0.00402919416116777,TRUE,"**","OG_00430"
"lncRNA_18537",0.0239707873285721,"lncRNA",0.0021995600879824,0.00401096251337968,TRUE,"**","OG_00430"
"lncRNA_43112",0.0235231294313018,"lncRNA",0.0015996800639872,0.00371925614877025,TRUE,"**","OG_00430"
"Cluster_17623",0.0231753237407889,"miRNA",NA,NA,NA,"","OG_00430"
"lncRNA_1222",0.0221570985763907,"lncRNA",0.000399920015996801,0.00165300273278678,TRUE,"**","OG_00430"
"lncRNA_18536",0.0219125006465399,"lncRNA",NA,NA,NA,"","OG_00430"
"lncRNA_1223",0.020557521158946,"lncRNA",0.0013997200559888,0.00361594347797107,TRUE,"**","OG_00430"
"FUN_022630",0.331873226691296,"Other",0.0001999600079984,0.000938273883684802,TRUE,"***","OG_00460"
"FUN_001388",0.0695204460056229,"Other",0.0013997200559888,0.00251126245339167,TRUE,"**","OG_00460"
"lncRNA_41168",0.0537104926085519,"lncRNA",0.0001999600079984,0.000938273883684802,TRUE,"***","OG_00460"
"lncRNA_44403",0.0443831708463587,"lncRNA",0.0001999600079984,0.000938273883684802,TRUE,"***","OG_00460"
"lncRNA_43208",0.0408392007218842,"lncRNA",0.0001999600079984,0.000938273883684802,TRUE,"***","OG_00460"
"FUN_024002",0.0360944636974053,"Other",NA,NA,NA,"","OG_00460"
"lncRNA_20202",0.0343192976799673,"lncRNA",0.0001999600079984,0.000938273883684802,TRUE,"***","OG_00460"
"FUN_016658",0.0322288070481112,"Other",0.001999600079984,0.00320988433892169,TRUE,"**","OG_00460"
"lncRNA_20201",0.0316026403967969,"lncRNA",0.0001999600079984,0.000938273883684802,TRUE,"***","OG_00460"
"FUN_038918",0.0304290353903453,"Other",0.0013997200559888,0.00251126245339167,TRUE,"**","OG_00460"
"lncRNA_372",0.0276170856586727,"lncRNA",0.0001999600079984,0.000938273883684802,TRUE,"***","OG_00460"
"lncRNA_7208",0.0233496821021693,"lncRNA",0.0001999600079984,0.000938273883684802,TRUE,"***","OG_00460"
"FUN_022509",0.0227857980554847,"Other",0.000399920015996801,0.00128395373556868,TRUE,"**","OG_00460"
"lncRNA_43097",0.0224917283946537,"lncRNA",0.000399920015996801,0.00128395373556868,TRUE,"**","OG_00460"
"lncRNA_41588",0.0208828291929418,"lncRNA",0.0013997200559888,0.00251126245339167,TRUE,"**","OG_00460"
"FUN_032750",0.0206859271225128,"Other",NA,NA,NA,"","OG_00460"
"FUN_005112",0.0203503013366039,"Other",0.0027994401119776,0.00397129876350311,TRUE,"**","OG_00460"
"FUN_035269",0.0191300703279194,"Other",NA,NA,NA,"","OG_00460"
"FUN_028484",0.0165998628707407,"Other",0.0011997600479904,0.00236081815894886,TRUE,"**","OG_00460"
"FUN_016743",0.0163626146660961,"Other",NA,NA,NA,"","OG_00460"
"FUN_005166",0.129526663372149,"Other",0.000399920015996801,0.0012247550489902,TRUE,"**","OG_00510"
"FUN_007823",0.120723747530991,"Other",0.0001999600079984,0.00108867115465796,TRUE,"**","OG_00510"
