"Gene","Predictor","Observed_Coef","Abs_Observed_Coef","Perm_Mean","Perm_SD","P_value","Tested","P_adj"
"OG_00171","lncRNA_370",-0.029719287857253,0.029719287857253,1.31898580555544e-05,0.000461868535417246,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_497",0.00667148200029635,0.00667148200029635,3.59454206838716e-08,2.54172507181688e-06,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_853",0.0163639102988668,0.0163639102988668,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_854",0.0201255754249163,0.0201255754249163,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_4217",-0.0136251122514902,0.0136251122514902,3.25980316136353e-06,0.000163746265923287,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_7149",-0.00341357464367286,0.00341357464367286,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_8596",0.00457965536980742,0.00457965536980742,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_10226",0.0257222967141955,0.0257222967141955,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_10227",0.0706299618772185,0.0706299618772185,3.22560514504065e-05,0.000772500076701316,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_10228",0.0553089588933841,0.0553089588933841,2.85044441070577e-05,0.000745679760045257,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_10230",0.0546175823745411,0.0546175823745411,2.92715222688965e-05,0.000767426877646408,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_10234",0.0537136080019231,0.0537136080019231,3.34554911541064e-05,0.000856149318165053,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_13393",-0.0293175207088643,0.0293175207088643,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_13394",-0.029443773789833,0.029443773789833,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_13437",0.0331126914142001,0.0331126914142001,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_15162",0.0284419443906824,0.0284419443906824,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_25406",0.0838721943418776,0.0838721943418776,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_25758",-0.0762228632605132,0.0762228632605132,3.84622807363041e-05,0.00130688426341395,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_29562",-0.0325470554200135,0.0325470554200135,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_29775",-0.0111444335215237,0.0111444335215237,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_30313",0.0197633157696502,0.0197633157696502,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_45392",0.0266605813842762,0.0266605813842762,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_46197",0.0315967064021888,0.0315967064021888,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_46345",-0.0398705421669596,0.0398705421669596,4.35912805802271e-06,0.000308236900988841,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_46547",-0.00951646164764937,0.00951646164764937,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_54033",0.0174370365778857,0.0174370365778857,0,0,0.0001999600079984,TRUE,0.000376847707381601
"OG_00171","lncRNA_7269",-0.00160208993789676,0.00160208993789676,6.26782535897171e-07,4.4320218146219e-05,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_9080",0.000214919395103915,0.000214919395103915,1.15165294987555e-06,8.14341610430496e-05,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_10574",-0.00507009798035115,0.00507009798035115,8.32268860845038e-06,0.000588502955273929,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_13395",-0.01392089562113,0.01392089562113,3.20731931182066e-06,0.000226208793908789,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_14743",-0.014329392584436,0.014329392584436,3.28087488368884e-06,0.000222366441598159,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_14744",-0.0144920766294171,0.0144920766294171,3.59449927125734e-06,0.000239715972302331,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_26600",-0.0422560075226583,0.0422560075226583,3.5878547043546e-05,0.00105494103451945,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_26601",-0.0401347267838055,0.0401347267838055,3.77732638107358e-05,0.00110599410623638,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_26602",-0.0392839675446745,0.0392839675446745,3.83158180973313e-05,0.00112149554974847,0.000399920015996801,TRUE,0.000559888022395521
"OG_00171","lncRNA_1181",0.00804572730599157,0.00804572730599157,8.66151621948746e-06,0.000433384644017335,0.000599880023995201,TRUE,0.000773529504625391
"OG_00171","lncRNA_3280",-0.0145795192547057,0.0145795192547057,1.34255362877536e-05,0.000632100798097181,0.000599880023995201,TRUE,0.000773529504625391
"OG_00171","lncRNA_12238",-0.0183978130903989,0.0183978130903989,2.86397794884309e-05,0.00132573142440658,0.000599880023995201,TRUE,0.000773529504625391
