"","MEbrown","MEblue","MEturquoise"
"POC-52_TP1",-0.0860244497570997,0.0611029555666236,-0.0568590492296948
"POR-245_TP3",0.0264907317444869,-0.108412111544114,-0.0775574943637782
"POC-255_TP3",-0.048622090863324,0.151288522960977,-0.00688146052038152
"POR-69_TP4",0.0168985518895987,-0.0752327155045011,-0.035578935867678
"POC-53_TP1",-0.109020521570648,0.0181381586963674,-0.0131854775021237
"POC-222_TP1",-0.0731810836940498,0.0778526591590086,-0.0581706168674764
"ACR-145_TP4",0.107644094062218,0.0245520389545336,0.24823130858696
"POC-255_TP1",-0.117538309489899,-0.0304493116224454,-0.0865423086467737
"ACR-265_TP3",0.103107233747734,0.201134895879495,0.411911005887536
"POC-42_TP3",-0.0573312275269268,0.120982192898992,-0.0695236469020664
"ACR-229_TP1",-0.107568731463884,-0.121698032709157,-0.0147073828138788
"ACR-186_TP3",-0.0647220546079532,-0.0500525211613337,0.116567401811572
"POR-245_TP4",0.0338917270417371,-0.0638399629955148,-0.0835500846327922
"POR-216_TP1",-0.0415939591059618,-0.108652452325934,-0.0851021470931127
"POR-245_TP2",0.0626942040695597,-0.0543207795001611,-0.0449566396730219
"POC-219_TP3",-0.0885148071134524,0.0383851264275269,-0.0709300727019868
"POC-219_TP4",-0.0848411882992687,0.0176699870522381,-0.0820219036065479
"POC-57_TP1",-0.111563015998167,-0.0178037868370482,-0.0584394477763398
"POR-69_TP2",-0.00982755533661706,-0.0975440287442864,-0.0583760855254899
"POR-216_TP4",0.14516398239272,-0.00247116537954448,-0.0292280683228486
"POR-83_TP3",0.182152817117531,-0.0458439990070627,-0.061422777017891
"POC-222_TP4",-0.0184471976936206,0.211724146704193,-0.0427071441137554
"POR-260_TP4",0.135755563980779,-0.0204913143628891,-0.0199212615154077
"ACR-225_TP1",-0.0646632241749405,-0.0791111079182042,0.0191586386778038
"POC-40_TP4",-0.0944999569659817,-0.0167023255016006,-0.0874292692391254
"POR-72_TP1",0.136821392389368,-0.0426217841983165,-0.043667534807793
"POC-57_TP3",0.00619883595837046,0.135591344743585,-0.0258614953217721
"POC-42_TP4",-0.0899978657523418,0.0432328052428713,-0.0567881027218472
"ACR-244_TP1",-0.0125115837031203,-0.0397453082073794,0.110816873102629
"ACR-186_TP1",-4.34209751118484e-06,0.156223124214214,0.258556627293214
"POC-57_TP4",-0.102804048393489,0.0347428450833419,-0.0292074361710317
"POR-72_TP3",0.246227744212776,0.0266878415101181,-0.0237456924738223
"POR-260_TP3",0.0193569048735612,-0.0252025075396273,-0.0547833347791228
"POR-73_TP2",0.19052226521481,-0.0587578107432885,-0.0495573604978126
"POR-260_TP2",0.127747159352061,-0.0366733860000083,-0.0299373936742461
"ACR-173_TP1",-0.0724499832360532,-0.1077836988164,0.0524766820900327
"POR-73_TP1",0.184341247145881,-0.0628545545949177,-0.0498306210143019
"POR-83_TP4",0.139379705669031,0.0770110600406971,-0.0518043059716162
"POR-262_TP2",0.11365982138873,-0.0682174367599447,-0.0555136883490008
"POC-53_TP4",-0.0839280867802951,0.00913973350035888,-0.0671077837566218
"POC-52_TP4",-0.103076489311034,0.022064426864243,-0.0674172716458832
"ACR-173_TP4",-0.0695616531183073,-0.0747682477132907,0.0712547530456523
"ACR-139_TP1",-0.0939807188806864,-0.0973525790126651,0.0390722942309477
"POR-262_TP4",0.54296337482336,0.208443560292845,0.0704017230542118
"POR-73_TP4",0.0600658189134941,-0.00527138195147985,-0.07106583794109
"ACR-225_TP3",0.00992519406819949,0.146480523018075,0.31058382605536
"POR-260_TP1",0.0183992409682803,-0.105689306915231,-0.0617780165710199
"POC-259_TP1",-0.0821884910190294,0.170051470884464,-0.053137172854861
"POR-236_TP1",0.0176702888369086,-0.0942693264543496,-0.0944450509387723
"POR-74_TP2",0.0835245887666986,-0.0947586442149206,-0.0599862675421318
"ACR-237_TP4",-0.107208245446417,-0.101720194114782,0.0986605408702801
"POR-74_TP1",0.0205019588840178,-0.0766425129956009,-0.0701196910934042
"POC-42_TP1",-0.0906565641882998,0.126995632784979,-0.0710765299739215
"POR-83_TP1",-0.00639613886198455,-0.103737881844948,-0.088605488549962
"POR-69_TP3",0.107609744838937,-0.0506868991473102,-0.0299579535418288
"ACR-139_TP3",-0.0027012829077241,0.0170078992231494,0.217814501876703
"ACR-265_TP1",-0.0397952767684004,-0.0824116347536069,0.0598387149723366
"POC-40_TP3",-0.0598927222522221,0.103035686550775,-0.0812056253746398
"ACR-237_TP1",-0.104011304038883,-0.102077268944559,0.0387469199926612
"POC-259_TP3",-0.0285909348039844,0.0954053585766702,-0.0578653747833147
"POR-236_TP2",0.0518743028638539,-0.104451841840329,-0.0905247935784931
"POC-40_TP1",-0.0738040312279389,0.0370800148325202,-0.0702608835081637
"POR-72_TP2",0.0292066263702703,0.307900339531054,-0.0080681174006791
"POR-72_TP4",0.0840789957505823,-0.0556415766221275,-0.0412421761148361
"POR-216_TP3",0.0696664857973936,0.0699327424951218,-0.0241036157107972
"ACR-145_TP1",-0.0922069967063667,-0.0911383838144447,0.0475727254379336
"POC-259_TP4",-0.0726484338112308,0.104388869836586,-0.0529566231711805
"ACR-229_TP3",-0.0201287093245692,-0.0506676443967555,0.104461734901719
"ACR-244_TP3",0.0187957693433967,-0.0508590078679012,0.113261479271295
"POC-201_TP1",-0.0683778926545486,0.071003752379742,-0.0519791869465078
"POR-69_TP1",-0.022842797292377,-0.0903601104785621,-0.0557757054316335
"POC-222_TP3",-0.0833606802607503,0.0329698357982965,-0.0524390070982641
"ACR-186_TP4",-0.0753372183379428,-0.106431123302135,0.0682946926155903
"ACR-139_TP4",0.0216015127710624,0.357881390898298,0.297077456984729
"POR-73_TP3",0.142287689388968,-0.0787295536505828,-0.0760716770577625
"ACR-173_TP3",-0.0223475957941448,-0.00882777188932199,0.168744835473434
"ACR-225_TP4",-0.106159290848417,-0.0920313487353605,0.0357219052939807
"ACR-150_TP4",-0.111722074892975,-0.119899670245816,0.0305105681726522
"POR-74_TP3",-0.0225543504059883,-0.110353224631191,-0.0970485288530981
"ACR-237_TP3",-0.0611135627816858,-0.0729749552537542,0.114370662371173
"ACR-145_TP3",0.0182251809269606,0.0163109226867518,0.277272154211892
"POR-74_TP4",0.0524764923067537,-0.0478417477746473,-0.073605554218674
"POR-245_TP1",0.0187265484578704,-0.0804737245934083,-0.0485132116902921
"ACR-150_TP3",-0.0828540690172426,-0.0956048448044075,0.08951502844617
"POR-262_TP3",0.0743947160587206,-0.0605595427343808,-0.0579172301046338
"POC-53_TP3",-0.0104477829730328,0.135707954357243,-0.0441435274520183
"ACR-244_TP4",-0.100939924438075,-0.0735948884396694,0.0655093659576342
"POC-255_TP4",-0.0347321556556343,0.162681758309898,-0.0551489457281181
"POR-262_TP1",0.0484849140786549,-0.019146829080427,-0.0676113830127091
"POC-219_TP1",-0.0680167165757911,0.122092798007656,-0.0292178490390492
"POC-201_TP3",-0.0315404918051695,0.179002271787493,-0.0241728804193974
"POR-216_TP2",0.0203580607821939,-0.0615549602252328,-0.065992459897348
"POC-52_TP3",-0.0551549889757206,0.0939056686941548,-0.0367324947157573
"ACR-150_TP1",0.0118611110742073,-0.0244419315562392,0.135508955414511
"ACR-229_TP4",-0.117113472607699,-0.115288043385618,-0.00904313523536444
"POR-83_TP2",0.16036574328714,-0.0510616110864226,-0.0517880854338479
