,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Species,Sample_ID
apul_ACR.139,0.10181535912778605,0.12714209375143962,0.07501533998212964,0.005120993625955627,0.056847435015071425,-0.24861164871239624,0.25233430289215636,0.011237616702945683,0.11169600771132684,-0.0881112525389758,-0.045223348257999535,0.21074144221270033,0.004131352471386041,-0.10729386044573178,-0.22220721523085615,-0.27072612405753754,0.12322332182241014,0.5242153028650247,-0.021572748971746145,-0.05033970694952778,apul,ACR.139
apul_ACR.145,-0.011196071180222634,0.23641901911398153,-0.2525144643736353,0.14455693403074352,0.04920952467910419,-0.02280444347040026,0.19493197822357633,0.13467335510298326,-0.0790393680251956,-0.24654417255655894,-0.17220111740005528,-0.006956556438170905,-0.23086708605133874,-0.170224594806304,-0.40860258362053514,-0.12075145174059629,0.29350214200460173,0.36675335059513253,0.0098866268519122,0.22484229733069475,apul,ACR.145
apul_ACR.150,0.1382945717033889,0.34557982558296246,-0.2141953179489359,0.07937626799944,0.1571300054765285,0.031125480138102183,0.06690975963734143,0.22311910611787888,-0.126815727042653,-0.20063775720323426,-0.17545639403610022,-0.006711344601855446,-0.14264320060489658,-0.16900344074463095,0.3545516343368621,-0.07073448159314172,0.3072741782457466,0.31563248313159525,-0.2973127517881065,0.20981943526969965,apul,ACR.150
apul_ACR.173,0.21264294974431788,0.2407435629026911,-0.15531797226521668,-0.05987148654711261,0.07086448670116068,-0.0003947026258824173,0.20988528920104493,0.06468969364917504,0.02181023240062042,-0.14771960192650802,-0.11437304809348278,0.032533466935432326,-0.07097447013344231,-0.16925586152306232,-0.2860812302838252,0.006730152260022585,0.23071281656431084,0.2527033418852038,-0.028869219109572474,0.2019376727773316,apul,ACR.173
apul_ACR.186,-0.04398970574741001,0.2481232186225029,-0.1546392717766077,0.11895656051037028,0.10370441898200312,-0.05798629895269394,0.2731396209220356,0.2361234984655974,0.02645574808932461,-0.22246429218656263,-0.27522122383413156,0.1544744435413018,-0.09055246303899901,-0.09445648080084171,-0.25823755082997957,-0.30016765928928313,0.3415876460151684,0.5069384353367475,-0.10196585802416755,0.1457356957601824,apul,ACR.186
apul_ACR.225,0.06700279158286108,0.39051524018343525,-0.28398938535803075,0.1390966123523032,0.3468313233772442,0.11296502369487149,0.20916505143355674,0.11942519441606973,-0.20547568957227316,-0.23476821575967838,-0.0713209781397959,-0.11030824696658476,-0.2491771048567348,-0.06604074406291564,0.11427351258636342,0.021647496869646933,0.3143702977615627,0.018611219395102765,-0.30765659983222265,0.15540252605665844,apul,ACR.225
apul_ACR.229,0.10820549944731687,0.33128490221781487,-0.15652286657021044,0.07228814411234566,0.40522017489252476,0.03549369566970679,0.2837533411715847,-0.014891216522290293,-0.018769566582760595,-0.2599178065367678,-0.017385068474914323,0.09056122420299063,-0.21971326044309444,-0.011046439971552257,0.15968916879161296,-0.07842389881578024,0.22728718971382791,0.0320749054014741,-0.31258203198723994,-0.024867641728574957,apul,ACR.229
apul_ACR.237,0.10402557608212148,0.38977891424197014,-0.21133889205546288,0.11903586012881322,0.3093003503150598,0.0992499950830692,0.07463493686604614,0.09152854730921901,-0.14225228142986815,-0.26967978612655935,-0.15204939485832222,-0.026428543186616697,-0.17664796412602837,-0.058823935154599286,0.36168300406414566,0.01383697301920836,0.29576714189656694,-0.004870031520849325,-0.316394736898818,0.15566550024951617,apul,ACR.237
apul_ACR.244,0.13856631476960196,0.39010093075329544,-0.18436455516816622,0.07454459039944797,0.35104393266957307,0.08074877884919392,0.17951784405615795,0.04648209023920042,-0.13334551553485588,-0.24544236232273842,-0.10951309209982114,-0.1072054379145754,-0.15613821665102212,0.004026925336852197,0.25344374842033035,0.06193774292008116,0.28230170017190437,-0.08560191990439711,-0.3092031628647316,0.14538271238874637,apul,ACR.244
apul_ACR.265,0.019113480017112446,0.31040456780492076,-0.28254475275891877,0.08785683707793344,0.24231119097637763,0.14838845482783958,0.08036075316440605,0.1146181022059333,-0.16848540855310606,-0.26137897474356475,-0.1852457560792981,-0.029151019908021776,-0.18161208474687104,-0.09069677101891827,0.05396460407120342,0.06259383055272455,0.2843259378758669,0.01876936179911416,-0.16748086604890783,0.24153799131737108,apul,ACR.265
peve_POR.216,-0.11210231242849505,0.017412952180286417,-0.07931723254559853,0.0701838337239197,0.29928576944296864,0.28286594215387983,0.2888679710599354,0.02892817693570882,-0.09428493109788094,-0.11140800855808786,0.01382943422141716,0.5130474314101852,-0.05719678360061338,0.030682342594103445,0.03208489668665655,-0.19763587197041016,-0.07560044167648451,-0.0035819631859776374,-0.2630906343284445,-0.33475891109747813,peve,POR.216
peve_POR.245,-0.2874416592546399,-0.005245634636804837,0.03813945251824677,0.12478946827696506,0.17835474154581554,-0.06151883749636975,0.0008229229325134232,-0.44580595158859093,0.15140505910703936,-0.2834156813781743,-0.17540270226957422,0.4250489209919944,0.010632586529158336,0.07526458599000847,-0.14648018675893007,-0.13382253851887824,0.01670436003161334,-0.019847098223721372,0.16541612650610327,-0.08927313577214137,peve,POR.245
