query,subject,identity1,evalue1,bitscore1,identity2,evalue2,bitscore2,avg_identity,min_evalue,max_bitscore
FUN_000185-T1,Pocillopora_meandrina_HIv1___RNAseq.g28886.t1,68.211,0,1336,68,0,1287,68.1055,0,1336
FUN_000186-T1,Pocillopora_meandrina_HIv1___TS.g6106.t2,58.776,0,601,58.776,0,601,58.776,0,601
FUN_000189-T1,Pocillopora_meandrina_HIv1___RNAseq.g28888.t3,67.453,2.41e-81,240,67.453,1.89e-85,251,67.453,1.89e-85,251
FUN_000190-T1,Pocillopora_meandrina_HIv1___RNAseq.g28889.t1,52.632,7.19e-76,232,50.694,7.33e-71,219,51.663,7.19e-76,232
FUN_000191-T1,Pocillopora_meandrina_HIv1___RNAseq.g28890.t1,74.638,9.29e-80,231,74.638,1.08e-79,231,74.638,9.29e-80,231
FUN_000192-T1,Pocillopora_meandrina_HIv1___RNAseq.g28893.t1,79,3.85e-126,353,79,4.6399999999999994e-126,353,79,3.85e-126,353
FUN_000193-T1,Pocillopora_meandrina_HIv1___RNAseq.g28894.t1,67.5,3.72e-76,224,67.5,4.36e-76,224,67.5,3.72e-76,224
FUN_000194-T1,Pocillopora_meandrina_HIv1___RNAseq.g28898.t1,76.672,0,914,76.672,0,932,76.672,0,932
FUN_000195-T1,Pocillopora_meandrina_HIv1___RNAseq.g28899.t1,62.712,4.59e-75,229,62.712,1.04e-74,229,62.712,4.59e-75,229
FUN_000197-T1,Pocillopora_meandrina_HIv1___RNAseq.g28901.t1,62.409,0,655,62.409,0,687,62.409,0,687
FUN_000198-T1,Pocillopora_meandrina_HIv1___RNAseq.g28902.t1,52.632,2.7899999999999997e-34,115,52.632,3.2399999999999997e-34,115,52.632,2.7899999999999997e-34,115
FUN_000200-T1,Pocillopora_meandrina_HIv1___RNAseq.g28904.t1,82.255,0,811,82.255,0,811,82.255,0,811
FUN_000201-T1,Pocillopora_meandrina_HIv1___RNAseq.g28905.t1,58.222,2.02e-64,200,62.882,8.51e-73,222,60.552,8.51e-73,222
FUN_000202-T1,Pocillopora_meandrina_HIv1___RNAseq.g28907.t1,78.571,0,825,78.571,0,798,78.571,0,825
FUN_000203-T1,Pocillopora_meandrina_HIv1___RNAseq.g28908.t1,90.625,3.8199999999999995e-153,424,90.625,4.549999999999999e-153,424,90.625,3.8199999999999995e-153,424
FUN_000204-T1,Pocillopora_meandrina_HIv1___RNAseq.g28909.t1,64.229,0,637,64.229,0,653,64.229,0,653
FUN_000206-T1,Pocillopora_meandrina_HIv1___RNAseq.g28910.t1,69.565,1.4099999999999999e-42,136,74.359,5.37e-39,127,71.96199999999999,1.4099999999999999e-42,136
FUN_000208-T1,Pocillopora_meandrina_HIv1___RNAseq.g28911.t2,60.406,1.17e-84,259,60.406,4.13e-84,259,60.406,1.17e-84,259
FUN_000210-T1,Pocillopora_meandrina_HIv1___TS.g6133.t2,59.164,0,967,59.164,0,950,59.164,0,967
FUN_000211-T1,Pocillopora_meandrina_HIv1___TS.g18103.t1,61.722,2.67e-81,252,61.722,3.2800000000000002e-77,240,61.722,2.67e-81,252
FUN_000212-T1,Pocillopora_meandrina_HIv1___RNAseq.g28915.t1,64.778,0,1243,65.251,0,1239,65.0145,0,1243
FUN_000213-T2,Pocillopora_meandrina_HIv1___RNAseq.g28916.t1,60.02,0,2338,60.071,0,2353,60.045500000000004,0,2353
FUN_000215-T1,Pocillopora_meandrina_HIv1___RNAseq.g28918.t1,62.022,0,1168,60.312,0,1180,61.167,0,1180
FUN_000216-T1,Pocillopora_meandrina_HIv1___RNAseq.g28926.t1,48.301,8.49e-163,474,48.301,1.4599999999999998e-168,489,48.301,1.4599999999999998e-168,489
FUN_000217-T1,Pocillopora_meandrina_HIv1___RNAseq.g28927.t1,70.872,0,701,70.13,0,698,70.501,0,701
FUN_000219-T1,Pocillopora_meandrina_HIv1___RNAseq.g28928.t1,62.969,0,1451,63.399,0,1483,63.184,0,1483
