query,subject,identity1,evalue1,bitscore1,identity2,evalue2,bitscore2,avg_identity,min_evalue,max_bitscore
FUN_000108-T1,Peve_00024901,68.468,2.09e-97,289,68.468,5.25e-97,289,68.468,2.09e-97,289
FUN_000185-T1,Peve_00037402,71.542,0,1318,71.542,0,1294,71.542,0,1318
FUN_000189-T1,Peve_00038462,67.935,1.1099999999999999e-82,243,67.935,1.0199999999999999e-82,243,67.935,1.0199999999999999e-82,243
FUN_000190-T1,Peve_00038463,51.034,1.2800000000000001e-70,219,52.721,1.31e-80,245,51.8775,1.31e-80,245
FUN_000191-T1,Peve_00038464,72.662,1.1e-77,226,72.662,1.04e-77,226,72.662,1.04e-77,226
FUN_000192-T1,Peve_00038466,79.899,1.31e-127,357,79.899,1.27e-127,357,79.899,1.27e-127,357
FUN_000193-T1,Peve_00038467,67.857,7.369999999999999e-81,237,67.857,7e-81,237,67.857,7e-81,237
FUN_000194-T1,Peve_00038470,77.521,0,933,77.521,0,936,77.521,0,936
FUN_000195-T1,Peve_00038471,68.539,8.169999999999998e-87,259,68.539,1.51e-86,259,68.539,8.169999999999998e-87,259
FUN_000197-T1,Peve_00027182,54.527,8.859999999999999e-162,469,54.527,2.3899999999999997e-163,473,54.527,2.3899999999999997e-163,473
FUN_000198-T1,Peve_00027181,62.5,9.599999999999999e-38,124,61.468,1.54e-39,129,61.984,1.54e-39,129
FUN_000199-T1,Peve_00032080,64.516,1.79e-42,142,64.516,3.6599999999999997e-38,129,64.516,1.79e-42,142
FUN_000200-T1,Peve_00027179,85.591,0,825,85.591,0,825,85.591,0,825
FUN_000202-T1,Peve_00024058,80.777,0,834,80.777,0,822,80.777,0,834
FUN_000203-T1,Peve_00019866,90.625,5.84e-153,424,90.625,5.689999999999999e-153,424,90.625,5.689999999999999e-153,424
FUN_000204-T2,Peve_00019864,64.062,8.47e-135,391,64.062,5.569999999999999e-135,391,64.062,5.569999999999999e-135,391
FUN_000206-T1,Peve_00027728,69.565,1.39e-41,134,70.513,3.08e-36,120,70.039,1.39e-41,134
FUN_000208-T1,Peve_00027726,72.283,7.480000000000001e-97,289,72.283,1.9299999999999995e-96,289,72.283,7.480000000000001e-97,289
FUN_000209-T1,Peve_00026217,76.172,5.23e-142,410,73.571,5.07e-142,410,74.8715,5.07e-142,410
FUN_000210-T1,Peve_00022649,65.148,0,1029,65.148,0,1020,65.148,0,1029
FUN_000212-T1,Peve_00007289,64.143,0,1228,64.143,0,1221,64.143,0,1228
FUN_000213-T2,Peve_00002451,60.02,0,2329,60.02,0,2306,60.02,0,2329
FUN_000215-T1,Peve_00002445,58.596,0,1158,58.596,0,1161,58.596,0,1161
FUN_000216-T1,Peve_00018873,54.825,1.37e-170,490,54.825,1.0899999999999999e-170,490,54.825,1.0899999999999999e-170,490
FUN_000217-T1,Peve_00019413,74.088,0,776,75.365,0,771,74.72649999999999,0,776
FUN_000219-T1,Peve_00019412,65.26,0,1357,65.175,0,1358,65.2175,0,1358
FUN_000220-T1,Peve_00012034,81.202,0,1102,81.202,0,1123,81.202,0,1123
FUN_000223-T1,Peve_00012031,74.766,8.609999999999998e-175,489,74.766,0,513,74.766,0,513
FUN_000224-T2,Peve_00012030,44.654,5.98e-92,307,36.823,2.11e-105,343,40.7385,2.11e-105,343
FUN_000226-T1,Peve_00012014,61.538,2.9599999999999997e-173,514,57.61,1.09e-165,495,59.574,2.9599999999999997e-173,514
FUN_000229-T1,Peve_00012013,75.758,3.4e-161,451,75.758,1.0699999999999999e-162,454,75.758,1.0699999999999999e-162,454
FUN_000230-T1,Peve_00012012,53.271,0,536,53.271,0,533,53.271,0,536
FUN_000231-T1,Peve_00012025,62.692,0,1368,51.013,0,1508,56.8525,0,1508
FUN_000232-T1,Peve_00033351,77.247,0,587,77.247,0,587,77.247,0,587
FUN_000236-T1,Peve_00033366,57.035,0,842,52.196,0,748,54.6155,0,842
FUN_000237-T1,Peve_00033367,77.863,0,1361,78.299,0,1415,78.081,0,1415
FUN_000238-T1,Peve_00033352,62.632,0,821,62.632,0,810,62.632,0,821
FUN_000239-T1,Peve_00033353,96.429,1.5399999999999998e-56,171,96.429,2.5699999999999997e-56,171,96.429,1.5399999999999998e-56,171
FUN_000240-T1,Peve_00033355,48.739,1.05e-27,100,48.739,9.61e-28,100,48.739,9.61e-28,100
FUN_000243-T1,Peve_00033358,66.129,0,758,66.129,0,758,66.129,0,758
FUN_000245-T1,Peve_00033360,74.444,1.7299999999999998e-140,407,74.908,6.02e-142,410,74.676,6.02e-142,410
FUN_000247-T2,Peve_00033364,71.389,0,1644,71.389,0,1644,71.389,0,1644
FUN_000250-T1,Peve_00018026,47.581,5.21e-29,103,47.581,3.8800000000000003e-29,103,47.581,3.8800000000000003e-29,103
FUN_000260-T1,Peve_00027791,64.684,1.4300000000000001e-117,339,64.684,1.2e-117,339,64.684,1.2e-117,339
FUN_000261-T1,Peve_00027784,83.537,4.619999999999999e-101,298,83.537,1.23e-100,298,83.537,4.619999999999999e-101,298
FUN_000263-T1,Peve_00027785,81.669,0,1063,81.669,0,1078,81.669,0,1078
FUN_000264-T1,Peve_00027786,67.46,0,527,67.46,0,527,67.46,0,527
FUN_000265-T1,Peve_00027789,90.187,0,763,90.187,0,763,90.187,0,763
FUN_000270-T1,Peve_00027796,80.925,0,573,80.925,0,573,80.925,0,573
FUN_000271-T1,Peve_00027797,61.126,0,768,62.588,0,753,61.857,0,768
FUN_000272-T1,Peve_00027798,77.34,1.58e-115,330,77.34,2.1e-115,330,77.34,1.58e-115,330
FUN_000273-T1,Peve_00044035,54.331,7.7e-51,159,57.143,7.49e-49,154,55.737,7.7e-51,159
FUN_000274-T4,Peve_00044033,69.672,0,510,70.492,0,511,70.082,0,511
FUN_000276-T1,Peve_00044046,73.239,7.82e-109,313,73.239,2.87e-115,329,73.239,2.87e-115,329
FUN_000277-T1,Peve_00044050,57.143,4.62e-62,192,57.143,3.52e-62,192,57.143,3.52e-62,192
FUN_000281-T1,Peve_00033554,62.36,7.789999999999999e-87,256,62.36,8.359999999999999e-87,256,62.36,7.789999999999999e-87,256
