query,subject,identity1,evalue1,bitscore1,identity2,evalue2,bitscore2,avg_identity,min_evalue,max_bitscore
Peve_00000002,Pocillopora_meandrina_HIv1___RNAseq.g1182.t1,55.733,0,632,55.142,0,622,55.4375,0,632
Peve_00000003,Pocillopora_meandrina_HIv1___RNAseq.g1183.t1,75.46,0,767,75.256,0,752,75.358,0,767
Peve_00000004,Pocillopora_meandrina_HIv1___RNAseq.g1184.t1,88.525,0,1027,88.267,0,1035,88.396,0,1035
Peve_00000005,Pocillopora_meandrina_HIv1___RNAseq.g1185.t2,82.371,0,528,78.846,0,542,80.60849999999999,0,542
Peve_00000006,Pocillopora_meandrina_HIv1___RNAseq.g1186.t1,75.824,0,909,78.287,0,966,77.0555,0,966
Peve_00000007,Pocillopora_meandrina_HIv1___RNAseq.g25849.t1,57.692,1.5e-129,382,57.692,1.5599999999999997e-129,381,57.692,1.5e-129,382
Peve_00000009,Pocillopora_meandrina_HIv1___RNAseq.g1188.t1,77.542,3.15e-142,397,77.542,3.89e-142,397,77.542,3.15e-142,397
Peve_00000010,Pocillopora_meandrina_HIv1___RNAseq.g1189.t1,72.973,0,531,72.973,0,531,72.973,0,531
Peve_00000011,Pocillopora_meandrina_HIv1___RNAseq.g1190.t1,59.243,0,547,59.243,0,547,59.243,0,547
Peve_00000012,Pocillopora_meandrina_HIv1___RNAseq.g28285.t1,89.809,0,559,89.809,0,559,89.809,0,559
Peve_00000014,Pocillopora_meandrina_HIv1___RNAseq.g28284.t1,30.939,7.42e-10,57.4,30.939,7.74e-10,57.4,30.939,7.42e-10,57.4
Peve_00000017,Pocillopora_meandrina_HIv1___RNAseq.g28279.t1,73.909,0,1419,73.909,0,1419,73.909,0,1419
Peve_00000024,Pocillopora_meandrina_HIv1___RNAseq.g28278.t1,77.957,0,640,77.957,0,640,77.957,0,640
Peve_00000025,Pocillopora_meandrina_HIv1___RNAseq.g28277.t1,86.458,2.1899999999999993e-119,336,86.458,8.359999999999998e-119,335,86.458,2.1899999999999993e-119,336
Peve_00000028,Pocillopora_meandrina_HIv1___RNAseq.g28019.t1,51.053,9.56e-53,168,52.632,1.7e-59,186,51.8425,1.7e-59,186
Peve_00000032,Pocillopora_meandrina_HIv1___TS.g8084.t1,48.982,0,842,48.778,0,847,48.879999999999995,0,847
Peve_00000033,Pocillopora_meandrina_HIv1___RNAseq.g28276.t1,78.897,0,583,76.978,0,565,77.9375,0,583
Peve_00000035,Pocillopora_meandrina_HIv1___RNAseq.g28304.t1,90.916,0,2377,90.916,0,2324,90.916,0,2377
Peve_00000036,Pocillopora_meandrina_HIv1___RNAseq.g28274.t1,75.98,0,3145,75.98,0,3127,75.98,0,3145
Peve_00000038,Pocillopora_meandrina_HIv1___TS.g11911.t1,51.807,1.08e-22,92.8,51.807,3.86e-23,92.8,51.807,3.86e-23,92.8
Peve_00000039,Pocillopora_meandrina_HIv1___RNAseq.g25764.t1,53.535,2.36e-76,232,48.954,1.69e-76,232,51.2445,1.69e-76,232
Peve_00000040,Pocillopora_meandrina_HIv1___RNAseq.g28269.t1,67.082,0,510,67.082,0,545,67.082,0,545
Peve_00000041,Pocillopora_meandrina_HIv1___RNAseq.g28273.t1,69.13,0,660,69.13,0,660,69.13,0,660
Peve_00000042,Pocillopora_meandrina_HIv1___RNAseq.g28305.t1,75.349,6.13e-125,352,75.349,7.53e-125,352,75.349,6.13e-125,352
Peve_00000044,Pocillopora_meandrina_HIv1___RNAseq.g28268.t1,70.927,0,570,70.927,0,578,70.927,0,578
Peve_00000045,Pocillopora_meandrina_HIv1___RNAseq.g28267.t1,82.316,0,763,82.316,0,744,82.316,0,763
Peve_00000046,Pocillopora_meandrina_HIv1___RNAseq.g28266.t1,81.934,0,591,82.071,0,625,82.0025,0,625
Peve_00000047,Pocillopora_meandrina_HIv1___RNAseq.g28265.t1,74.031,0,774,74.031,0,774,74.031,0,774
Peve_00000048,Pocillopora_meandrina_HIv1___RNAseq.g28264.t1,77.56,0,1850,77.56,0,1850,77.56,0,1850
Peve_00000049,Pocillopora_meandrina_HIv1___RNAseq.g28263.t2,81.058,0,1969,81.058,0,1957,81.058,0,1969
Peve_00000052,Pocillopora_meandrina_HIv1___RNAseq.g13179.t1,41.556,1.8599999999999998e-160,483,41.556,8.729999999999999e-163,489,41.556,8.729999999999999e-163,489
Peve_00000059,Pocillopora_meandrina_HIv1___TS.g25199.t1,56.986,0,761,56.986,0,761,56.986,0,761
Peve_00000060,Pocillopora_meandrina_HIv1___RNAseq.g28287.t1,65.945,0,1540,65.47,0,1532,65.7075,0,1540
Peve_00000061,Pocillopora_meandrina_HIv1___RNAseq.g28288.t1,56.255,0,1312,56.734,0,1281,56.4945,0,1312
Peve_00000064,Pocillopora_meandrina_HIv1___RNAseq.g28289.t1,70.323,0,2078,70.323,0,2078,70.323,0,2078
Peve_00000066,Pocillopora_meandrina_HIv1___RNAseq.g28291.t1,60.563,0,1214,60.563,0,1218,60.563,0,1218
Peve_00000067,Pocillopora_meandrina_HIv1___RNAseq.g28293.t1,74.291,0,915,74.291,0,915,74.291,0,915
Peve_00000068,Pocillopora_meandrina_HIv1___RNAseq.g28294.t2,79.909,4.6100000000000004e-122,350,79.909,1.4400000000000001e-122,352,79.909,1.4400000000000001e-122,352
Peve_00000073,Pocillopora_meandrina_HIv1___RNAseq.g1059.t1,75.691,0,1276,76.18,0,1270,75.9355,0,1276
Peve_00000075,Pocillopora_meandrina_HIv1___TS.g5619.t2,78.392,1.1099999999999998e-99,293,75.377,8.089999999999999e-96,283,76.8845,1.1099999999999998e-99,293
Peve_00000076,Pocillopora_meandrina_HIv1___RNAseq.g1089.t1,94.393,2.12e-61,184,92.661,1.4199999999999998e-61,184,93.527,1.4199999999999998e-61,184
Peve_00000077,Pocillopora_meandrina_HIv1___RNAseq.g1090.t1,78.155,0,929,79.077,0,917,78.616,0,929
Peve_00000078,Pocillopora_meandrina_HIv1___RNAseq.g1091.t1,56.294,0,681,56.978,0,655,56.635999999999996,0,681
Peve_00000079,Pocillopora_meandrina_HIv1___RNAseq.g1092.t1,86.093,0,550,86.093,0,550,86.093,0,550
Peve_00000080,Pocillopora_meandrina_HIv1___RNAseq.g1093.t1,63.636,3.0199999999999994e-106,306,63.636,3.6399999999999996e-106,306,63.636,3.0199999999999994e-106,306
Peve_00000082,Pocillopora_meandrina_HIv1___TS.g5627.t2,68.395,0,865,68.233,0,855,68.314,0,865
Peve_00000083,Pocillopora_meandrina_HIv1___RNAseq.g1095.t1,47.849,1.14e-50,164,59.848,7.36e-49,159,53.8485,1.14e-50,164
Peve_00000084,Pocillopora_meandrina_HIv1___RNAseq.g1098.t1b,61.107,0,1591,61.107,0,1667,61.107,0,1667
Peve_00000085,Pocillopora_meandrina_HIv1___TS.g5633.t1,83.333,7.51e-154,437,83.333,7.04e-154,437,83.333,7.04e-154,437
