comparison,count
Total proteins (Apul),15664
Total proteins (Peve),16693
Total proteins (Ptua),16060
Apul-Peve orthologs,13782
Apul-Ptua orthologs,13320
Peve-Ptua orthologs,14303
Three-way orthologs,10346
Two-way orthologs only,7980
Total ortholog groups,18326
