Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1A11-fastp-adapters-polyG-31bp-merged	1A11-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2615311.0	74.5 Mbp	0.0	15-31	45.0	21.575011385924512	28.518638892277057	29	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
1A7-fastp-adapters-polyG-31bp-merged	1A7-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8013931.0	205.3 Mbp	0.0	15-31	41.0	12.8078723628417	25.621565496383734	25	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
1B3-fastp-adapters-polyG-31bp-merged	1B3-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5254.0	130.5 kbp	0.0	15-31	42.0	43.81423677198325	24.838599162542824	25	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1B4-fastp-adapters-polyG-31bp-merged	1B4-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12038450.0	316 Mbp	0.0	15-31	47.0	27.213925824606928	26.251922465101405	27	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass
1B6-fastp-adapters-polyG-31bp-merged	1B6-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1334606.0	34.4 Mbp	0.0	15-31	44.0	29.896950945390756	25.82637197794705	26	pass	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
1B7-fastp-adapters-polyG-31bp-merged	1B7-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	80353.0	2 Mbp	0.0	15-31	41.0	26.050054136124352	25.148469876669196	25	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1C11-fastp-adapters-polyG-31bp-merged	1C11-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	335.0	8.2 kbp	0.0	17-31	43.0	71.34328358208955	24.659701492537312	25	pass	pass	fail	pass	fail	fail	pass	warn	pass	fail	pass
1C12-fastp-adapters-polyG-31bp-merged	1C12-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1421752.0	38.6 Mbp	0.0	15-31	46.0	33.28577252662188	27.187278090693734	28	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
1C5-fastp-adapters-polyG-31bp-merged	1C5-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28120629.0	776.7 Mbp	0.0	15-31	44.0	10.586307478066011	27.621115765227014	29	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
1C6-fastp-adapters-polyG-31bp-merged	1C6-fastp-adapters-polyG-31bp-merged.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20668.0	480.2 kbp	0.0	15-31	43.0	53.00464486162183	23.234081672150182	23	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
