,POC.201-TP1,POC.201-TP3,POC.219-TP1,POC.219-TP3,POC.219-TP4,POC.222-TP1,POC.222-TP3,POC.222-TP4,POC.255-TP1,POC.255-TP3,POC.255-TP4,POC.259-TP1,POC.259-TP3,POC.259-TP4,POC.40-TP1,POC.40-TP3,POC.40-TP4,POC.42-TP1,POC.42-TP3,POC.42-TP4,POC.52-TP1,POC.52-TP3,POC.52-TP4,POC.53-TP1,POC.53-TP3,POC.53-TP4,POC.57-TP1,POC.57-TP3,POC.57-TP4
Hypotaurine,108622.240453516,171350.759568984,103568.428982193,117706.831668444,69437.4949979891,159168.672758286,177020.217465078,73770.0200013759,175118.346161653,190824.968691073,182119.829430784,225266.105978486,120810.478166909,335463.600559663,118073.517875471,97635.8296498867,209852.187661549,305619.152721072,337868.911513308,349056.793734123,254397.250143903,563983.654394959,417577.355785998,356162.020485993,74515.0168424034,72899.3496543162,315101.572900748,76863.3230078437,638088.486226859
Proline,9988382.67603065,22803417.4377964,11703508.3942186,19444861.6864766,11417387.1955694,10230454.8329281,17044175.1793931,19579583.3051977,14543841.0172333,22332534.4944253,20065250.7873701,29660496.1732496,8816332.8690983,17209063.3422735,5593649.04304774,17794172.3512131,8278387.99032858,31253001.7217223,33332805.2041906,26570836.2714984,17379975.2887505,16798867.3884374,23173739.5433287,18903500.6598599,16305404.1257365,20389261.9751991,24690956.937101,10668962.3752208,26294057.0505011
5-Aminovaleric Acid,50383.4214321174,0,559326.968702507,918547.095823718,417279.330970736,59324.1362478441,70607.3584884111,78528.1710408898,185276.485390957,170348.213611959,102781.75187427,205281.352419946,43749.9448078604,316839.951707995,94555.805313908,52119.3695105239,64455.5326051938,305612.457749184,327850.180180983,463584.76070465,171514.312422153,262582.221832294,360412.829486333,187012.83274868,158459.798997982,146793.780165861,327909.951831151,200059.660930219,681869.646192408
Betaine,940131435.223413,1164507712.38344,1019774365.34482,1146930025.92199,1101569775.5109,961699600.628164,957645784.038744,1038233738.55711,1032490272.45681,1061757729.76883,1083567162.69063,1002598804.95686,892414645.760888,1122995312.39021,755663835.461248,1059151933.47155,1087932002.62727,1082916396.7197,1169685845.64042,1213713761.34158,1008252210.98043,1099457485.21216,1127357033.80435,1609886651.78064,1145798447.71446,1247623078.74848,1196443492.12901,1047642029.29572,1453614410.63561
Valine,303027.726897317,2577607.27620485,600325.08877024,2637595.33187823,2333359.45749149,465968.170801266,715212.477055489,1506810.06666749,464315.7148862,963988.402018865,2892729.07114685,2221532.35672004,1929891.99838254,649141.645315978,152870.180005473,2087252.03668402,618616.351182628,1547328.54558906,3732152.48320332,794763.909396191,644752.46052109,1414679.93925396,722681.402634521,0,1190355.2597262,2312979.13236297,959790.592170732,3223264.03770469,61411.1312034854
Indole,34395.823123668,56072.9836876911,22147.1269360354,47475.1026473544,106825.74173853,23014.5317160223,28944.6329533193,50950.7226199779,29608.1175399234,42961.7364311842,34571.3349501419,62167.7629618877,16627.4026341011,34686.0383743141,18543.1153968207,45050.2323883727,27214.3366719574,90932.042321896,90042.0623725578,48451.8806532866,27438.5722141131,43934.0487752231,76080.9677023868,14093.050670603,25970.8565010613,42997.5403244088,45556.7134209705,32949.5634881599,27108.3669945941
Threonine,10573159.8516884,26598980.3288354,11838138.7808758,19888728.994012,14436352.2678068,8050381.91333049,7485359.32145991,14715723.6423785,9593746.48884763,12902364.2987835,13218873.3594851,27711096.525753,5742454.3940284,9897904.98706146,3016541.53005128,17628262.0548175,8195174.31229112,32138694.4437245,29606076.2892136,17576874.2311842,10859552.8460102,14762043.686952,12562967.2061655,13688695.6938898,13401842.2673855,13171841.5878869,13561980.631648,10169987.9935193,22240877.0921421
Niacinamide,14003837.6199699,17859399.027757,12288465.2486072,21204281.2541685,18235921.2848851,11080569.6977406,13624993.763557,9433343.72206283,22779368.4270894,13243199.0574132,7626166.88667733,1719797.70307057,4868773.91099244,21158980.4117077,4726254.54071932,11156894.4343649,13780590.1973316,10731665.7701767,17161721.9675802,27168440.7810079,16719418.4492617,20248941.344349,23676465.9892242,19870286.0329809,18122622.3479062,18832863.394898,26674334.1884542,7061431.27744451,25647616.0958435
Taurine,225490.517569365,244215.086653528,224020.672980468,337049.881779255,237137.865970756,298197.857292045,249247.053300104,240179.088618243,545694.209352117,223095.157407839,415018.62846434,452523.840359853,564673.850984864,787722.158239281,80834.7842444605,320112.073689563,223735.065875636,699785.656110874,507001.761240014,903533.562253911,443104.659293998,1318424.1525155,789087.659512337,282581.838598522,332150.799374016,442663.048548521,419973.520038226,247786.014356818,564899.140118208
Pyroglutamic Acid,88077.4772124331,238443.595060555,87973.6648506581,290892.824384802,163510.184169269,81858.2499536247,180273.109040573,346948.45842865,122076.782399288,174272.746914181,200592.140049753,768681.272349476,179840.421059913,118564.202684966,50665.6658684658,311245.827559052,87067.6280904394,365953.350046002,990884.452646683,313428.542768229,130107.285243797,455270.488215504,234948.123167303,155882.027740248,337466.037596177,379833.332096741,161233.256447455,237010.055050987,127507.915872844
Pipecolate,336197.154341998,235680.918717508,353537.390707797,288541.873182953,267820.400827445,192153.971332129,418037.207357934,140912.969667775,341132.765606724,187710.66377791,206627.82796652,260576.318686197,73712.6032747608,199607.229245465,140268.181638647,138749.17186139,272406.02027582,438367.420139514,251922.90228421,327335.706883852,428969.820547679,216427.634436447,512108.73452571,112613.319601145,180934.516821961,274303.17415554,419995.185814936,143574.797274847,54566.3134868021
Agmatine,2237419.35663867,1316616.60333,2340960.30567257,2343210.7296062,912116.765018506,1033718.2543732,1176947.31061521,3107636.7890943,1266302.55321754,2701585.19571834,1944347.04423596,1694010.99326777,1324981.42730628,934798.037842709,4614211.12820641,1735011.64124409,766361.865918282,2079831.29862003,1511350.01928047,1523618.25426605,1179542.91593148,3236195.75095634,6842521.95983635,1006335.9132584,1465678.0003406,1472655.72762227,6054939.9261806,26781516.7875545,31050085.8036394
Creatine,941089.335656844,964507.420953736,78537.5483549718,107016.95365003,10660063.1082364,132288.874993717,105713.559042629,168047.324432341,156655.501751065,72963.0232577112,819957.034970113,394591.20114985,159198.295058967,380023.004760056,476646.142703301,191720.288348861,7553166.16986786,43839.7992129685,145105.83580027,24515821.48477,1331804.25841073,1979713.41338476,14628533.6538552,1072968.47034236,381277.581266049,23478557.7451242,203568.381452391,147414.564337669,10380470.6026805
Hydroxyproline,1398655.636276,3355990.09884707,2350548.92859965,2914581.24775709,5249533.74052598,2237689.3718902,3790458.5423414,2106423.36711235,4879255.2673882,3791333.11098549,4205329.47914589,2599699.44931659,1958370.4609341,3509527.57050075,1132638.73717114,1531220.96897588,4945579.9078623,1802030.09499901,2890244.66203379,11872875.9566603,2202666.18617134,2140321.45154702,7670396.52688825,3698578.82171119,2603705.45952685,11758568.0320478,2491636.20915205,1122694.61541043,6963553.87593098
Aminolevulinate,58377.5407953786,114073.710894329,67085.483386872,83508.3718471336,400615.067219416,63663.5715352365,93841.53612973,37789.6249106749,113947.501505125,88781.0215109267,131186.404181252,81268.0251090941,38252.4083929528,116717.160948079,44947.1999121076,42426.3253787672,314929.96862693,47734.6342177119,81872.0352382535,894142.581996947,79236.6336531676,123920.75058021,580555.925801562,153509.863205023,96597.8043228601,852873.326303551,111036.409752571,0,441027.599278229
Leucine /D-Norleucine,20254508.3322162,71789373.0450943,29676595.820771,49718594.9636221,26752212.9641454,19863825.1093001,23661860.4033474,58859236.819499,20203053.4795349,46554516.2491161,49181823.790928,102239073.446031,23840924.0939681,28876868.0129889,14467641.4399752,50643270.5847598,16756352.7075218,87612860.3268829,69198480.6250187,31970354.1219876,41217449.323144,35620218.9844148,37613228.4841734,7038863.47499155,35621911.8164348,26009964.1840786,25632099.7248863,25436078.3215561,8431637.00061282
iso-Leucine /allo-isoLeucine,1220993.73028024,4471193.6286176,1653926.11572233,3503402.98751849,2088281.94755766,1132734.55974436,1233368.11094466,3544913.57270134,1343087.28640479,3072391.45518202,3729733.39842929,9193180.13457944,2259078.16020891,1211016.9193336,638809.318189938,2518861.47833789,746289.221289886,8253483.94885378,6247800.85649129,2104349.67958742,2276126.04351506,2480167.58198341,2040660.35617464,5363803.55012923,2134772.21294974,1937279.37420546,1684268.35659651,2423688.19577098,4278612.7816073
Ornithine,2200377.33796231,3350325.04092997,1865015.05468109,2992451.04630041,2195807.34301148,1253201.67617186,1792107.26538062,1855766.33146893,2717549.76982181,2278926.35551425,2321624.34134228,2737421.15084986,1065894.8263176,2036785.77027855,771014.041970125,2495556.07161366,1492775.78666817,5236859.49550393,5722802.3817193,6610681.10979053,3494716.27617331,4005606.09605381,5414987.93265546,2219604.14400557,3013150.79551054,4925880.44366052,10112908.3574335,3840471.3446594,8170384.70404365
Asparagine,2134797.24942496,9799037.73849081,3055066.2091448,6173186.24654933,3778587.3971106,1721387.87326979,2376801.82684234,6266435.90682985,2413020.96246415,5081748.0585523,5924359.21710632,14375892.9450728,2039140.28793661,4699520.43346204,1051725.74502524,5457428.63656077,2718789.94206864,14046458.1256232,12005543.7103135,6615624.67301473,3940048.4585059,3603451.07884037,4223681.96798576,5889775.87406792,3859808.86555716,3825333.73175171,4254082.00876399,2766672.17148537,7582151.48005691
Aspartic Acid,23676167.4787449,53144986.3927665,18422904.677166,35865169.6090435,27570181.9605342,24450714.6201444,22981530.2688871,32182118.6968349,28030400.4354342,30453640.4430883,28087571.6775884,42583466.0974174,11898513.6613425,37781875.8047295,9771215.09409367,25559400.726219,24061096.23258,50822535.430245,54947814.063741,47487966.1761528,27099355.1144831,39227883.5787194,39604190.8541402,64099602.4379697,30208422.7644969,40956553.0365286,36869537.072476,15203351.7749951,71317447.6039305
S-Methylcysteine,178467.024547621,458438.092313799,154447.940160381,374688.395054253,213931.087264227,182999.828218956,132834.625867157,256318.483771882,180106.159321954,363105.973315826,304719.410211986,445978.097552527,181312.52648463,189490.98707766,67500.7388442587,371726.206541351,98591.6497552108,499931.495029815,709929.672939381,196548.343901414,213283.742210904,316326.90503187,232160.614454021,154628.351940754,292008.688305628,304735.095497105,305607.465560594,317369.24671088,249214.126981384
Tyramine,2726454.44166372,40512548.8203742,2649798.20988979,4443490.72902715,11397564.2504614,910128.301978105,4615539.27756723,21571978.3388951,1022096.23041956,4371697.62913555,4986409.91406183,14441491.2305724,173169.187930356,1213234.14272711,299391.224551473,15020283.2363879,1952039.0287275,32509205.2027946,27656893.6456752,6698523.25574521,2339552.70522885,12143076.6885281,6112188.1560522,607199.914560009,4641080.10322241,3869609.81376527,2708596.68051155,5392342.78661568,1216027.57448314
Trigonelline,13466390.1944347,12451663.0509735,3066210.98913033,2966519.31514843,3042969.06942822,7528028.45044524,2745755.47275245,5137161.12624111,9746619.66307581,6158577.43994488,2615979.03824527,6670384.25906696,2665883.60247215,6710802.9478422,3832533.86126832,6574315.66671294,4973036.01298377,13938737.6798245,8471675.34496103,12367784.1020174,11336773.2946493,8238104.74338997,9261480.02672733,11924793.6371809,7423613.21202495,8732860.88014549,14325270.5920949,6085987.48240105,16340374.7056472
4-Guanidinobutanoate,167643568.918963,298244320.007553,156473996.381979,261781058.714042,308200772.480993,83334126.8375513,80485958.8108448,101817134.333429,121480538.306325,144959248.673927,104896451.398282,140172054.176801,59706156.1540504,133802257.800335,52074760.4718247,204958548.305526,101298989.559037,87120185.2896387,114644514.941724,94008675.285638,57825200.958861,69353451.7554779,79467680.6058205,206133026.57257,258073772.056803,248321828.115493,100822777.947475,75764951.7335215,111486281.723176
Glutamine,35690604.0555475,71422749.9446948,32442692.1113871,59797257.2169577,38612072.1772811,29841711.6632886,26925113.9159999,42853073.399505,39792555.3977056,30256262.3365767,26329152.809837,77696557.5266983,24653908.4202107,44831901.1143792,14170538.8410348,45826834.3471796,28419239.2670789,102312433.199721,91191185.0887422,78857638.3429707,41425679.8998052,42904562.1326064,55914627.2564693,57391675.8046399,41335977.0247468,63890254.5602644,48495568.6881526,26026899.1278588,105083409.915773
Lysine,80608678.4817706,175713429.71556,69126436.976898,105618160.373264,61543831.0661212,38915544.8812803,47518427.5557792,110548942.67084,69467928.5117478,112537626.189212,99237715.6203893,240860859.810961,36782340.6939154,69195767.1165059,27693613.2483029,134375820.909745,46459091.7048256,222266134.1735,213987871.24245,127053261.990269,83505553.9916347,100485091.229951,108091047.719488,77094625.3602376,121062549.681573,118712513.474852,106697372.333135,80011822.8945909,107799759.714215
Deoxycarnitine,5919157.96944002,11208435.8149036,5212892.4109731,9602692.22493654,10994862.6869975,3164806.29284016,2941861.46094907,3554665.03853606,4252269.18820465,5017444.86073584,3918149.5122398,4920938.41148613,2144587.88087841,4647268.79592151,1837586.03707689,7148317.49887476,3736912.37752073,3086400.93147615,4297904.6913419,3373769.75751949,1860651.70551963,2527402.43382126,2740720.94208149,7585750.20369401,9495558.89991876,8859739.93102289,3807631.14898621,2482447.01787925,4140371.87814268
Glutamic acid,61429465.5055842,164672294.775927,43276545.334876,120617557.287055,68933682.5814468,42788734.7436861,56563976.4150032,97409100.9895669,71163325.4770835,98002366.8083053,106559708.915796,198725410.832582,32673209.2249293,81742103.3157118,26581569.6354441,82535523.3931877,42971595.829341,158963324.652189,179337877.630669,125513284.199108,81590348.6459313,111131458.411002,90379346.6662231,182667514.386143,67839515.5361393,102147103.038822,99995341.7303664,41971345.2352776,165278398.997963
Methionine,2063874.34688604,7072943.20299692,3069010.70446202,1959921.8212928,1572000.42880962,1484732.75593875,1708003.97839863,3290149.32316417,2063804.994864,3542019.06269021,3211014.79825526,12135268.4348537,931725.032918808,3007499.03661571,912105.362253529,3033414.18190644,1459973.85465656,11479212.0940243,8447879.38283053,3479141.49604916,4052785.2413077,2325043.41148229,2592175.67253484,4882951.00638569,3237804.11078527,2017125.16760769,2839340.85126496,1032617.43654889,2934336.34782067
Guanine,782364.13813543,4039389.64412243,663648.498817208,1721625.0205819,601365.390228152,510221.702667124,1998701.81386774,5002933.09359487,488476.691784159,1526261.11129038,2242965.21663534,15364561.7567336,958870.47582728,691134.813022393,839879.49251828,2178237.43392336,402455.352932887,3124440.91562451,4194984.19551262,809040.765248215,907715.021624045,4676207.92747309,4194407.81903418,6158815.43536077,919532.758457234,806020.714383027,1602163.50308646,1402522.50569089,2823963.07118843
Histidine,16383074.3010981,68788378.4927149,22199425.5329493,37567668.680589,20689357.2098655,13232801.0508629,16819711.6425693,43668868.9717301,18486643.9017267,42410041.2899105,40267534.1516917,132239677.198883,14546998.5798817,23500508.1368032,9833699.48805786,47070515.8963342,15219208.9861993,126588183.063536,105447291.310039,46410413.5141757,30409504.6673958,31101514.988626,34538871.4640512,51827199.4411973,35802221.7513223,35872158.1155867,32675438.3819468,22117181.9813935,66529304.8299144
Tryptamine,82239131.2573846,224506554.565173,10841693.2763047,53037949.42605,32663299.5970852,25314250.6764252,47539670.0870413,99487213.0555487,12308862.6334448,62249171.0294869,34365001.7571234,63466792.1721132,2423108.13126765,15436589.8324544,1116872.75591073,69016638.1759814,17352767.4995724,148780120.622454,179085765.207419,35185709.3867393,22726620.53171,58840268.8059715,24714588.2302777,4956747.31603976,40628791.5939098,56798499.5548464,23971596.0805265,37592015.4455381,15187169.9549352
Carnitine,7530600.90235723,10531236.9787733,12021017.4399801,14476915.5410228,14796922.9795575,6536699.03849094,5481789.33016447,9207999.85658544,8345717.86918363,8808655.42314115,6273291.48023423,11784534.9107908,4129762.48785988,10956923.7205302,3880633.0735206,15608310.2953291,14268520.4009508,17496412.4008186,17448450.507827,22627049.8302497,11722211.9512087,7237181.11679303,14325694.605948,21158433.2617873,19774051.0349876,23120720.8204735,22521152.360348,13058428.0060088,26970216.7555173
Phenylalanine,42369400.4724621,94403441.5200107,38048916.2388381,99897384.1887846,34602491.4818018,38949999.3072942,41588184.8408622,75092659.849892,39400059.7363919,92613862.9002273,57336830.3808602,122596650.530211,45530316.5678425,64893757.6985361,24305925.9970518,88345897.0312153,17829067.6943909,168137473.189817,188422366.016277,43851176.6783266,80895278.6896552,65005571.5506839,69890211.1360673,11791692.9899561,71306311.4213818,43393442.4135302,54218722.2549368,36819519.2107969,19137177.4329982
Methionine Sulfoxide,2440319.83194913,9154970.12670453,3096299.53509063,19785272.1452076,6444329.43231103,3172635.37857185,4931852.99260519,12094329.107129,2234444.30760269,9046170.61669152,11071181.5704379,10364639.0357917,6556027.70961203,4097090.83496079,2013916.13526651,11052625.2217328,2452563.01652112,10812127.3506316,12140681.9992561,4599848.33700057,3248787.16252892,9176161.12689182,9020486.31514767,3985668.10448769,3541411.6943279,5913866.38676983,2989424.99716254,5787224.65004471,15370973.8719858
Pyridoxamine,1083722.17873641,1260785.08389096,783768.721754948,914271.343447795,682829.315009673,736485.919863391,545641.707873797,978073.716906662,1028808.87111015,731250.3220076,527118.12003553,1969377.16689046,384344.972280224,865590.285515251,465981.767109348,1037986.48127698,638829.778543754,2217253.88467698,1660062.63862413,1575019.52746439,1166666.22196741,857829.632337427,1230934.95524383,1709347.02015666,893100.038012316,837797.486611597,1264632.18155526,405942.095141981,2970476.55229784
1/3-Methylhistidine,259951.962956825,382378.350488318,676913.067886852,722945.214696984,583204.038418908,230215.517685099,92203.3459535899,270794.380839388,859763.970683369,619796.510622996,348734.260418581,202053.077287296,43676.7855284149,209885.530461129,165428.635661281,269373.824233039,273058.831014416,2043276.87135793,1287483.07652199,2055949.64767785,1169178.69306113,856001.34625523,1459900.62311685,984567.693383586,257689.167777789,342360.294079784,1614716.54884343,423470.91877442,3712639.61154355
n-Glycylproline,789372.502945905,1711447.08613428,2099922.09163654,1053266.39151035,603974.109198997,1103580.68490265,886860.515754735,1078578.54082115,1025188.84919791,1739843.36983464,1192931.79798533,3373065.66280683,510233.94277372,2042808.36118347,890513.697540367,955567.905269944,1129003.64825462,3035784.20242241,684158.359405675,1827670.35625638,1520201.81312302,1268011.39060113,2210867.78733718,2776611.71163211,1050353.88750395,1096102.46464035,967363.916692862,394252.145232993,2843341.99580175
Arginine,127990630.389557,358867003.500689,169751928.382281,286500137.610873,160600618.572574,125322828.741626,144842673.56478,266042643.3079,148600724.143852,279228460.460537,269131150.315204,446852009.026631,130436817.546408,203659342.586047,87825867.7035447,277422150.763034,115421054.876756,456217398.732178,479039660.48938,273676793.469605,223866508.241094,185158695.790109,244014521.199241,238784100.715015,210300842.086487,231464668.551604,219605445.770445,106233881.919093,316671936.304331
Cotinine,3446.02197574197,78609.3047313712,0,187334.383387491,2908.32526799251,5266.5352617858,228593.107365162,0,2948.21650591156,74486.1932140743,4403.67960439024,0,66199.3547005956,3944.01087753796,4007.16125339657,97353.5015326635,0,0,112299.404937135,0,4087.98825224771,57030.152982667,3720.30313592931,4229.56147178118,116222.677096255,6189.27196120568,0,82281.3282270218,3447.57674496768
Gluconolactone,317210.62639707,148366.197433578,125322.644673334,56444.6772072407,12993.9361365071,173845.606480112,158272.19007474,82122.3295383861,359511.09420174,235766.061764269,19898.7857405597,429118.155783405,0,237094.939599309,275772.898523673,65907.8726717766,96223.3883883345,459696.38181693,165731.963483659,418062.701010685,266712.593631753,128211.409347126,391658.251493495,1137558.34930083,88963.3675340005,72675.029134432,319010.587819128,19518.3364379716,917726.222135587
Tyrosine,3047148.94895568,5607313.99308252,2388280.89515458,4252448.22862743,2887493.10775705,2455537.79744688,2602740.16092384,3437950.47238834,2522013.0362854,3660054.46864253,3555104.06189356,4735529.23734307,2121359.84448778,2865361.34394133,1425853.08188517,4206812.57646981,1778132.67973501,5842478.50909592,7765151.75291342,3183987.25399053,2999525.05740082,3681200.75030117,2872637.9231074,3595530.79664227,3663141.75149078,3127898.17410915,3713145.82337901,3684117.99757571,3716314.19888494
N6-Acetyl-Lysine,237537.346147373,901724.009094788,499104.31750835,495062.441263049,334763.003459682,305862.596171226,362032.448123083,628583.313739311,143393.507827541,573186.800109014,484883.868090298,1857438.17840837,285914.892655567,366700.104286694,146581.143445992,1680696.79615026,512075.095653224,1964349.21993631,1511340.38263735,856893.902531969,381711.445488393,484530.688730492,748264.28406401,739945.519952867,637531.453243451,828746.601179286,364286.061556261,377700.609042719,569177.990719472
Homoarginine,5761210.84661024,5940086.056144,4152445.69681336,3566660.98441636,2458566.81097902,3126501.5052689,3967535.39014325,4158617.28990526,4116176.76821584,2878979.5530236,2950839.27384108,8440671.3713369,2331009.43850143,9055818.45761596,1498603.01419801,3221963.12657291,2057700.87828195,7444093.37423576,7169182.05943018,6925873.17083625,3811042.55865443,4475351.52844834,3967740.76674537,15553115.8645663,5476902.54591405,5603706.50775209,7808841.23762977,3269824.46546411,11183094.7219722
N6-Trimethyllysine,159045949.572604,163934899.434961,115950629.030736,92981412.0868907,68373543.7007949,62967050.2203411,93917473.9933748,101042380.008901,64396388.8637582,44322449.7153276,38287688.0566987,185704521.605963,52972148.780414,198021410.997069,36902885.5110386,26685083.098803,22883550.1394513,121114515.632921,127021613.210122,116467914.677543,38648135.3390971,42453203.0541301,41680729.4471497,404457345.806853,159568033.579314,150506512.946941,155361792.177075,69400682.9746039,234934156.925438
Homocitrulline,248348.431897858,423314.850559872,365023.724165176,475661.956816268,282210.16659631,206658.625633277,436098.627123907,373403.571883942,430909.417483659,477033.063086134,409537.720494295,255772.392026898,68504.5476437432,277256.609148009,94967.5371559023,664071.152748889,399248.166461463,536350.696961653,501752.532364991,650524.980433141,304673.405129769,484753.987882235,651152.144342326,1037180.4616722,402796.897246209,549635.406569508,458853.984794044,155353.884037485,757849.968664368
Caffeine,31932.7966503314,172926.056536888,16261.0418450141,255668.067345547,14543.141682418,19127.4701598344,262865.945958124,15633.4589507384,17469.8996333354,113447.976547134,21607.6738002049,30458.3047011093,94329.7106670354,26004.6511617658,16205.4341138605,118040.470030291,0,19742.1598006806,143367.949590466,16735.3994248812,19916.3053228497,74432.2818102611,18166.2291737232,48329.2929305789,147499.076644328,19769.3644885849,19257.9305247589,76858.5068717755,0
Dimethylarginine (A/SDMA),37967271.1318285,30505496.0364345,14767431.691761,11942380.3280742,11257560.301766,16384915.465558,16552015.2125529,21966326.6325341,8365901.30437185,16294708.5752069,14988497.3762205,45731836.470209,8363684.35795789,18008363.9103361,6622747.44978515,12027201.0648967,11991353.662356,33762454.9151512,23107071.2356374,23737274.3659239,14138962.4123007,10992143.5293571,20101307.9116736,10763772.2532441,12954836.734891,14364913.9401135,13951355.9183426,13553786.9808946,12876785.8508256
Acetylcarnitine,2148210.34826327,14669085.3155932,3831975.05573765,23542617.9772202,8705678.6101081,3288683.3267677,11074200.2045093,3944780.09307019,2548893.06516585,8872611.46839419,5457088.55073329,3452068.66492181,8788443.58054613,6143966.5048789,1518904.75609113,20737441.2239603,5379703.28741588,2891346.312316,13897278.1210994,4405375.27484159,2062560.82076194,15006701.1136639,4676500.3136671,792369.279869008,21424489.8540917,10614082.9201151,3194603.40128326,18770175.8573749,1537296.0725791
